female	 13	 2	 99	66	99	99	99	99	99	99	 good	 none	 maybe	 sometimes	 yes	 home	 veryregularly	 maybe 
male	 15	 2	 99	66	99	99	99	99	99	99	 good	 none	 maybe	 never	 yes	 home	 veryregularly	 maybe 
female	 15	 3	 99	5	99	99	99	99	99	99	 good	 none	 yes	 sometimes	 yes	 home	 veryregularly	 maybe 
female	 16	 3	 1	2	4	5	99	99	99	99	 verygood	 none	 yes	 sometimes	 yes	 home	 sometimes	 yes 
female	 15	 3	 99	99	66	99	99	99	99	99	 good	 experience	 maybe	 never	 yes	 no	 never	 maybe 
female	 15	 3	 99	99	66	99	99	99	99	99	 verygood	 experience	 maybe	 never	 yes	 no	 never	 yes 
female	 15	 3	 66	99	66	66	99	66	99	99	 verygood	 none	 yes	 sometimes	 yes	 home	 veryregularly	 yes 
female	 15	 3	 66	99	66	66	99	66	99	99	 verygood	 none	 yes	 never	 yes	 home	 sometimes	 yes 
female	 14	 2	 4	99	5	99	99	99	99	99	 verygood	 none	 yes	 sometimes	 yes	 home	 sometimes	 yes 
female	 15	 3	 66	99	66	99	66	99	99	99	 verygood	 none	 yes	 sometimes	 yes	 no	 sometimes	 yes 
female	 15	 3	 66	99	66	99	66	99	99	99	 good	 none	 yes	 sometimes	 yes	 no	 sometimes	 yes 
female	 14	 2	 4	99	5	99	99	99	99	99	 verygood	 none	 yes	 sometimes	 yes	 home	 veryregularly	 yes 
female	 14	 3	 99	99	5	99	99	99	99	99	 good	 none	 maybe	 sometimes	 yes	 home	 veryregularly	 maybe 
female	 15	 3	 99	5	99	99	99	99	99	99	 verygood	 none	 yes	 veryregularly	 yes	 home	 sometimes	 yes 
female	 14	 2	 99	5	99	99	99	99	99	99	 verygood	 none	 yes	 sometimes	 yes	 home	 veryregularly	 yes 
female	 15	 3	 99	4	3	99	99	99	99	99	 good	 none	 yes	 never	 yes	 home	 sometimes	 yes 
female	 14	 3	 99	5	3	99	99	99	99	99	 good	 none	 yes	 never	 yes	 home	 sometimes	 yes 
female	 15	 3	 99	99	5	99	5	99	99	99	 verygood	 none	 yes	 sometimes	 yes	 home	 sometimes	 yes 
female	 15	 3	 99	99	5	99	5	99	99	99	 verygood	 none	 yes	 never	 yes	 home	 veryregularly	 yes 
female	 15	 3	 99	99	5	99	5	99	99	99	 verygood	 none	 yes	 never	 yes	 home	 sometimes	 yes 
female	 13	 3	 99	99	5	3	5	1	99	99	 verygood	 none	 yes	 never	 yes	 home	 sometimes	 yes 
female	 13	 3	 99	99	5	5	99	99	99	99	 verygood	 none	 yes	 never	 yes	 home	 veryregularly	 yes 
female	 15	 2	 4	99	5	4	3	5	99	3	 verygood	 none	 yes	 sometimes	 yes	 home	 sometimes	 yes 
female	 15	 2	 4	99	2	5	3	99	99	1	 good	 none	 yes	 sometimes	 yes	 no	 sometimes	 yes 
female	 15	 2	 3	2	4	4	1	4	99	99	 good	 none	 yes	 sometimes	 yes	 no	 sometimes	 yes 
female	 14	 3	 99	99	5	99	4	99	99	99	 verygood	 none	 yes	 sometimes	 yes	 home	 veryregularly	 yes 
female	 15	 3	 99	99	4	99	2	99	99	99	 good	 none	 no	 rarely	 no	 home	 sometimes	 yes 
female	 15	 2	 3	99	3	4	2	5	99	4	 good	 none	 yes	 sometimes	 yes	 home	 veryregularly	 yes 
female	 15	 2	 2	99	4	3	2	3	99	1	 good	 none	 yes	 sometimes	 yes	 home	 veryregularly	 yes 
male	 16	 2	 3	99	5	5	2	2	99	5	 good	 none	 yes	 veryregularly	 yes	 home	 veryregularly	 yes 
female	 13	 2	 99	5	99	99	99	99	99	99	 good	 none	 maybe	 sometimes	 yes	 home	 veryregularly	 maybe 
male	 15	 3	 4	99	3	5	99	99	99	99	 verygood	 none	 yes	 veryregularly	 yes	 no	 sometimes	 yes 
