female	 11	 2	 3	4	99	99	99	99	99	99	 verygood	 other	 yes	 never	 yes	 home	 veryregularly	 yes 
female	 13	 2	 2	99	3	5	99	99	99	2	 verygood	 other	 yes	 never	 yes	 home	 regularly	 yes 
female	 12	 3	 99	99	5	4	4	99	99	99	 verygood	 english	 yes	 never	 yes	 no	 regularly	 yes 
female	 12	 3	 5	99	5	99	99	99	99	99	 verygood	 other	 yes	 sometimes	 yes	 home	 veryregularly	 yes 
female	 12	 3	 5	99	5	99	99	99	99	99	 verygood	 other	 yes	 sometimes	 yes	 home	 veryregularly	 yes 
female	 12	 1	 5	5	4	99	99	99	99	99	 verygood	 none	 yes	 sometimes	 yes	 home	 sometimes	 yes 
female	 12	 1	 5	5	99	99	99	99	99	99	 verygood	 other	 yes	 sometimes	 yes	 home	 regularly	 yes 
female	 11	 2	 99	5	99	99	99	99	99	99	 verygood	 other	 yes	 rarely	 yes	 HomeSchool	 regularly	 yes 
female	 11	 1	 66	66	66	99	66	66	99	66	 verygood	 english	 yes	 sometimes	 yes	 home	 veryregularly	 yes 
female	 14	 3	 3	99	5	99	99	99	99	99	 verygood	 none	 yes	 sometimes	 yes	 home	 veryregularly	 yes 
female	 15	 3	 3	99	5	5	99	99	99	99	 verygood	 other	 yes	 sometimes	 yes	 home	 veryregularly	 yes 
female	 15	 2	 99	99	5	5	5	99	99	99	 verygood	 other	 yes	 sometimes	 yes	 home	 regularly	 yes 
female	 15	 2	 2	99	5	99	99	99	99	99	 verygood	 none	 yes	 rarely	 yes	 home	 veryregularly	 yes 
female	 13	 2	 2	99	5	3	99	99	99	99	 verygood	 none	 yes	 never	 yes	 home	 veryregularly	 yes 
female	 16	 2	 99	99	5	99	99	99	99	99	 okay	 none	 maybe	 never	 yes	 school	 regularly	 yes 
female	 15	 1	 99	99	4	99	5	99	99	2	 verygood	 none	 yes	 never	 yes	 home	 veryregularly	 yes 
female	 13	 2	 2	99	99	5	5	3	99	3	 verygood	 none	 yes	 never	 yes	 school	 regularly	 yes 
female	 13	 2	 3	99	5	99	5	4	99	3	 verygood	 none	 yes	 never	 yes	 school	 regularly	 yes 
female	 13	 2	 2	99	4	5	99	99	99	5	 verygood	 none	 yes	 never	 yes	 home	 veryregularly	 yes 
female	 16	 1	 5	4	99	99	99	99	99	99	 verygood	 experience	 yes	 rarely	 yes	 home	 veryregularly	 maybe 
female	 14	 3	 99	4	99	99	99	99	99	99	 good	 other	 yes	 never	 yes	 school	 sometimes	 yes 
