female	 14	 2	 99	4	4	99	99	99	99	99	 good	 experience	 yes	 sometimes	 yes	 school	 sometimes	 yes 
male	 15	 2	 4	99	99	99	99	99	99	99	 verygood	 other	 yes	 sometimes	 yes	 no	 sometimes	 yes 
male	 16	 2	 99	5	99	99	99	99	99	99	 good	 none	 yes	 sometimes	 yes	 no	 sometimes	 yes 
male	 12	 2	 99	99	5	99	99	99	99	99	 verygood	 experience	 yes	 never	 yes	 no	 sometimes	 yes 
female	 15	 3	 99	99	3	99	99	99	99	99	 verygood	 none	 yes	 never	 yes	 home	 regularly	 yes 
male	 15	 2	 5	99	5	3	99	1	99	99	 good	 none	 yes	 sometimes	 yes	 no	 sometimes	 yes 
male	 12	 3	 99	99	99	99	99	99	99	99	 good	 none	 yes	 never	 yes	 no	 sometimes	 yes 
male	 13	 3	 99	99	5	99	99	99	99	99	 verygood	 none	 yes	 never	 yes	 no	 sometimes	 yes 
female	 16	 3	 99	99	4	99	99	99	99	99	 verygood	 experience	 yes	 never	 yes	 no	 rarely	 yes 
male	 12	 2	 4	99	4	99	99	5	99	99	 verygood	 none	 yes	 never	 yes	 no	 sometimes	 yes 
male	 13	 2	 3	99	5	99	99	5	99	99	 good	 none	 yes	 never	 yes	 home	 sometimes	 yes 
male	 15	 2	 4	99	5	4	99	3	99	99	 verygood	 none	 yes	 sometimes	 yes	 home	 veryregularly	 yes 
female	 9	 3	 99	5	99	99	99	99	99	99	 good	 experience	 yes	 sometimes	 yes	 no	 never	 yes 
male	 16	 2	 99	5	99	99	99	99	99	99	 good	 none	 yes	 sometimes	 yes	 home	 veryregularly	 yes 
male	 14	 2	 99	99	4	99	99	99	99	99	 verygood	 none	 yes	 never	 yes	 no	 sometimes	 yes 
male	 14	 2	 4	4	4	4	99	99	99	99	 good	 none	 yes	 never	 yes	 home	 veryregularly	 yes 
male	 14	 3	 99	99	99	99	99	99	99	99	 verygood	 none	 yes	 sometimes	 yes	 home	 veryregularly	 yes 
male	 14	 3	 99	99	99	99	99	99	99	99	 verygood	 none	 yes	 sometimes	 yes	 home	 veryregularly	 yes 
male	 15	 3	 99	99	99	99	99	99	99	99	 okay	 none	 yes	 sometimes	 yes	 no	 sometimes	 maybe 
male	 14	 3	 99	99	99	99	99	99	99	99	 okay	 none	 yes	 never	 yes	 no	 regularly	 maybe 
female	 14	 3	 4	99	4	99	99	99	99	99	 good	 none	 yes	 sometimes	 yes	 home	 veryregularly	 yes 
female	 15	 3	 3	99	4	99	99	99	99	99	 verygood	 none	 yes	 never	 yes	 home	 regularly	 yes 
male	 14	 2	 99	99	99	99	99	99	99	99	 verygood	 none	 yes	 never	 yes	 home	 regularly	 yes 
female	 9	 3	 3	99	4	99	99	99	99	99	 verygood	 english	 yes	 regularly	 yes	 home	 regularly	 yes 
female	 9	 3	 3	99	4	99	99	99	99	99	 verygood	 english	 yes	 regularly	 yes	 home	 veryregularly	 yes 
male	 15	 2	 99	99	99	99	99	99	99	99	 verygood	 none	 yes	 never	 yes	 home	 regularly	 yes 
male	 14	 2	 4	5	5	4	5	5	99	5	 good	 none	 yes	 sometimes	 yes	 home	 veryregularly	 yes 
male	 14	 2	 99	66	99	99	99	99	99	99	 verygood	 none	 yes	 never	 yes	 home	 veryregularly	 yes 
female	 11	 3	 4	99	4	99	99	99	99	99	 verygood	 none	 yes	 never	 yes	 no	 never	 yes 
female	 12	 3	 99	99	3	99	99	99	99	99	 okay	 none	 yes	 never	 yes	 home	 regularly	 yes 
female	 12	 3	 99	99	99	99	99	99	99	99	 verygood	 none	 yes	 sometimes	 yes	 no	 never	 yes 
male	 12	 2	 99	99	4	99	99	99	99	99	 good	 none	 yes	 never	 yes	 home	 veryregularly	 yes 
male	 14	 3	 99	99	5	99	99	99	99	99	 verygood	 none	 yes	 sometimes	 yes	 home	 veryregularly	 yes 
male	 15	 3	 99	99	99	99	99	99	99	99	 good	 none	 yes	 sometimes	 yes	 no	 sometimes	 yes 
male	 14	 2	 99	99	99	99	99	99	99	99	 good	 none	 yes	 sometimes	 yes	 home	 veryregularly	 yes 
male	 14	 2	 99	99	99	99	99	99	99	99	 good	 none	 maybe	 sometimes	 yes	 home	 sometimes	 yes 
male	 12	 2	 99	99	5	99	99	99	99	99	 verygood	 none	 yes	 never	 yes	 no	 sometimes	 yes 
male	 12	 2	 99	99	99	99	99	99	99	99	 verygood	 other	 yes	 regularly	 yes	 home	 regularly	 yes 
male	 14	 2	 99	5	99	99	99	99	99	99	 verygood	 none	 yes	 never	 yes	 no	 sometimes	 yes 
male	 12	 2	 99	99	5	99	99	99	99	99	 verygood	 none	 yes	 never	 yes	 home	 regularly	 yes 
male	 11	 2	 99	99	5	99	99	99	99	99	 verygood	 experience	 yes	 sometimes	 yes	 home	 veryregularly	 yes 
male	 12	 2	 99	99	4	99	99	99	99	99	 verygood	 none	 yes	 never	 yes	 home	 regularly	 yes 
male	 13	 2	 99	99	4	99	99	99	99	99	 good	 none	 yes	 never	 yes	 home	 veryregularly	 yes 
male	 10	 2	 99	99	99	99	99	99	99	99	 verygood	 none	 yes	 never	 yes	 no	 sometimes	 yes 
male	 12	 3	 99	99	99	99	99	99	99	99	 verygood	 none	 yes	 regularly	 yes	 home	 veryregularly	 yes 
male	 13	 2	 99	99	99	99	99	99	99	99	 verygood	 none	 yes	 never	 yes	 school	 sometimes	 yes 
male	 12	 2	 99	99	99	99	99	5	99	99	 verygood	 none	 yes	 sometimes	 yes	 home	 veryregularly	 yes 
male	 14	 3	 99	4	5	99	99	99	99	99	 good	 none	 yes	 sometimes	 yes	 no	 sometimes	 yes 
