male	 14	 2	 99	99	66	99	99	99	99	99	99	 good	 none	 yes	 never	 yes	 school	 regularly	 maybe 
male	 13	 3	 99	99	66	99	99	99	99	99	99	 good	 none	 yes	 never	 yes	 no	 veryregularly	 maybe 
male	 14	 2	 99	99	66	99	99	99	99	99	99	 good	 experience	 yes	 never	 yes	 school	 sometimes	 yes 
male	 14	 2	 99	99	66	99	99	99	99	99	99	 good	 experience	 yes	 never	 yes	 school	 sometimes	 yes 
male	 15	 2	 66	99	99	99	99	99	99	99	99	 verygood	 english	 yes	 never	 yes	 school	 regularly	 yes 
male	 11	 1	 99	99	5	99	99	99	99	99	99	 good	 none	 yes	 never	 yes	 home	 sometimes	 yes 
male	 12	 3	 99	99	66	99	99	99	99	99	99	 good	 english	 yes	 never	 yes	 home	 sometimes	 yes 
male	 13	 2	 99	5	5	5	5	99	99	99	99	 verygood	 none	 yes	 never	 yes	 school	 sometimes	 yes 
male	 14	 2	 99	99	99	99	99	99	99	99	99	 verygood	 none	 yes	 never	 yes	 school	 veryregularly	 yes 
male	 14	 2	 99	99	99	99	99	99	99	99	99	 verygood	 none	 yes	 never	 yes	 school	 veryregularly	 yes 
male	 12	 3	 66	99	66	99	99	99	99	99	99	 verygood	 both	 yes	 never	 yes	 home	 regularly	 yes 
male	 13	 2	 99	99	66	99	99	99	99	99	99	 verygood	 none	 yes	 never	 yes	 school	 regularly	 yes 
male	 13	 2	 99	99	99	99	99	99	99	99	99	 verygood	 none	 yes	 never	 yes	 school	 regularly	 yes 
male	 12	 3	 99	66	66	99	99	99	99	99	99	 verygood	 none	 yes	 never	 yes	 school	 regularly	 yes 
male	 13	 3	 99	99	66	99	99	99	99	99	99	 verygood	 none	 yes	 never	 yes	 school	 regularly	 yes 
male	 12	 3	 99	99	99	99	99	99	99	99	99	 verygood	 both	 yes	 never	 yes	 school	 regularly	 yes 
male	 13	 2	 99	99	99	99	99	99	99	99	99	 verygood	 other	 yes	 sometimes	 yes	 home	 veryregularly	 yes 
male	 12	 3	 99	66	66	99	99	99	99	99	99	 verygood	 none	 yes	 never	 yes	 school	 regularly	 yes 
female	 14	 3	 5	5	3	5	99	99	99	99	99	 verygood	 english	 yes	 sometimes	 yes	 no	 sometimes	 yes 
female	 14	 3	 5	5	4	3	99	99	99	99	5	 good	 none	 yes	 rarely	 yes	 no	 sometimes	 yes 
female	 14	 3	 99	5	5	99	99	99	99	99	99	 verygood	 none	 yes	 never	 yes	 no	 sometimes	 yes 
female	 14	 3	 99	5	5	99	99	99	99	99	99	 verygood	 none	 yes	 rarely	 yes	 no	 sometimes	 yes 
female	 14	 3	 99	99	4	99	99	99	99	99	99	 good	 none	 yes	 never	 yes	 no	 sometimes	 yes 
female	 14	 3	 4	99	2	99	99	99	99	99	5	 verygood	 none	 yes	 never	 yes	 no	 rarely	 yes 
female	 14	 2	 99	99	5	4	99	99	99	99	99	 verygood	 none	 yes	 rarely	 yes	 no	 sometimes	 yes 
female	 14	 2	 99	99	5	4	99	99	99	99	99	 verygood	 none	 yes	 sometimes	 yes	 home	 regularly	 yes 
female	 14	 3	 99	99	5	99	99	99	99	4	99	 good	 none	 yes	 sometimes	 yes	 home	 sometimes	 yes 
female	 14	 3	 99	99	5	99	99	99	99	4	99	 good	 none	 yes	 sometimes	 yes	 home	 sometimes	 yes 
female	 14	 3	 99	99	4	99	5	99	99	99	99	 good	 none	 maybe	 rarely	 yes	 home	 rarely	 yes 
female	 14	 3	 99	99	5	99	2	3	99	99	99	 good	 none	 maybe	 rarely	 yes	 home	 rarely	 yes 
female	 11	 2	 99	99	5	4	99	4	99	5	99	 verygood	 none	 yes	 never	 yes	 no	 rarely	 yes 
female	 11	 2	 99	99	5	4	99	4	99	5	99	 verygood	 none	 yes	 never	 yes	 home	 regularly	 yes 
female	 12	 3	 99	99	5	99	5	99	99	5	99	 verygood	 none	 yes	 never	 yes	 school	 sometimes	 yes 
female	 15	 3	 99	99	5	99	99	99	99	4	99	 verygood	 none	 yes	 never	 yes	 home	 sometimes	 maybe 
female	 14	 3	 2	99	4	99	2	99	99	5	99	 good	 none	 yes	 never	 yes	 no	 rarely	 yes 
female	 11	 3	 99	99	5	99	2	3	99	99	99	 good	 none	 yes	 never	 yes	 home	 sometimes	 yes 
female	 14	 3	 99	99	3	99	4	99	99	99	99	 good	 none	 maybe	 rarely	 yes	 home	 rarely	 yes 
female	 14	 3	 3	99	5	99	2	99	99	4	99	 good	 none	 yes	 never	 yes	 no	 rarely	 yes 
female	 15	 3	 3	99	5	99	99	99	99	99	99	 verygood	 none	 yes	 never	 yes	 no	 rarely	 yes 
female	 14	 3	 99	99	5	99	5	4	99	99	99	 verygood	 none	 yes	 never	 yes	 home	 sometimes	 maybe 
female	 11	 2	 99	99	5	99	4	5	99	99	99	 verygood	 none	 yes	 never	 yes	 home	 veryregularly	 yes 
female	 12	 2	 99	99	99	99	99	99	99	99	99	 verygood	 none	 yes	 rarely	 yes	 school	 sometimes	 yes 
female	 12	 2	 99	99	99	99	99	99	99	99	99	 verygood	 none	 yes	 rarely	 yes	 school	 sometimes	 yes 
female	 15	 3	 4	99	4	99	99	4	99	99	4	 okay	 none	 yes	 never	 yes	 no	 rarely	 yes 
