female	 12	 2	 4	99	5	99	3	5	99	5	 good	 none	 maybe	 rarely	 yes	 home	 veryregularly	 maybe 
female	 12	 2	 99	99	4	2	99	99	99	99	 good	 none	 yes	 sometimes	 yes	 home	 veryregularly	 yes 
female	 13	 3	 1	99	5	99	99	5	99	99	 okay	 none	 maybe	 rarely	 yes	 home	 veryregularly	 maybe 
female	 13	 2	 2	99	5	99	99	5	99	99	 verygood	 none	 yes	 sometimes	 yes	 home	 veryregularly	 yes 
female	 10	 3	 99	99	5	5	99	99	99	99	 verygood	 none	 yes	 sometimes	 yes	 home	 sometimes	 yes 
female	 14	 2	 99	99	66	99	99	99	99	99	 good	 none	 yes	 sometimes	 yes	 home	 veryregularly	 yes 
female	 11	 3	 99	99	5	1	99	5	99	99	 verygood	 none	 yes	 never	 yes	 no	 sometimes	 yes 
female	 11	 3	 99	99	5	1	99	3	99	99	 verygood	 none	 yes	 sometimes	 yes	 home	 veryregularly	 yes 
female	 13	 3	 5	5	5	99	5	5	99	5	 good	 none	 yes	 sometimes	 yes	 home	 veryregularly	 yes 
female	 13	 3	 99	99	5	99	99	99	99	99	 verygood	 none	 yes	 never	 yes	 home	 sometimes	 yes 
female	 14	 3	 99	99	5	99	99	99	99	99	 verygood	 none	 yes	 never	 yes	 home	 veryregularly	 yes 
female	 14	 3	 99	99	5	99	99	99	99	99	 verygood	 none	 yes	 sometimes	 yes	 home	 veryregularly	 yes 
female	 14	 2	 99	99	4	2	99	99	99	99	 good	 none	 yes	 sometimes	 yes	 home	 sometimes	 yes 
female	 10	 3	 99	99	5	99	99	99	99	99	 verygood	 none	 yes	 never	 yes	 no	 never	 yes 
female	 10	 3	 99	99	5	99	99	99	99	99	 good	 none	 yes	 never	 yes	 no	 never	 yes 
female	 10	 3	 99	99	5	99	99	99	99	99	 verygood	 none	 yes	 never	 yes	 no	 never	 yes 
female	 10	 3	 99	99	5	99	99	99	99	99	 verygood	 none	 yes	 never	 yes	 no	 never	 yes 
female	 10	 3	 99	99	66	99	99	99	99	99	 good	 none	 yes	 never	 yes	 no	 never	 yes 
female	 10	 3	 99	99	5	99	99	99	99	99	 verygood	 none	 yes	 never	 yes	 no	 never	 yes 
female	 10	 3	 99	99	5	99	99	99	99	99	 verygood	 none	 yes	 never	 yes	 no	 never	 yes 
female	 12	 3	 99	99	5	99	99	99	99	99	 verygood	 none	 yes	 veryregularly	 yes	 home	 veryregularly	 yes 
female	 14	 3	 99	99	66	66	99	99	99	99	 verygood	 none	 yes	 never	 yes	 home	 veryregularly	 yes 
female	 14	 2	 99	99	99	66	99	99	99	99	 good	 none	 yes	 never	 yes	 no	 veryregularly	 yes 
female	 12	 3	 66	66	66	99	99	99	99	99	 good	 none	 maybe	 never	 no	 home	 sometimes	 maybe 
female	 10	 3	 99	99	66	99	99	99	99	99	 good	 none	 yes	 never	 yes	 no	 never	 yes 
female	 14	 3	 4	99	3	99	99	99	99	99	 good	 none	 yes	 never	 yes	 home	 veryregularly	 yes 
female	 13	 3	 3	99	3	99	2	4	99	4	 good	 none	 yes	 sometimes	 yes	 home	 veryregularly	 maybe 
female	 14	 2	 99	99	5	99	99	99	99	99	 good	 none	 yes	 sometimes	 yes	 no	 sometimes	 yes 
female	 12	 2	 99	99	66	99	99	99	99	99	 verygood	 none	 yes	 sometimes	 yes	 no	 sometimes	 yes 
female	 13	 2	 2	4	5	3	99	99	99	99	 verygood	 none	 yes	 rarely	 yes	 home	 veryregularly	 yes 
female	 13	 2	 3	4	4	5	3	2	99	5	 verygood	 none	 yes	 never	 yes	 home	 veryregularly	 yes 
female	 14	 2	 66	99	99	99	99	66	99	99	 verygood	 none	 yes	 never	 yes	 home	 veryregularly	 maybe 
female	 11	 2	 99	99	5	99	99	99	99	99	 good	 english	 maybe	 never	 yes	 home	 rarely	 yes 
female	 10	 2	 99	99	5	99	99	99	99	99	 verygood	 english	 yes	 never	 yes	 home	 sometimes	 yes 
female	 15	 2	 5	99	3	1	3	2	99	5	 okay	 none	 yes	 never	 yes	 HomeSchool	 veryregularly	 yes 
female	 13	 2	 2	99	4	3	99	99	99	99	 verygood	 none	 yes	 sometimes	 yes	 home	 veryregularly	 yes 
female	 13	 2	 99	99	5	99	99	99	99	99	 verygood	 none	 yes	 rarely	 yes	 home	 veryregularly	 yes 
female	 13	 2	 2	99	4	3	99	99	99	99	 verygood	 none	 yes	 sometimes	 yes	 home	 veryregularly	 yes 
female	 12	 2	 66	99	66	99	99	99	99	99	 verygood	 none	 yes	 rarely	 yes	 home	 veryregularly	 yes 
