female	 15	 2	 99	99	66	99	99	99	99	99	 verygood	 experience	 yes	 never	 yes	 no	 sometimes	 yes 
female	 15	 3	 99	99	66	99	99	99	99	99	 verygood	 experience	 yes	 never	 yes	 no	 sometimes	 yes 
female	 12	 3	 99	99	5	99	99	99	99	99	 verygood	 none	 yes	 sometimes	 yes	 home	 veryregularly	 yes 
female	 15	 3	 99	99	5	5	99	99	99	99	 verygood	 none	 yes	 sometimes	 yes	 home	 veryregularly	 yes 
female	 14	 2	 99	99	3	99	99	99	99	99	 verygood	 none	 yes	 never	 yes	 no	 veryregularly	 yes 
female	 12	 3	 99	3	5	99	99	99	99	99	 verygood	 english	 yes	 never	 yes	 home	 veryregularly	 yes 
female	 14	 3	 99	5	5	99	99	99	99	99	 good	 experience	 yes	 sometimes	 yes	 home	 veryregularly	 yes 
female	 14	 3	 99	4	5	99	99	99	99	99	 good	 none	 yes	 never	 yes	 home	 veryregularly	 yes 
female	 14	 3	 99	99	66	99	99	99	99	99	 good	 experience	 yes	 sometimes	 yes	 no	 sometimes	 yes 
female	 15	 2	 99	99	99	99	99	66	99	99	 verygood	 experience	 yes	 sometimes	 yes	 no	 sometimes	 yes 
female	 14	 3	 99	99	5	99	99	99	99	99	 verygood	 none	 yes	 sometimes	 yes	 no	 rarely	 yes 
male	 14	 3	 99	99	66	99	99	99	99	99	 good	 other	 yes	 veryregularly	 yes	 no	 never	 yes 
male	 16	 3	 99	99	66	99	99	99	99	99	 good	 none	 yes	 never	 yes	 school	 veryregularly	 yes 
male	 15	 2	 99	99	66	99	99	99	99	99	 good	 none	 yes	 never	 yes	 no	 sometimes	 yes 
male	 16	 2	 99	5	99	99	99	99	99	4	 verygood	 none	 yes	 sometimes	 yes	 home	 veryregularly	 yes 
male	 17	 2	 99	66	99	99	99	99	99	99	 verygood	 none	 yes	 never	 yes	 home	 veryregularly	 yes 
male	 16	 2	 99	2	3	4	2	3	99	2	 verygood	 none	 yes	 never	 yes	 home	 sometimes	 yes 
male	 15	 2	 2	99	4	2	99	3	99	99	 verygood	 none	 yes	 never	 yes	 home	 veryregularly	 yes 
male	 15	 3	 99	99	4	99	99	99	99	99	 verygood	 none	 yes	 never	 yes	 no	 never	 yes 
male	 16	 3	 99	99	66	99	99	66	99	99	 verygood	 none	 maybe	 never	 yes	 home	 sometimes	 yes 
female	 15	 3	 99	5	5	99	99	99	99	99	 verygood	 none	 yes	 veryregularly	 yes	 home	 sometimes	 yes 
female	 15	 3	 99	99	5	4	99	99	99	5	 verygood	 experience	 yes	 never	 yes	 home	 sometimes	 maybe 
female	 13	 3	 66	99	66	99	99	66	99	99	 verygood	 none	 yes	 sometimes	 yes	 home	 veryregularly	 maybe 
female	 15	 3	 99	5	5	99	99	99	99	99	 verygood	 other	 yes	 veryregularly	 yes	 home	 sometimes	 yes 
female	 14	 2	 99	99	66	99	99	99	99	99	 verygood	 none	 yes	 sometimes	 yes	 home	 veryregularly	 yes 
female	 15	 3	 99	99	5	99	99	99	99	99	 verygood	 none	 yes	 sometimes	 yes	 home	 veryregularly	 yes 
female	 12	 3	 99	99	5	99	99	99	99	99	 verygood	 english	 yes	 never	 yes	 home	 veryregularly	 yes 
female	 13	 3	 99	99	66	99	99	99	99	99	 verygood	 none	 yes	 never	 yes	 home	 sometimes	 yes 
female	 14	 3	 99	99	1	99	99	99	99	99	 good	 none	 yes	 never	 yes	 home	 veryregularly	 yes 
female	 13	 3	 99	99	2	99	99	99	99	99	 good	 none	 yes	 rarely	 yes	 school	 veryregularly	 yes 
female	 15	 3	 99	99	4	99	99	99	99	99	 verygood	 none	 yes	 never	 yes	 no	 veryregularly	 yes 
female	 12	 2	 5	99	5	5	99	3	99	2	 verygood	 none	 yes	 never	 yes	 no	 sometimes	 yes 
female	 14	 3	 66	99	66	66	66	99	99	66	 verygood	 none	 yes	 never	 yes	 school	 veryregularly	 yes 
female	 15	 3	 99	99	66	99	99	99	99	99	 verygood	 none	 yes	 never	 yes	 school	 veryregularly	 yes 
