female	 15	 2	 99	99	99	99	99	99	99	99	 verygood	 other	 yes	 never	 yes	 no	 sometimes	 yes 
female	 15	 2	 99	99	99	99	99	99	99	99	 verygood	 other	 yes	 never	 yes	 home	 sometimes	 yes 
female	 16	 2	 99	99	99	99	99	99	99	99	 verygood	 none	 yes	 never	 yes	 home	 sometimes	 yes 
female	 16	 2	 99	99	99	99	99	99	99	99	 verygood	 experience	 yes	 sometimes	 yes	 no	 sometimes	 yes 
female	 15	 3	 99	99	5	99	99	4	99	99	 verygood	 none	 yes	 never	 yes	 home	 regularly	 yes 
female	 15	 3	 99	99	5	99	99	99	99	99	 verygood	 none	 yes	 never	 yes	 home	 regularly	 yes 
female	 13	 2	 99	99	99	99	99	99	99	99	 verygood	 other	 yes	 never	 yes	 no	 rarely	 maybe 
female	 13	 2	 99	99	99	99	99	99	99	99	 verygood	 none	 yes	 never	 yes	 no	 rarely	 yes 
female	 13	 2	 99	99	666	99	99	99	99	99	 verygood	 other	 yes	 never	 yes	 no	 rarely	 maybe 
female	 16	 3	 99	5	5	99	99	99	99	99	 verygood	 none	 yes	 sometimes	 yes	 school	 regularly	 yes 
female	 14	 3	 99	99	99	99	99	99	99	99	 verygood	 none	 yes	 rarely	 yes	 no	 sometimes	 yes 
female	 14	 3	 99	99	99	99	99	99	99	99	 verygood	 none	 yes	 rarely	 yes	 no	 never	 yes 
female	 14	 3	 99	99	99	99	99	99	99	99	 verygood	 none	 yes	 never	 yes	 no	 never	 maybe 
female	 15	 3	 99	99	99	99	99	99	99	99	 good	 none	 yes	 rarely	 yes	 home	 sometimes	 yes 
female	 12	 3	 99	66	99	99	99	99	99	99	 verygood	 none	 yes	 rarely	 yes	 home	 sometimes	 yes 
female	 11	 3	 99	99	66	99	99	99	99	99	 good	 none	 yes	 rarely	 yes	 home	 sometimes	 yes 
female	 13	 3	 99	99	99	99	99	99	99	99	 okay	 none	 yes	 rarely	 yes	 home	 sometimes	 yes 
female	 12	 3	 99	99	99	99	99	99	99	99	 verygood	 none	 yes	 sometimes	 yes	 school	 sometimes	 yes 
female	 16	 3	 99	5	5	99	99	99	99	99	 verygood	 none	 yes	 sometimes	 yes	 school	 regularly	 yes 
female	 13	 3	 99	99	99	99	99	99	99	99	 verygood	 experience	 yes	 regularly	 yes	 HomeSchool	 sometimes	 yes 
female	 13	 3	 99	99	99	99	99	99	99	99	 verygood	 experience	 yes	 sometimes	 yes	 HomeSchool	 sometimes	 yes 
female	 15	 3	 99	99	99	99	99	99	99	99	 okay	 experience	 yes	 sometimes	 yes	 no	 never	 yes 
female	 15	 2	 99	99	99	99	99	99	99	99	 verygood	 experience	 yes	 sometimes	 yes	 no	 sometimes	 yes 
female	 16	 2	 99	99	99	99	99	99	99	99	 verygood	 none	 yes	 sometimes	 yes	 home	 regularly	 yes 
female	 14	 3	 99	99	5	99	99	99	99	99	 verygood	 none	 yes	 sometimes	 yes	 home	 veryregularly	 yes 
female	 13	 3	 99	99	5	99	99	99	99	99	 verygood	 none	 yes	 sometimes	 yes	 no	 never	 yes 
female	 15	 3	 99	5	5	4	99	99	99	99	 verygood	 none	 yes	 sometimes	 yes	 home	 regularly	 yes 
female	 13	 3	 99	5	5	3	99	99	99	99	 verygood	 none	 yes	 sometimes	 yes	 no	 sometimes	 yes 
female	 13	 2	 3	99	4	99	99	2	99	3	 good	 english	 yes	 sometimes	 yes	 home	 sometimes	 yes 
female	 15	 2	 99	99	99	99	99	99	99	99	 verygood	 none	 yes	 rarely	 yes	 no	 rarely	 yes 
female	 15	 3	 99	99	99	99	3	99	99	99	 good	 none	 yes	 never	 yes	 no	 sometimes	 yes 
female	 15	 2	 99	99	99	99	99	99	99	99	 verygood	 none	 yes	 sometimes	 yes	 no	 sometimes	 yes 
female	 15	 2	 99	99	99	99	99	99	99	99	 good	 none	 yes	 never	 yes	 no	 sometimes	 yes 
