female	 13	 3	 99	99	99	99	99	99	99	99	99	 verygood	 english	 maybe	 never	 yes	 no	 never	 yes 
female	 13	 3	 99	99	5	99	99	99	99	99	99	 verygood	 none	 yes	 sometimes	 yes	 no	 sometimes	 yes 
female	 13	 2	 99	99	5	99	99	99	99	99	99	 verygood	 none	 yes	 sometimes	 yes	 no	 sometimes	 yes 
female	 13	 3	 99	99	99	99	99	99	99	99	99	 good	 experience	 yes	 never	 yes	 no	 never	 yes 
female	 13	 3	 99	99	99	99	99	99	99	99	99	 good	 experience	 yes	 never	 yes	 no	 never	 yes 
female	 13	 3	 99	99	5	99	99	99	99	99	99	 verygood	 experience	 yes	 never	 yes	 no	 never	 yes 
female	 13	 3	 99	99	5	99	99	99	99	99	99	 verygood	 none	 yes	 never	 yes	 no	 never	 yes 
female	 13	 3	 99	99	5	99	5	99	99	99	99	 verygood	 english	 yes	 never	 yes	 no	 never	 yes 
female	 15	 3	 99	99	99	99	99	99	99	99	99	 verygood	 english	 yes	 sometimes	 yes	 no	 sometimes	 yes 
female	 13	 2	 99	99	99	99	5	99	99	99	99	 verygood	 english	 yes	 never	 yes	 no	 never	 yes 
female	 13	 3	 99	99	99	99	5	99	99	99	99	 verygood	 english	 yes	 sometimes	 yes	 no	 never	 yes 
female	 13	 3	 99	99	5	99	5	99	99	99	99	 verygood	 english	 yes	 never	 yes	 no	 never	 yes 
female	 15	 3	 99	99	99	99	99	99	99	99	99	 verygood	 none	 yes	 sometimes	 yes	 no	 sometimes	 yes 
female	 15	 3	 99	99	99	99	99	99	99	99	99	 verygood	 none	 yes	 never	 yes	 no	 never	 yes 
female	 12	 3	 99	99	99	99	99	99	99	99	99	 verygood	 experience	 yes	 never	 yes	 no	 never	 yes 
female	 12	 3	 99	99	99	99	99	99	99	99	99	 verygood	 experience	 yes	 never	 yes	 no	 never	 yes 
female	 12	 3	 99	99	99	99	99	99	99	99	99	 verygood	 experience	 yes	 never	 yes	 no	 never	 yes 
female	 12	 3	 99	99	99	99	99	99	99	99	99	 verygood	 experience	 yes	 never	 yes	 no	 never	 yes 
female	 15	 3	 99	99	99	99	99	99	99	99	99	 verygood	 none	 yes	 sometimes	 yes	 no	 sometimes	 yes 
female	 15	 3	 99	99	99	99	99	99	99	99	99	 verygood	 none	 yes	 rarely	 yes	 no	 sometimes	 yes 
female	 12	 3	 99	99	99	99	99	99	99	99	99	 good	 experience	 maybe	 never	 no	 no	 never	 yes 
female	 12	 3	 99	99	99	99	99	99	99	99	99	 good	 none	 yes	 sometimes	 yes	 no	 sometimes	 yes 
female	 12	 3	 99	99	99	99	99	99	99	99	99	 good	 none	 yes	 sometimes	 yes	 no	 sometimes	 yes 
female	 11	 2	 99	99	99	99	99	99	99	99	99	 verygood	 none	 yes	 sometimes	 yes	 no	 rarely	 yes 
female	 12	 2	 99	99	99	99	99	99	99	99	99	 good	 none	 yes	 never	 yes	 home	 veryregularly	 yes 
female	 13	 3	 99	99	99	99	99	99	99	99	99	 good	 experience	 yes	 never	 yes	 school	 never	 yes 
female	 13	 3	 99	99	99	99	99	99	99	99	99	 verygood	 none	 yes	 sometimes	 yes	 no	 rarely	 yes 
female	 15	 3	 99	99	99	99	99	99	99	99	99	 verygood	 none	 yes	 sometimes	 yes	 no	 sometimes	 yes 
female	 13	 3	 99	99	99	99	99	99	99	99	99	 verygood	 none	 yes	 never	 yes	 no	 never	 yes 
female	 13	 3	 99	99	99	99	99	99	99	99	99	 good	 experience	 yes	 never	 yes	 school	 never	 yes 
female	 12	 2	 99	99	99	99	99	99	99	99	99	 verygood	 none	 yes	 never	 yes	 school	 never	 yes 
female	 12	 3	 99	99	99	99	99	99	99	99	99	 good	 experience	 yes	 never	 yes	 no	 never	 yes 
female	 13	 3	 99	99	99	99	99	99	99	99	99	 good	 experience	 yes	 sometimes	 yes	 school	 never	 yes 
female	 13	 2	 99	99	99	99	99	99	99	99	99	 good	 experience	 yes	 never	 yes	 school	 never	 yes 
female	 13	 2	 99	99	99	99	99	99	99	99	99	 verygood	 none	 yes	 never	 yes	 no	 never	 yes 
female	 13	 2	 99	99	99	99	99	99	99	99	99	 verygood	 experience	 yes	 sometimes	 yes	 home	 sometimes	 yes 
female	 14	 3	 99	99	99	99	99	99	99	99	99	 verygood	 experience	 yes	 never	 yes	 no	 never	 yes 
