male	 14	 3	 99	99	5	99	99	99	99	99	4	 verygood	 none	 yes	 never	 yes	 home	 regularly	 maybe 
female	 12	 3	 99	99	99	99	66	99	99	99	99	 verygood	 none	 yes	 sometimes	 yes	 home	 veryregularly	 yes 
male	 14	 3	 99	99	4	99	99	99	99	99	3	 good	 other	 yes	 sometimes	 yes	 school	 regularly	 yes 
male	 15	 3	 99	5	5	99	99	99	99	99	5	 good	 none	 yes	 sometimes	 yes	 home	 veryregularly	 yes 
male	 15	 3	 99	99	99	99	99	99	99	99	5	 verygood	 none	 yes	 rarely	 yes	 school	 rarely	 yes 
male	 15	 2	 99	99	99	99	99	99	99	99	5	 verygood	 none	 yes	 sometimes	 yes	 home	 regularly	 yes 
male	 12	 3	 5	99	99	99	5	99	99	99	99	 verygood	 none	 yes	 sometimes	 yes	 home	 sometimes	 yes 
male	 14	 3	 99	99	99	99	99	99	99	99	3	 good	 none	 maybe	 rarely	 yes	 home	 regularly	 maybe 
male	 14	 3	 99	99	4	99	99	99	99	99	99	 verygood	 none	 yes	 never	 yes	 HomeSchool	 sometimes	 yes 
male	 14	 2	 99	5	5	99	99	99	99	99	99	 verygood	 none	 yes	 never	 yes	 home	 sometimes	 yes 
male	 16	 1	 99	66	66	99	99	99	99	99	99	 verygood	 none	 yes	 never	 yes	 no	 regularly	 yes 
male	 16	 3	 99	99	99	99	99	99	99	99	66	 verygood	 english	 yes	 never	 yes	 no	 regularly	 yes 
male	 16	 3	 99	99	99	99	99	99	99	99	66	 verygood	 english	 yes	 sometimes	 yes	 home	 regularly	 yes 
male	 15	 3	 99	99	3	99	99	99	99	99	99	 verygood	 none	 yes	 sometimes	 yes	 home	 regularly	 yes 
male	 16	 3	 2	4	4	1	1	5	99	1	1	 good	 experience	 maybe	 rarely	 yes	 home	 regularly	 maybe 
male	 15	 3	 99	99	4	99	99	99	99	99	4	 verygood	 none	 yes	 sometimes	 yes	 home	 sometimes	 yes 
male	 15	 2	 99	99	4	99	99	99	99	99	4	 verygood	 none	 yes	 sometimes	 yes	 home	 veryregularly	 yes 
male	 15	 3	 99	99	99	99	99	99	99	99	4	 verygood	 none	 maybe	 never	 yes	 no	 rarely	 yes 
male	 14	 3	 99	99	66	99	66	99	99	99	99	 verygood	 none	 yes	 never	 yes	 home	 regularly	 maybe
male	 15	 2	 99	99	99	99	99	99	99	99	66	 verygood	 none	 yes	 never	 yes	 home	 regularly	 yes 
male	 14	 3	 99	5	5	99	99	99	99	99	99	 verygood	 none	 yes	 never	 yes	 HomeSchool	 regularly	 yes 
male	 14	 3	 99	99	99	99	4	99	99	99	99	 verygood	 none	 yes	 never	 yes	 school	 regularly	 yes 
male	 14	 3	 99	99	5	99	99	99	99	99	99	 verygood	 none	 yes	 never	 yes	 no	 rarely	 yes 
