female	 14	 y	 10	 10	 home	 veryregularly	 sometimes	 8
female	 14	 y	 10	 10	 home	 veryregularly	 sometimes	 8
female	 14	 y	 10	 10	 no	 regularly	 sometimes	 10
female	 13	 y	 6	 8	 home	 regularly	 sometimes	 5
female	 12	 y	 9	 9	 home	 regularly	 never	 5
female	 12	 y	 9	 9	 home	 regularly	 never	 5
female	 12	 n	 10	 10	 no	 rarely	 sometimes	 10
female	 12	 y	 10	 10	 HomeSchool	 veryregularly	 never	 10
female	 13	 y	 10	 10	 school	 regularly	 never	 10
female	 13	 n	 10	 10	 no	 veryregularly	 never	 10
female	 17	 dk	 10	 10	 no	 sometimes	 sometimes	 10
female	 14	 y	 1	 4	 home	 sometimes	 sometimes	 5
female	 17	 dk	 10	 10	 no	 sometimes	 sometimes	 10
female	 15	 dk	 10	 10	 no	 rarely	 sometimes	 10
female	 15	 dk	 10	 10	 no	 rarely	 rarely	 10
female	 14	 y	 10	 10	 no	 regularly	 never	 10
female	 14	 y	 10	 10	 home	 regularly	 sometimes	 10
female	 14	 y	 10	 10	 no	 regularly	 never	 10
female	 14	 y	 10	 10	 no	 regularly	 sometimes	 10
female	 13	 y	 10	 10	 home	 regularly	 sometimes	 10
male	 12	 n	 5	 10	 no	 sometimes	 sometimes	 10
male	 12	 n	 10	 10	 no	 sometimes	 sometimes	 10
male	 16	 n	 5	 10	 home	 sometimes	 sometimes	 5
male	 13	 dk	 6	 8	 school	 veryregularly	 veryregularly	 6
male	 12	 dk	 5	 5	 no	 sometimes	 sometimes	 7
male	 16	 n	 5	 10	 no	 sometimes	 sometimes	 10
male	 15	 y	 6	 6	 school	 regularly	 veryregularly	 6
male	 14	 y	 10	 10	 home	 regularly	 regularly	 10
male	 12	 y	 8	 9	 school	 veryregularly	 never	 8
male	 13	 y	 5	 7	 home	 veryregularly	 sometimes	 10
male	 13	 y	 5	 7	 no	 rarely	 sometimes	 10
male	 12	 y	 10	 10	 school	 regularly	 regularly	 10
male	 12	 y	 10	 10	 school	 regularly	 regularly	 9
male	 12	 y	 10	 10	 home	 veryregularly	 never	 9
male	 12	 y	 9	 9	 school	 regularly	 regularly	 9
male	 14	 n	 10	 10	 no	 never	 sometimes	 10
male	 13	 n	 9	 9	 home	 veryregularly	 sometimes	 8
male	 12	 y	 9	 8	 school	 regularly	 sometimes	 7
male	 13	 y	 7	 8	 school	 veryregularly	 sometimes	 7
male	 12	 y	 5	 7	 school	 sometimes	 sometimes	 9
male	 12	 y	 8	 7	 school	 regularly	 sometimes	 7
male	 15	 n	 5	 10	 no	 sometimes	 veryregularly	 10
male	 15	 n	 5	 10	 no	 sometimes	 veryregularly	 10
male	 14	 y	 10	 10	 no	 sometimes	 veryregularly	 10
male	 14	 y	 5	 9	 no	 sometimes	 sometimes	 9
male	 13	 y	 5	 10	 home	 regularly	 regularly	 5
male	 15	 n	 10	 10	 no	 sometimes	 veryregularly	 10
male	 15	 y	 9	 5	 home	 sometimes	 veryregularly	 9
male	 15	 dk	 10	 9	 no	 never	 never	 6
male	 15	 y	 5	 9	 no	 never	 sometimes	 9
male	 12	 dk	 10	 10	 no	 never	 regularly	 10
male	 12	 dk	 10	 10	 no	 never	 regularly	 10
male	 16	 y	 10	 10	 home	 veryregularly	 veryregularly	 10
male	 16	 y	 10	 10	 no	 rarely	 veryregularly	 10
male	 12	 dk	 10	 10	 no	 never	 never	 10
male	 14	 dk	 10	 10	 no	 never	 never	 10
male	 14	 n	 5	 10	 no	 regularly	 sometimes	 5
male	 14	 n	 5	 10	 no	 sometimes	 regularly	 5
male	 12	 dk	 5	 5	 no	 regularly	 never	 5
male	 13	 y	 9	 9	 home	 sometimes	 sometimes	 9
male	 11	 n	 3	 6	 no	 sometimes	 never	 5
male	 11	 n	 2	 10	 home	 regularly	 regularly	 6
male	 12	 n	 5	 5	 no	 sometimes	 never	 5
male	 11	 n	 4	 3	 no	 sometimes	 never	 7
male	 12	 y	 4	 3	 no	 sometimes	 never	 7
male	 14	 y	 9	 9	 home	 regularly	 sometimes	 9
male	 13	 dk	 7	 9	 home	 sometimes	 sometimes	 7
male	 11	 dk	 7	 9	 home	 sometimes	 sometimes	 7
male	 14	 y	 5	 5	 home	 sometimes	 sometimes	 10
male	 12	 dk	 7	 9	 home	 sometimes	 regularly	 9
male	 12	 dk	 4	 9	 no	 rarely	 never	 7
male	 15	 dk	 5	 10	 no	 sometimes	 veryregularly	 10
male	 15	 dk	 9	 9	 no	 never	 veryregularly	 8
male	 14	 n	 10	 10	 no	 never	 regularly	 10
female	 11	 dk	 10	 10	 no	 never	 regularly	 10
female	 11	 dk	 10	 10	 no	 sometimes	 never	 10
female	 12	 n	 10	 10	 no	 regularly	 rarely	 7
female	 11	 dk	 5	 10	 no	 never	 regularly	 10
female	 11	 dk	 10	 10	 no	 sometimes	 rarely	 8
female	 13	 n	 10	 10	 no	 regularly	 rarely	 8
male	 13	 n	 10	 10	 no	 sometimes	 sometimes	 5
male	 12	 y	 10	 10	 home	 regularly	 veryregularly	 9
male	 13	 y	 10	 10	 no	 sometimes	 regularly	 10
male	 13	 y	 10	 10	 school	 sometimes	 sometimes	 10
male	 15	 y	 10	 10	 school	 regularly	 sometimes	 10
male	 16	 y	 10	 10	 school	 regularly	 sometimes	 10
male	 15	 y	 10	 10	 school	 regularly	 sometimes	 10
male	 12	 y	 6	 10	 home	 regularly	 sometimes	 10
male	 12	 dk	 9	 9	 no	 sometimes	 sometimes	 9
male	 14	 y	 7	 10	 school	 regularly	 sometimes	 10
male	 16	 y	 10	 10	 school	 regularly	 regularly	 10
male	 14	 y	 10	 10	 home	 veryregularly	 never	 10
male	 14	 n	 7	 5	 home	 veryregularly	 never	 10
male	 14	 n	 8	 8	 no	 regularly	 regularly	 9
male	 14	 n	 8	 8	 no	 regularly	 regularly	 10
male	 15	 n	 5	 8	 no	 never	 never	 10
male	 12	 dk	 5	 7	 no	 never	 never	 9
male	 14	 y	 7	 5	 school	 regularly	 sometimes	 1
male	 13	 y	 10	 10	 home	 veryregularly	 regularly	 10
male	 14	 dk	 8	 10	 home	 regularly	 regularly	 10
male	 15	 n	 9	 9	 home	 regularly	 veryregularly	 4
male	 15	 dk	 5	 9	 home	 veryregularly	 regularly	 7
male	 14	 dk	 7	 10	 no	 regularly	 veryregularly	 10
male	 12	 y	 10	 10	 HomeSchool	 regularly	 sometimes	 8
male	 12	 y	 10	 10	 HomeSchool	 regularly	 sometimes	 8
male	 14	 y	 9	 9	 HomeSchool	 veryregularly	 regularly	 8
male	 13	 dk	 9	 9	 HomeSchool	 regularly	 sometimes	 8
male	 13	 y	 9	 9	 HomeSchool	 regularly	 sometimes	 9
male	 14	 dk	 4	 7	 no	 regularly	 never	 6
male	 15	 dk	 8	 9	 home	 veryregularly	 sometimes	 4
male	 15	 dk	 9	 9	 home	 veryregularly	 veryregularly	 10
male	 15	 dk	 1	 9	 no	 rarely	 sometimes	 1
male	 11	 dk	 1	 1	 no	 never	 rarely	 10
male	 14	 n	 8	 8	 no	 regularly	 sometimes	 9
female	 13	 dk	 1	 1	 no	 never	 never	 9
female	 13	 dk	 1	 9	 no	 rarely	 sometimes	 1
female	 12	 n	 10	 10	 no	 sometimes	 never	 8
female	 14	 n	 6	 10	 no	 never	 sometimes	 8
female	 14	 n	 9	 9	 home	 regularly	 sometimes	 8
female	 15	 n	 10	 10	 no	 rarely	 never	 10
