female	 12	 y	 10	 10	 home	 regularly	 regularly	 10
female	 15	 n	 9	 9	 home	 regularly	 rarely	 9
female	 14	 dk	 9	 10	 no	 sometimes	 rarely	 8
female	 13	 n	 8	 9	 school	 regularly	 never	 9
female	 12	 n	 8	 9	 school	 regularly	 never	 10
female	 10	 y	 5	 6	 school	 regularly	 sometimes	 9
female	 15	 y	 5	 6	 home	 sometimes	 sometimes	 10
female	 15	 dk	 10	 10	 home	 veryregularly	 rarely	 7
female	 14	 dk	 10	 10	 home	 sometimes	 rarely	 8
female	 13	 dk	 10	 10	 home	 veryregularly	 never	 5
female	 13	 n	 6	 9	 home	 regularly	 never	 9
female	 11	 y	 9	 9	 school	 regularly	 veryregularly	 10
female	 13	 n	 5	 5	 home	 regularly	 sometimes	 10
female	 16	 n	 10	 10	 home	 regularly	 rarely	 10
female	 10	 n	 8	 9	 home	 veryregularly	 sometimes	 8
male	 13	 n	 10	 9	 school	 regularly	 never	 2
male	 11	 n	 2	 3	 school	 regularly	 rarely	 4
male	 15	 y	 10	 10	 home	 regularly	 regularly	 10
male	 12	 dk	 8	 10	 home	 sometimes	 rarely	 10
male	 13	 y	 8	 9	 no	 sometimes	 sometimes	 5
male	 12	 dk	 6	 10	 school	 regularly	 sometimes	 5
male	 14	 y	 10	 10	 school	 regularly	 regularly	 10
male	 11	 dk	 5	 6	 home	 regularly	 never	 8
male	 12	 n	 1	 1	 school	 rarely	 rarely	 9
male	 12	 dk	 6	 8	 home	 veryregularly	 rarely	 10
male	 12	 n	 1	 1	 school	 rarely	 rarely	 9
male	 12	 dk	 8	 10	 home	 regularly	 rarely	 8
male	 16	 y	 10	 8	 home	 veryregularly	 never	 7
male	 16	 n	 8	 9	 home	 veryregularly	 never	 7
male	 15	 n	 7	 7	 home	 veryregularly	 sometimes	 4
male	 15	 n	 10	 10	 school	 regularly	 regularly	 8
male	 13	 y	 6	 9	 school	 regularly	 rarely	 10
male	 12	 y	 7	 8	 home	 veryregularly	 rarely	 10
male	 16	 y	 8	 9	 HomeSchool	 veryregularly	 never	 7
male	 16	 y	 9	 9	 HomeSchool	 veryregularly	 never	 5
male	 16	 y	 8	 10	 school	 veryregularly	 never	 10
male	 15	 y	 9	 10	 school	 veryregularly	 sometimes	 9
male	 12	 y	 10	 10	 school	 regularly	 regularly	 10
female	 15	 y	 10	 10	 home	 veryregularly	 sometimes	 10
female	 13	 n	 10	 10	 school	 sometimes	 sometimes	 10
female	 15	 y	 1	 10	 no	 never	 sometimes	 10
female	 13	 n	 9	 8	 school	 sometimes	 never	 8
female	 15	 dk	 9	 9	 HomeSchool	 regularly	 regularly	 8
female	 15	 n	 10	 10	 home	 veryregularly	 never	 10
female	 12	 dk	 5	 5	 no	 sometimes	 rarely	 10
female	 12	 dk	 5	 5	 no	 sometimes	 rarely	 7
female	 14	 dk	 5	 5	 no	 sometimes	 rarely	 6
female	 14	 n	 5	 7	 no	 regularly	 sometimes	 5
female	 13	 dk	 10	 5	 no	 rarely	 never	 10
female	 13	 dk	 10	 5	 home	 sometimes	 never	 10
female	 13	 dk	 10	 5	 no	 rarely	 never	 10
female	 11	 dk	 10	 10	 school	 sometimes	 sometimes	 10
female	 12	 dk	 10	 10	 school	 sometimes	 sometimes	 10
