male	 15	 y	 somewhat	 somewhat	 home	 veryregularly	 veryregularly	 somewhat
male	 15	 dk	 somewhat	 somewhat	 home	 regularly	 rarely	 somewhat
male	 16	 n	 somewhat	 somewhat	 no	 regularly	 never	 somewhat
male	 15	 n	 very	 very	 home	 veryregularly	 sometimes	 very
male	 15	 n	 somewhat	 somewhat	 home	 regularly	 never	 somewhat
male	 15	 n	 somewhat	 somewhat	 home	 regularly	 sometimes	 somewhat
male	 14	 y	 very	 very	 no	 regularly	 never	 somewhat
male	 14	 dk	 somewhat	 somewhat	 no	 sometimes	 never	 somewhat
male	 14	 y	 somewhat	 very	 home	 regularly	 never	 somewhat
male	 15	 n	 somewhat	 somewhat	 home	 sometimes	 never	 somewhat
male	 15	 n	 somewhat	 somewhat	 home	 veryregularly	 never	 very
male	 15	 n	 somewhat	 somewhat	 no	 sometimes	 sometimes	 somewhat
male	 15	 n	 somewhat	 very	 home	 sometimes	 rarely	 very
male	 10	 dk	 very	 somewhat	 HomeSchool	 sometimes	 rarely	 somewhat
male	 10	 n	 very	 somewhat	 HomeSchool	 rarely	 sometimes	 somewhat
male	 12	 y	 somewhat	 very	 school	 regularly	 never	 somewhat
male	 11	 dk	 unsure	 very	 school	 sometimes	 never	 somewhat
male	 12	 y	 somewhat	 very	 home	 veryregularly	 never	 somewhat
male	 12	 y	 somewhat	 very	 school	 never	 never	 somewhat
male	 13	 n	 very	 somewhat	 school	 regularly	 never	 very
male	 13	 n	 very	 somewhat	 no	 rarely	 rarely	 somewhat
male	 14	 dk	 somewhat	 very	 no	 rarely	 rarely	 somewhat
male	 15	 n	 very	 somewhat	 school	 regularly	 never	 very
male	 11	 y	 unsure	 very	 no	 regularly	 never	 very
male	 12	 n	 very	 somewhat	 home	 sometimes	 never	 somewhat
male	 13	 y	 very	 very	 no	 rarely	 never	 somewhat
male	 13	 n	 very	 very	 home	 rarely	 sometimes	 very
male	 15	 n	 somewhat	 very	 home	 rarely	 rarely	 somewhat
male	 14	 n	 somewhat	 very	 home	 sometimes	 sometimes	 somewhat
male	 14	 n	 very	 somewhat	 home	 sometimes	 sometimes	 somewhat
male	 15	 y	 very	 very	 no	 sometimes	 rarely	 very
male	 14	 y	 very	 very	 no	 sometimes	 rarely	 somewhat
male	 14	 n	 very	 very	 no	 rarely	 never	 very
male	 13	 y	 very	 very	 no	 sometimes	 rarely	 very
male	 15	 y	 somewhat	 notmuch	 home	 sometimes	 never	 very
male	 13	 n	 very	 very	 school	 never	 never	 somewhat
male	 14	 n	 very	 somewhat	 home	 veryregularly	 never	 somewhat
