male	 13	 y	 very	 very	 home	 sometimes	 sometimes	 very
male	 13	 n	 very	 very	 no	 regularly	 sometimes	 somewhat
male	 18	 y	 somewhat	 very	 no	 sometimes	 veryregularly	 very
male	 12	 n	 very	 very	 home	 sometimes	 never	 somewhat
male	 13	 n	 very	 very	 no	 rarely	 never	 somewhat
male	 15	 y	 very	 very	 no	 rarely	 never	 very
male	 15	 y	 very	 very	 no	 sometimes	 never	 very
male	 17	 y	 very	 very	 no	 rarely	 sometimes	 very
male	 17	 y	 very	 very	 no	 rarely	 never	 very
male	 12	 n	 very	 very	 no	 rarely	 rarely	 somewhat
male	 12	 n	 very	 very	 no	 rarely	 never	 somewhat
male	 16	 dk	 very	 very	 no	 sometimes	 never	 very
male	 17	 dk	 very	 very	 no	 rarely	 sometimes	 very
male	 18	 y	 somewhat	 somewhat	 home	 sometimes	 sometimes	 very
male	 17	 n	 very	 very	 no	 rarely	 sometimes	 somewhat
male	 17	 dk	 very	 very	 no	 rarely	 sometimes	 very
male	 17	 dk	 very	 very	 no	 rarely	 sometimes	 very
male	 15	 n	 very	 very	 no	 sometimes	 veryregularly	 very
male	 16	 n	 very	 very	 no	 rarely	 regularly	 very
male	 17	 n	 very	 somewhat	 no	 sometimes	 sometimes	 somewhat
male	 16	 n	 very	 very	 no	 sometimes	 sometimes	 somewhat
male	 15	 n	 very	 very	 no	 sometimes	 regularly	 somewhat
female	 13	 dk	 somewhat	 somewhat	 no	 never	 never	 somewhat
female	 12	 dk	 somewhat	 somewhat	 home	 sometimes	 sometimes	 very
female	 13	 n	 very	 very	 no	 rarely	 never	 very
female	 14	 n	 very	 very	 no	 rarely	 never	 very
female	 13	 n	 very	 very	 no	 rarely	 never	 very
female	 15	 dk	 somewhat	 somewhat	 no	 sometimes	 rarely	 somewhat
female	 13	 dk	 very	 very	 no	 sometimes	 never	 very
female	 14	 y	 very	 somewhat	 no	 regularly	 rarely	 somewhat
female	 18	 y	 very	 somewhat	 no	 regularly	 rarely	 somewhat
female	 12	 y	 somewhat	 somewhat	 no	 sometimes	 sometimes	 somewhat
female	 12	 dk	 somewhat	 somewhat	 no	 sometimes	 rarely	 very
female	 12	 dk	 somewhat	 very	 home	 rarely	 rarely	 very
female	 15	 n	 unsure	 somewhat	 home	 rarely	 regularly	 very
female	 15	 n	 very	 somewhat	 no	 never	 veryregularly	 very
female	 15	 n	 very	 somewhat	 no	 never	 sometimes	 somewhat
female	 17	 n	 very	 very	 no	 sometimes	 sometimes	 somewhat
female	 16	 n	 very	 very	 no	 sometimes	 veryregularly	 very
female	 13	 dk	 very	 very	 no	 sometimes	 veryregularly	 very
female	 14	 dk	 very	 very	 no	 regularly	 veryregularly	 very
female	 14	 dk	 somewhat	 very	 no	 sometimes	 rarely	 very
female	 12	 dk	 very	 somewhat	 home	 regularly	 never	 very
female	 13	 dk	 somewhat	 somewhat	 no	 sometimes	 rarely	 somewhat
female	 12	 dk	 somewhat	 somewhat	 home	 sometimes	 never	 somewhat
female	 12	 dk	 somewhat	 somewhat	 home	 sometimes	 never	 somewhat
female	 12	 dk	 somewhat	 very	 no	 never	 never	 very
female	 11	 dk	 somewhat	 very	 home	 regularly	 never	 very
female	 12	 dk	 somewhat	 very	 no	 rarely	 sometimes	 somewhat
female	 12	 dk	 very	 somewhat	 home	 regularly	 never	 somewhat
female	 15	 dk	 somewhat	 very	 no	 rarely	 sometimes	 very
female	 13	 n	 somewhat	 somewhat	 home	 sometimes	 rarely	 somewhat
female	 14	 dk	 somewhat	 very	 no	 rarely	 rarely	 somewhat
female	 14	 dk	 somewhat	 very	 no	 rarely	 rarely	 somewhat
female	 13	 n	 somewhat	 somewhat	 no	 rarely	 never	 somewhat
female	 12	 dk	 very	 somewhat	 school	 regularly	 never	 very
female	 12	 dk	 very	 somewhat	 school	 regularly	 never	 very
female	 14	 y	 very	 very	 home	 regularly	 never	 somewhat
female	 15	 dk	 very	 somewhat	 no	 rarely	 never	 somewhat
female	 15	 dk	 very	 very	 no	 rarely	 never	 somewhat
female	 15	 y	 very	 very	 no	 sometimes	 sometimes	 somewhat
male	 16	 dk	 very	 very	 home	 veryregularly	 veryregularly	 very
male	 14	 n	 somewhat	 somewhat	 no	 never	 sometimes	 very
male	 15	 n	 very	 very	 school	 regularly	 never	 very
male	 13	 n	 somewhat	 somewhat	 no	 never	 sometimes	 somewhat
male	 15	 n	 very	 very	 school	 sometimes	 sometimes	 very
male	 11	 n	 somewhat	 very	 school	 sometimes	 never	 somewhat
male	 12	 n	 somewhat	 very	 school	 sometimes	 never	 somewhat
male	 14	 n	 somewhat	 somewhat	 no	 never	 sometimes	 very
male	 14	 n	 somewhat	 somewhat	 no	 never	 sometimes	 somewhat
male	 11	 n	 somewhat	 very	 home	 sometimes	 never	 somewhat
male	 14	 n	 somewhat	 somewhat	 home	 veryregularly	 rarely	 very
male	 15	 dk	 unsure	 somewhat	 no	 sometimes	 rarely	 very
male	 15	 y	 very	 very	 home	 sometimes	 regularly	 very
male	 13	 dk	 unsure	 somewhat	 no	 sometimes	 rarely	 very
male	 17	 n	 very	 very	 home	 regularly	 sometimes	 unsure
male	 14	 n	 somewhat	 notmuch	 no	 rarely	 never	 somewhat
male	 15	 n	 very	 very	 school	 regularly	 sometimes	 somewhat
male	 14	 y	 somewhat	 somewhat	 no	 regularly	 never	 very
male	 15	 n	 very	 very	 school	 regularly	 sometimes	 unsure
male	 13	 y	 somewhat	 somewhat	 no	 never	 sometimes	 very
male	 13	 y	 very	 very	 home	 sometimes	 regularly	 very
male	 18	 y	 very	 very	 home	 regularly	 regularly	 very
male	 17	 dk	 somewhat	 somewhat	 home	 veryregularly	 regularly	 somewhat
male	 17	 dk	 somewhat	 somewhat	 home	 sometimes	 regularly	 very
male	 15	 dk	 somewhat	 somewhat	 no	 rarely	 sometimes	 somewhat
male	 18	 n	 very	 very	 no	 never	 sometimes	 somewhat
male	 17	 n	 unsure	 very	 no	 sometimes	 veryregularly	 very
male	 17	 n	 very	 very	 no	 regularly	 regularly	 very
male	 16	 n	 unsure	 somewhat	 home	 regularly	 regularly	 somewhat
male	 18	 n	 somewhat	 very	 home	 regularly	 veryregularly	 very
male	 15	 n	 very	 very	 no	 sometimes	 rarely	 very
male	 12	 dk	 unsure	 very	 school	 sometimes	 veryregularly	 very
male	 13	 dk	 unsure	 very	 home	 sometimes	 never	 very
male	 13	 y	 unsure	 very	 no	 sometimes	 sometimes	 somewhat
male	 13	 y	 very	 unsure	 no	 sometimes	 never	 somewhat
male	 17	 dk	 very	 very	 no	 rarely	 veryregularly	 somewhat
male	 11	 dk	 very	 very	 no	 rarely	 sometimes	 very
male	 17	 dk	 somewhat	 somewhat	 school	 never	 never	 somewhat
male	 18	 y	 very	 very	 home	 regularly	 regularly	 very
male	 17	 n	 somewhat	 very	 no	 sometimes	 sometimes	 very
male	 18	 dk	 unsure	 very	 no	 sometimes	 sometimes	 very
male	 16	 dk	 very	 unsure	 home	 sometimes	 sometimes	 very
male	 12	 dk	 very	 very	 no	 sometimes	 never	 very
female	 13	 dk	 unsure	 very	 school	 never	 sometimes	 somewhat
female	 15	 dk	 very	 very	 no	 sometimes	 never	 very
female	 15	 dk	 very	 very	 no	 sometimes	 sometimes	 notatall
female	 15	 dk	 very	 very	 no	 sometimes	 never	 somewhat
female	 14	 n	 very	 somewhat	 no	 sometimes	 never	 somewhat
female	 14	 n	 very	 somewhat	 no	 sometimes	 never	 somewhat
female	 14	 dk	 very	 very	 no	 rarely	 rarely	 somewhat
female	 14	 dk	 very	 very	 no	 sometimes	 never	 very
female	 14	 dk	 very	 very	 no	 sometimes	 never	 very
female	 14	 dk	 very	 very	 home	 sometimes	 sometimes	 very
female	 13	 dk	 very	 very	 home	 sometimes	 sometimes	 very
female	 13	 dk	 somewhat	 somewhat	 home	 sometimes	 sometimes	 very
female	 15	 dk	 somewhat	 somewhat	 home	 regularly	 never	 somewhat
female	 16	 n	 somewhat	 somewhat	 no	 rarely	 never	 very
female	 15	 dk	 somewhat	 somewhat	 home	 regularly	 never	 somewhat
female	 13	 dk	 unsure	 somewhat	 school	 never	 never	 somewhat
female	 14	 dk	 unsure	 somewhat	 school	 never	 never	 somewhat
female	 14	 dk	 unsure	 somewhat	 school	 never	 never	 somewhat
