male	 16	 y	 somewhat	 somewhat	 no	 sometimes	 sometimes	 unsure
female	 15	 y	 somewhat	 very	 no	 rarely	 sometimes	 very
female	 14	 y	 somewhat	 somewhat	 school	 regularly	 sometimes	 very
female	 15	 y	 very	 very	 school	 regularly	 sometimes	 somewhat
female	 15	 y	 very	 very	 school	 regularly	 sometimes	 somewhat
female	 15	 y	 somewhat	 somewhat	 school	 regularly	 sometimes	 very
female	 15	 y	 very	 very	 school	 veryregularly	 sometimes	 very
female	 15	 y	 very	 very	 school	 veryregularly	 sometimes	 very
female	 15	 y	 very	 very	 school	 veryregularly	 sometimes	 somewhat
female	 13	 y	 very	 very	 school	 regularly	 sometimes	 very
female	 13	 y	 somewhat	 very	 no	 sometimes	 never	 very
female	 15	 y	 somewhat	 very	 school	 veryregularly	 sometimes	 very
female	 16	 y	 very	 very	 school	 sometimes	 never	 very
female	 16	 y	 very	 somewhat	 school	 regularly	 sometimes	 very
female	 15	 y	 somewhat	 somewhat	 school	 regularly	 never	 very
female	 16	 y	 very	 very	 school	 sometimes	 never	 very
female	 16	 y	 very	 very	 school	 sometimes	 never	 very
female	 16	 y	 somewhat	 very	 school	 veryregularly	 sometimes	 very
female	 16	 dk	 somewhat	 somewhat	 school	 sometimes	 never	 somewhat
female	 16	 y	 very	 very	 school	 veryregularly	 sometimes	 somewhat
female	 13	 y	 somewhat	 very	 no	 regularly	 never	 very
female	 14	 y	 very	 very	 home	 sometimes	 never	 very
female	 15	 dk	 somewhat	 very	 no	 rarely	 never	 somewhat
female	 13	 y	 somewhat	 very	 home	 regularly	 never	 very
female	 15	 n	 very	 very	 home	 regularly	 sometimes	 very
female	 15	 dk	 somewhat	 very	 no	 rarely	 never	 somewhat
female	 15	 n	 very	 very	 no	 sometimes	 sometimes	 somewhat
female	 15	 n	 very	 very	 no	 sometimes	 sometimes	 somewhat
female	 15	 n	 somewhat	 very	 no	 sometimes	 never	 very
female	 15	 n	 somewhat	 somewhat	 no	 sometimes	 never	 somewhat
female	 15	 n	 somewhat	 very	 no	 sometimes	 never	 very
female	 14	 y	 somewhat	 somewhat	 school	 sometimes	 sometimes	 somewhat
female	 12	 dk	 somewhat	 unsure	 no	 sometimes	 never	 unsure
female	 14	 n	 somewhat	 somewhat	 school	 sometimes	 sometimes	 somewhat
female	 16	 dk	 somewhat	 somewhat	 school	 rarely	 sometimes	 somewhat
female	 14	 n	 somewhat	 somewhat	 school	 sometimes	 sometimes	 somewhat
female	 14	 n	 somewhat	 somewhat	 school	 sometimes	 sometimes	 somewhat
female	 16	 y	 very	 very	 home	 regularly	 sometimes	 very
male	 14	 y	 very	 very	 school	 sometimes	 sometimes	 very
male	 14	 y	 very	 very	 school	 veryregularly	 sometimes	 very
male	 17	 dk	 unsure	 somewhat	 no	 rarely	 rarely	 somewhat
male	 15	 y	 very	 very	 no	 sometimes	 sometimes	 very
male	 16	 y	 somewhat	 somewhat	 no	 regularly	 rarely	 somewhat
male	 15	 n	 very	 very	 school	 regularly	 sometimes	 very
male	 17	 dk	 unsure	 somewhat	 no	 regularly	 rarely	 somewhat
male	 17	 y	 very	 very	 no	 sometimes	 sometimes	 unsure
male	 16	 n	 somewhat	 somewhat	 home	 regularly	 sometimes	 somewhat
male	 16	 n	 somewhat	 somewhat	 no	 rarely	 sometimes	 somewhat
male	 15	 n	 very	 very	 school	 regularly	 never	 very
male	 14	 y	 somewhat	 somewhat	 school	 sometimes	 never	 somewhat
male	 15	 y	 very	 very	 school	 sometimes	 veryregularly	 very
male	 16	 y	 very	 very	 home	 regularly	 never	 somewhat
male	 16	 n	 somewhat	 very	 no	 sometimes	 sometimes	 somewhat
male	 14	 n	 somewhat	 somewhat	 home	 sometimes	 rarely	 somewhat
male	 14	 n	 unsure	 somewhat	 home	 regularly	 rarely	 somewhat
male	 16	 y	 very	 very	 home	 veryregularly	 regularly	 very
male	 16	 y	 very	 very	 home	 veryregularly	 regularly	 very
male	 16	 y	 very	 very	 home	 veryregularly	 regularly	 very
male	 13	 n	 somewhat	 somewhat	 home	 regularly	 sometimes	 somewhat
male	 13	 n	 somewhat	 very	 no	 sometimes	 sometimes	 somewhat
male	 15	 n	 very	 somewhat	 no	 rarely	 never	 somewhat
male	 14	 n	 somewhat	 somewhat	 no	 sometimes	 sometimes	 somewhat
male	 15	 n	 very	 somewhat	 home	 regularly	 never	 unsure
male	 14	 n	 unsure	 somewhat	 home	 sometimes	 never	 unsure
male	 16	 y	 very	 very	 home	 sometimes	 sometimes	 somewhat
male	 15	 y	 very	 very	 home	 sometimes	 sometimes	 very
male	 15	 y	 very	 somewhat	 school	 sometimes	 never	 somewhat
male	 16	 y	 very	 very	 home	 regularly	 never	 somewhat
male	 17	 y	 very	 very	 home	 regularly	 never	 somewhat
male	 15	 y	 very	 very	 home	 veryregularly	 veryregularly	 very
male	 14	 y	 very	 very	 no	 regularly	 veryregularly	 very
male	 15	 y	 very	 very	 school	 sometimes	 sometimes	 very
male	 14	 n	 unsure	 somewhat	 no	 sometimes	 never	 very
male	 15	 y	 somewhat	 very	 no	 sometimes	 sometimes	 somewhat
female	 16	 n	 somewhat	 somewhat	 no	 rarely	 never	 somewhat
