male	 16	 n	 unsure	 somewhat	 no	 sometimes	 veryregularly	 very
male	 15	 n	 somewhat	 somewhat	 no	 regularly	 veryregularly	 very
male	 15	 n	 somewhat	 very	 home	 regularly	 sometimes	 somewhat
male	 16	 n	 somewhat	 very	 no	 sometimes	 sometimes	 somewhat
male	 16	 n	 very	 very	 home	 regularly	 sometimes	 somewhat
male	 16	 y	 very	 very	 home	 regularly	 sometimes	 very
male	 15	 y	 very	 very	 home	 veryregularly	 rarely	 unsure
male	 16	 n	 somewhat	 very	 home	 veryregularly	 regularly	 somewhat
male	 15	 dk	 somewhat	 somewhat	 no	 sometimes	 sometimes	 notmuch
male	 16	 dk	 very	 very	 no	 rarely	 sometimes	 somewhat
male	 16	 y	 somewhat	 very	 no	 sometimes	 sometimes	 somewhat
male	 16	 dk	 unsure	 somewhat	 no	 sometimes	 regularly	 somewhat
male	 16	 n	 unsure	 somewhat	 home	 regularly	 sometimes	 very
male	 15	 n	 somewhat	 somewhat	 school	 sometimes	 regularly	 very
male	 15	 n	 somewhat	 somewhat	 home	 veryregularly	 sometimes	 somewhat
male	 16	 n	 very	 very	 home	 regularly	 sometimes	 very
female	 14	 n	 very	 very	 no	 never	 sometimes	 somewhat
female	 14	 dk	 very	 very	 no	 never	 never	 somewhat
female	 14	 dk	 very	 very	 no	 sometimes	 sometimes	 very
female	 14	 dk	 very	 somewhat	 school	 regularly	 never	 very
female	 15	 dk	 unsure	 unsure	 home	 sometimes	 sometimes	 very
female	 14	 n	 unsure	 somewhat	 school	 never	 never	 very
female	 14	 n	 very	 very	 no	 never	 sometimes	 very
female	 13	 n	 somewhat	 somewhat	 home	 rarely	 sometimes	 somewhat
female	 13	 n	 somewhat	 somewhat	 home	 sometimes	 sometimes	 somewhat
female	 14	 dk	 somewhat	 somewhat	 no	 rarely	 sometimes	 somewhat
female	 14	 dk	 very	 very	 no	 sometimes	 sometimes	 very
female	 13	 dk	 unsure	 somewhat	 school	 sometimes	 never	 very
female	 13	 dk	 very	 very	 school	 rarely	 never	 very
male	 15	 n	 somewhat	 somewhat	 no	 rarely	 sometimes	 very
male	 15	 n	 somewhat	 very	 home	 regularly	 never	 somewhat
male	 15	 n	 unsure	 very	 school	 sometimes	 rarely	 very
male	 16	 n	 unsure	 very	 no	 never	 never	 very
male	 15	 n	 very	 very	 no	 sometimes	 sometimes	 very
male	 16	 n	 somewhat	 somewhat	 school	 sometimes	 never	 notmuch
male	 14	 n	 very	 very	 home	 sometimes	 never	 somewhat
male	 16	 n	 unsure	 somewhat	 no	 sometimes	 never	 somewhat
male	 15	 n	 somewhat	 very	 home	 sometimes	 regularly	 very
male	 16	 n	 somewhat	 very	 home	 veryregularly	 never	 somewhat
male	 16	 n	 unsure	 somewhat	 no	 sometimes	 never	 somewhat
male	 16	 n	 unsure	 very	 school	 sometimes	 veryregularly	 very
male	 16	 n	 unsure	 very	 school	 sometimes	 sometimes	 very
male	 16	 n	 unsure	 very	 home	 veryregularly	 sometimes	 very
male	 13	 dk	 somewhat	 very	 home	 regularly	 regularly	 very
male	 14	 dk	 unsure	 unsure	 no	 sometimes	 never	 very
male	 15	 n	 unsure	 very	 school	 sometimes	 never	 very
male	 15	 n	 very	 very	 home	 sometimes	 never	 somewhat
male	 14	 n	 very	 very	 home	 veryregularly	 never	 somewhat
male	 15	 n	 very	 very	 no	 sometimes	 never	 somewhat
male	 15	 n	 unsure	 somewhat	 school	 rarely	 sometimes	 very
male	 14	 n	 very	 very	 no	 rarely	 never	 very
female	 15	 n	 somewhat	 somewhat	 school	 sometimes	 sometimes	 somewhat
female	 15	 n	 somewhat	 somewhat	 school	 sometimes	 sometimes	 somewhat
female	 15	 n	 somewhat	 somewhat	 school	 sometimes	 sometimes	 somewhat
female	 15	 n	 somewhat	 somewhat	 school	 sometimes	 sometimes	 somewhat
female	 15	 n	 somewhat	 somewhat	 school	 sometimes	 sometimes	 somewhat
female	 15	 n	 very	 somewhat	 school	 sometimes	 sometimes	 somewhat
female	 15	 n	 somewhat	 somewhat	 school	 sometimes	 sometimes	 somewhat
female	 15	 n	 somewhat	 somewhat	 school	 sometimes	 sometimes	 somewhat
female	 15	 n	 somewhat	 somewhat	 school	 sometimes	 sometimes	 somewhat
female	 15	 n	 somewhat	 very	 school	 sometimes	 never	 very
female	 15	 n	 somewhat	 very	 school	 sometimes	 sometimes	 somewhat
female	 14	 n	 somewhat	 somewhat	 school	 regularly	 never	 somewhat
female	 15	 n	 somewhat	 somewhat	 school	 sometimes	 sometimes	 somewhat
female	 15	 n	 somewhat	 somewhat	 school	 regularly	 never	 somewhat
female	 15	 n	 very	 very	 school	 sometimes	 never	 somewhat
female	 15	 n	 somewhat	 somewhat	 school	 sometimes	 sometimes	 somewhat
female	 15	 n	 somewhat	 somewhat	 school	 sometimes	 sometimes	 somewhat
female	 15	 n	 somewhat	 somewhat	 school	 sometimes	 sometimes	 somewhat
female	 16	 n	 somewhat	 somewhat	 school	 sometimes	 sometimes	 somewhat
female	 16	 n	 somewhat	 somewhat	 school	 sometimes	 sometimes	 somewhat
male	 13	 n	 very	 very	 home	 veryregularly	 veryregularly	 unsure
male	 15	 dk	 very	 very	 home	 regularly	 veryregularly	 very
male	 15	 dk	 very	 very	 home	 regularly	 veryregularly	 very
male	 17	 dk	 very	 very	 no	 sometimes	 never	 unsure
male	 15	 dk	 very	 very	 home	 regularly	 sometimes	 very
male	 16	 dk	 very	 very	 no	 rarely	 never	 unsure
male	 15	 dk	 very	 very	 no	 never	 never	 very
male	 14	 dk	 unsure	 somewhat	 home	 veryregularly	 rarely	 somewhat
male	 15	 y	 very	 very	 no	 regularly	 sometimes	 somewhat
male	 11	 dk	 very	 very	 no	 never	 never	 very
male	 14	 dk	 somewhat	 somewhat	 home	 sometimes	 never	 somewhat
male	 15	 n	 very	 very	 no	 regularly	 sometimes	 very
male	 14	 dk	 somewhat	 somewhat	 home	 sometimes	 sometimes	 somewhat
male	 15	 dk	 somewhat	 somewhat	 home	 sometimes	 sometimes	 very
male	 15	 dk	 very	 somewhat	 home	 regularly	 never	 unsure
male	 14	 dk	 very	 very	 home	 regularly	 never	 somewhat
male	 14	 n	 somewhat	 very	 home	 regularly	 never	 somewhat
male	 14	 n	 somewhat	 very	 home	 regularly	 never	 somewhat
male	 15	 dk	 somewhat	 very	 home	 regularly	 rarely	 somewhat
male	 14	 dk	 somewhat	 very	 home	 regularly	 never	 somewhat
male	 15	 dk	 very	 very	 home	 regularly	 rarely	 somewhat
female	 15	 y	 somewhat	 somewhat	 no	 sometimes	 never	 very
female	 13	 dk	 somewhat	 somewhat	 home	 sometimes	 never	 somewhat
female	 12	 y	 very	 very	 no	 sometimes	 never	 very
female	 15	 y	 somewhat	 somewhat	 no	 sometimes	 never	 very
female	 14	 y	 somewhat	 somewhat	 no	 regularly	 sometimes	 somewhat
female	 14	 y	 very	 somewhat	 home	 regularly	 never	 very
female	 13	 y	 very	 very	 home	 regularly	 never	 very
female	 14	 y	 very	 very	 home	 regularly	 never	 very
female	 14	 y	 somewhat	 somewhat	 home	 regularly	 sometimes	 somewhat
female	 14	 dk	 very	 very	 home	 veryregularly	 never	 somewhat
female	 15	 dk	 very	 very	 home	 regularly	 sometimes	 very
female	 15	 n	 somewhat	 very	 home	 sometimes	 never	 very
female	 15	 n	 somewhat	 very	 no	 sometimes	 never	 very
female	 15	 n	 somewhat	 very	 no	 sometimes	 never	 very
female	 15	 n	 very	 very	 no	 sometimes	 rarely	 very
female	 15	 dk	 very	 very	 school	 regularly	 rarely	 very
female	 15	 dk	 very	 very	 school	 regularly	 rarely	 very
female	 15	 dk	 very	 very	 school	 veryregularly	 sometimes	 very
female	 15	 dk	 very	 very	 school	 sometimes	 sometimes	 very
