male	 14	 y	 unsure	 notatall	 no	 sometimes	 sometimes	 somewhat
male	 13	 n	 unsure	 very	 no	 sometimes	 sometimes	 very
male	 11	 n	 unsure	 very	 no	 rarely	 never	 very
male	 14	 dk	 very	 very	 home	 veryregularly	 rarely	 somewhat
male	 16	 dk	 very	 very	 no	 rarely	 sometimes	 somewhat
male	 14	 n	 somewhat	 somewhat	 no	 rarely	 sometimes	 somewhat
male	 14	 dk	 somewhat	 very	 home	 regularly	 never	 very
male	 12	 y	 somewhat	 somewhat	 no	 sometimes	 sometimes	 somewhat
male	 15	 y	 somewhat	 somewhat	 no	 sometimes	 sometimes	 somewhat
male	 18	 dk	 unsure	 somewhat	 no	 never	 veryregularly	 very
male	 15	 n	 very	 very	 no	 rarely	 never	 very
male	 15	 n	 very	 very	 no	 rarely	 never	 very
male	 16	 n	 very	 very	 home	 regularly	 never	 somewhat
male	 18	 n	 somewhat	 somewhat	 no	 rarely	 sometimes	 somewhat
male	 14	 dk	 somewhat	 very	 home	 sometimes	 sometimes	 somewhat
male	 15	 dk	 very	 very	 no	 sometimes	 sometimes	 very
male	 14	 dk	 very	 very	 no	 sometimes	 regularly	 somewhat
male	 12	 dk	 very	 very	 no	 sometimes	 sometimes	 very
male	 14	 dk	 very	 very	 no	 sometimes	 sometimes	 very
male	 14	 dk	 very	 very	 no	 sometimes	 sometimes	 very
male	 13	 y	 very	 very	 no	 sometimes	 never	 very
male	 15	 y	 very	 very	 no	 rarely	 sometimes	 very
male	 14	 n	 very	 somewhat	 no	 sometimes	 never	 somewhat
male	 14	 n	 very	 somewhat	 no	 sometimes	 never	 somewhat
male	 14	 n	 very	 very	 no	 sometimes	 never	 somewhat
male	 13	 n	 very	 very	 no	 sometimes	 never	 somewhat
male	 14	 dk	 somewhat	 somewhat	 no	 never	 rarely	 somewhat
male	 15	 dk	 unsure	 very	 no	 sometimes	 sometimes	 somewhat
male	 14	 dk	 unsure	 very	 no	 sometimes	 sometimes	 somewhat
male	 13	 n	 unsure	 very	 home	 regularly	 never	 somewhat
male	 16	 n	 very	 very	 no	 sometimes	 sometimes	 somewhat
male	 15	 dk	 unsure	 very	 school	 sometimes	 sometimes	 very
male	 15	 dk	 unsure	 very	 school	 sometimes	 sometimes	 very
male	 15	 dk	 unsure	 very	 school	 sometimes	 never	 very
male	 14	 n	 very	 somewhat	 no	 sometimes	 never	 somewhat
male	 15	 dk	 somewhat	 somewhat	 no	 sometimes	 sometimes	 somewhat
male	 15	 dk	 somewhat	 somewhat	 no	 sometimes	 sometimes	 somewhat
male	 15	 dk	 unsure	 very	 school	 sometimes	 regularly	 very
male	 14	 n	 somewhat	 very	 home	 veryregularly	 never	 somewhat
male	 13	 n	 somewhat	 somewhat	 no	 never	 never	 somewhat
male	 15	 n	 somewhat	 somewhat	 home	 sometimes	 never	 somewhat
male	 15	 n	 somewhat	 very	 home	 veryregularly	 never	 somewhat
male	 14	 n	 somewhat	 very	 no	 regularly	 never	 somewhat
male	 15	 dk	 somewhat	 very	 no	 rarely	 sometimes	 somewhat
male	 15	 dk	 somewhat	 very	 home	 veryregularly	 sometimes	 somewhat
male	 15	 dk	 somewhat	 very	 home	 veryregularly	 sometimes	 somewhat
female	 13	 n	 somewhat	 very	 home	 regularly	 rarely	 somewhat
female	 14	 dk	 very	 very	 no	 sometimes	 never	 very
female	 15	 n	 somewhat	 very	 home	 rarely	 rarely	 very
female	 15	 y	 very	 somewhat	 no	 sometimes	 sometimes	 very
female	 14	 n	 very	 very	 no	 sometimes	 never	 very
female	 15	 dk	 unsure	 unsure	 home	 regularly	 rarely	 unsure
female	 14	 n	 very	 very	 no	 rarely	 never	 somewhat
female	 15	 dk	 very	 very	 school	 regularly	 regularly	 very
female	 14	 dk	 somewhat	 somewhat	 home	 sometimes	 never	 somewhat
female	 14	 dk	 very	 somewhat	 no	 sometimes	 rarely	 very
female	 14	 y	 very	 very	 school	 regularly	 sometimes	 very
female	 14	 y	 very	 very	 school	 regularly	 sometimes	 very
female	 14	 y	 very	 very	 school	 regularly	 regularly	 very
female	 14	 n	 somewhat	 very	 no	 rarely	 never	 somewhat
female	 13	 dk	 very	 very	 school	 sometimes	 sometimes	 very
female	 14	 n	 very	 very	 no	 sometimes	 never	 very
female	 15	 n	 somewhat	 somewhat	 no	 rarely	 never	 somewhat
female	 14	 n	 very	 very	 home	 sometimes	 never	 very
female	 14	 n	 very	 very	 school	 sometimes	 never	 very
female	 15	 n	 very	 very	 home	 regularly	 sometimes	 very
female	 15	 n	 very	 very	 no	 regularly	 regularly	 very
female	 15	 n	 very	 very	 no	 regularly	 regularly	 very
female	 15	 n	 very	 very	 no	 veryregularly	 sometimes	 very
female	 15	 dk	 very	 very	 home	 regularly	 sometimes	 very
female	 15	 n	 very	 very	 home	 regularly	 sometimes	 very
female	 15	 n	 somewhat	 very	 home	 sometimes	 rarely	 very
female	 15	 n	 very	 very	 no	 regularly	 sometimes	 very
female	 15	 n	 somewhat	 very	 home	 regularly	 rarely	 very
female	 15	 n	 very	 very	 school	 sometimes	 never	 very
female	 14	 n	 somewhat	 very	 no	 rarely	 never	 somewhat
female	 15	 dk	 very	 somewhat	 no	 rarely	 rarely	 very
female	 15	 dk	 somewhat	 very	 no	 rarely	 never	 somewhat
female	 14	 n	 somewhat	 very	 no	 rarely	 never	 somewhat
female	 15	 dk	 very	 very	 school	 sometimes	 sometimes	 very
female	 14	 dk	 very	 very	 home	 veryregularly	 sometimes	 very
female	 14	 dk	 very	 very	 school	 sometimes	 sometimes	 very
female	 13	 n	 somewhat	 very	 home	 regularly	 rarely	 somewhat
female	 14	 n	 very	 very	 school	 regularly	 sometimes	 very
female	 14	 n	 very	 very	 school	 regularly	 sometimes	 very
female	 11	 n	 very	 very	 school	 regularly	 sometimes	 very
female	 10	 y	 very	 very	 school	 regularly	 sometimes	 very
female	 13	 y	 very	 very	 school	 regularly	 sometimes	 very
female	 12	 y	 very	 very	 school	 regularly	 sometimes	 very
female	 14	 y	 very	 very	 school	 regularly	 sometimes	 very
female	 14	 n	 very	 very	 no	 rarely	 sometimes	 very
female	 9	 y	 very	 very	 school	 regularly	 regularly	 very
female	 14	 y	 very	 very	 school	 regularly	 sometimes	 very
female	 14	 y	 very	 very	 school	 regularly	 sometimes	 very
female	 12	 y	 very	 very	 school	 regularly	 sometimes	 very
female	 9	 y	 very	 very	 school	 regularly	 sometimes	 very
female	 9	 y	 very	 very	 school	 regularly	 sometimes	 very
female	 12	 y	 very	 very	 school	 regularly	 sometimes	 very
female	 10	 y	 very	 very	 school	 regularly	 sometimes	 very
female	 9	 n	 very	 very	 school	 regularly	 regularly	 very
female	 16	 n	 very	 very	 school	 regularly	 regularly	 very
female	 8	 y	 very	 very	 no	 regularly	 regularly	 very
female	 12	 n	 very	 very	 school	 regularly	 regularly	 very
female	 16	 n	 very	 very	 school	 regularly	 regularly	 very
male	 14	 y	 very	 very	 school	 regularly	 regularly	 very
male	 16	 y	 very	 very	 school	 regularly	 sometimes	 very
male	 16	 n	 unsure	 somewhat	 no	 sometimes	 sometimes	 somewhat
male	 16	 n	 somewhat	 somewhat	 home	 regularly	 rarely	 somewhat
male	 15	 dk	 very	 somewhat	 home	 regularly	 sometimes	 somewhat
male	 14	 dk	 unsure	 very	 home	 regularly	 sometimes	 very
male	 14	 dk	 very	 somewhat	 home	 regularly	 sometimes	 somewhat
male	 14	 dk	 very	 very	 home	 regularly	 sometimes	 somewhat
male	 16	 y	 very	 very	 home	 regularly	 veryregularly	 very
male	 18	 y	 very	 very	 no	 regularly	 regularly	 very
male	 14	 n	 somewhat	 somewhat	 home	 veryregularly	 sometimes	 somewhat
male	 15	 dk	 somewhat	 somewhat	 home	 regularly	 never	 somewhat
male	 16	 n	 somewhat	 somewhat	 home	 veryregularly	 sometimes	 somewhat
male	 15	 n	 very	 very	 home	 veryregularly	 sometimes	 somewhat
male	 15	 n	 very	 very	 no	 regularly	 sometimes	 very
male	 16	 y	 very	 very	 home	 veryregularly	 regularly	 very
male	 16	 dk	 very	 very	 no	 regularly	 regularly	 very
male	 18	 dk	 somewhat	 very	 no	 sometimes	 rarely	 somewhat
male	 18	 y	 very	 very	 home	 veryregularly	 sometimes	 very
male	 16	 dk	 very	 very	 home	 sometimes	 rarely	 somewhat
male	 15	 dk	 somewhat	 very	 home	 regularly	 sometimes	 somewhat
male	 16	 dk	 somewhat	 very	 home	 regularly	 sometimes	 somewhat
