male	 16	 y	 very	 very	 home	 regularly	 regularly	 somewhat
male	 13	 y	 somewhat	 somewhat	 school	 veryregularly	 sometimes	 somewhat
male	 11	 dk	 somewhat	 very	 home	 regularly	 sometimes	 very
male	 13	 y	 very	 somewhat	 school	 regularly	 veryregularly	 somewhat
male	 12	 dk	 very	 very	 no	 sometimes	 never	 somewhat
male	 13	 dk	 unsure	 somewhat	 home	 veryregularly	 regularly	 somewhat
male	 12	 n	 somewhat	 very	 home	 sometimes	 never	 somewhat
male	 12	 n	 very	 very	 home	 sometimes	 sometimes	 very
male	 14	 y	 somewhat	 very	 home	 regularly	 sometimes	 somewhat
male	 13	 y	 somewhat	 somewhat	 home	 regularly	 sometimes	 somewhat
male	 13	 n	 very	 very	 home	 veryregularly	 sometimes	 somewhat
male	 16	 n	 very	 somewhat	 school	 sometimes	 regularly	 very
male	 14	 n	 somewhat	 somewhat	 home	 regularly	 regularly	 somewhat
male	 16	 n	 very	 somewhat	 school	 sometimes	 sometimes	 very
male	 12	 dk	 very	 very	 home	 veryregularly	 never	 very
male	 11	 y	 somewhat	 very	 home	 sometimes	 never	 somewhat
male	 13	 y	 very	 very	 home	 veryregularly	 never	 very
male	 12	 dk	 somewhat	 very	 no	 sometimes	 never	 somewhat
male	 11	 dk	 unsure	 very	 no	 sometimes	 never	 very
male	 13	 n	 very	 very	 home	 veryregularly	 sometimes	 very
male	 13	 n	 very	 very	 home	 veryregularly	 never	 very
male	 14	 n	 somewhat	 somewhat	 home	 sometimes	 rarely	 unsure
male	 11	 dk	 somewhat	 very	 no	 sometimes	 rarely	 very
male	 12	 y	 somewhat	 very	 home	 veryregularly	 sometimes	 somewhat
male	 14	 y	 somewhat	 very	 home	 veryregularly	 sometimes	 notatall
male	 13	 y	 very	 very	 home	 veryregularly	 sometimes	 very
male	 14	 y	 unsure	 unsure	 home	 veryregularly	 never	 very
male	 12	 y	 somewhat	 somewhat	 HomeSchool	 veryregularly	 regularly	 somewhat
male	 14	 dk	 very	 very	 home	 veryregularly	 never	 very
male	 13	 n	 very	 very	 home	 veryregularly	 never	 very
male	 12	 n	 unsure	 very	 home	 sometimes	 regularly	 very
male	 13	 dk	 very	 very	 home	 regularly	 sometimes	 somewhat
male	 14	 dk	 somewhat	 somewhat	 no	 rarely	 rarely	 somewhat
male	 13	 dk	 very	 very	 home	 regularly	 never	 very
male	 15	 n	 somewhat	 somewhat	 home	 sometimes	 rarely	 somewhat
male	 14	 n	 somewhat	 very	 home	 regularly	 rarely	 somewhat
male	 16	 n	 somewhat	 very	 no	 sometimes	 veryregularly	 very
male	 13	 y	 somewhat	 very	 no	 rarely	 never	 somewhat
male	 15	 y	 very	 very	 home	 veryregularly	 sometimes	 somewhat
male	 16	 n	 somewhat	 somewhat	 school	 veryregularly	 never	 somewhat
male	 15	 dk	 somewhat	 somewhat	 no	 sometimes	 sometimes	 somewhat
male	 16	 n	 somewhat	 very	 school	 sometimes	 rarely	 somewhat
male	 13	 dk	 somewhat	 unsure	 no	 sometimes	 sometimes	 somewhat
male	 13	 dk	 somewhat	 very	 no	 sometimes	 regularly	 very
male	 14	 y	 somewhat	 somewhat	 home	 regularly	 rarely	 somewhat
male	 13	 y	 very	 very	 home	 veryregularly	 veryregularly	 very
male	 13	 y	 somewhat	 very	 school	 regularly	 never	 somewhat
male	 11	 dk	 very	 very	 home	 never	 sometimes	 somewhat
male	 14	 dk	 very	 very	 home	 veryregularly	 never	 somewhat
male	 12	 dk	 very	 unsure	 no	 never	 never	 very
male	 11	 n	 somewhat	 very	 no	 sometimes	 never	 very
male	 12	 dk	 unsure	 somewhat	 no	 sometimes	 never	 very
male	 14	 y	 very	 very	 home	 veryregularly	 sometimes	 very
male	 13	 n	 very	 somewhat	 home	 regularly	 never	 very
male	 15	 y	 very	 very	 home	 regularly	 never	 somewhat
male	 14	 y	 somewhat	 somewhat	 school	 sometimes	 rarely	 somewhat
male	 14	 n	 very	 somewhat	 home	 sometimes	 sometimes	 unsure
male	 14	 n	 very	 somewhat	 home	 sometimes	 sometimes	 unsure
female	 15	 y	 somewhat	 very	 no	 sometimes	 sometimes	 somewhat
female	 16	 n	 very	 very	 no	 sometimes	 never	 somewhat
female	 16	 n	 very	 very	 home	 veryregularly	 never	 somewhat
male	 15	 n	 somewhat	 very	 no	 regularly	 never	 very
male	 16	 y	 unsure	 very	 no	 rarely	 never	 unsure
male	 15	 n	 somewhat	 unsure	 no	 never	 never	 unsure
male	 13	 y	 very	 somewhat	 HomeSchool	 veryregularly	 rarely	 somewhat
male	 14	 dk	 very	 very	 home	 regularly	 veryregularly	 very
