,Gender,Age,CodedBefore,Scratch_rating,Microbit_rating,MakeArt_rating,MakePong_rating,KanoCode_rating,MakeSnake_rating,BuildKano_rating,HackMinecraft_rating,TerminalQuest_rating,KanoDeviceFeedback,ChallengingAspect,Want_to_LearnMoreCoding,VisitLibraryBefore,WillVisitLibrary,ITaccess,UseComputersOften,WillUseDevices
0,female,15,No,not_used,not_used,2,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,regularly,yes,no,never,yes
1,female,14,Alot,not_used,not_used,2,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,regularly,yes,home,veryregularly,yes
2,female,14,No,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,verygood,experience,yes,veryregularly,yes,home,sometimes,yes
3,female,13,No,not_rated,not_rated,not_rated,not_rated,not_rated,not_used,not_used,not_used,not_used,verygood,experience,yes,veryregularly,yes,no,never,yes
4,female,13,No,not_rated,not_rated,not_rated,not_rated,not_rated,not_used,not_used,not_used,not_used,verygood,both,yes,regularly,yes,no,never,yes
5,female,13,No,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,verygood,both,yes,regularly,yes,no,never,yes
6,female,15,No,not_used,4,5,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,never,yes,home,sometimes,yes
7,female,15,No,not_used,4,5,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,rarely,yes,no,sometimes,yes
8,female,15,Alittle,not_used,4,5,not_used,not_used,not_used,not_used,not_used,not_used,verygood,experience,yes,never,yes,no,sometimes,yes
9,female,15,Alittle,not_used,4,5,not_used,not_used,not_used,not_used,not_used,not_used,verygood,experience,yes,never,yes,no,sometimes,yes
10,female,14,Alittle,not_used,not_used,not_used,not_used,not_rated,not_used,not_used,not_used,not_used,verygood,english,yes,never,yes,no,sometimes,yes
