,Gender,Age,Pre_CanDoCoding,Pre_CodingImportance,Pre_CodingInterest,ITaccess,UseComputersOften,VisitLibraryBefore,DesireLibraryVisit
0,female,14,yes,very,very,home,veryregularly,sometimes,somewhat
1,female,14,yes,very,very,home,veryregularly,sometimes,somewhat
2,female,14,yes,very,very,no,regularly,sometimes,very
3,female,13,yes,unsure,somewhat,home,regularly,sometimes,unsure
4,female,12,yes,very,very,home,regularly,never,unsure
5,female,12,yes,very,very,home,regularly,never,unsure
6,female,12,no,very,very,no,rarely,sometimes,very
7,female,12,yes,very,very,HomeSchool,veryregularly,never,very
8,female,13,yes,very,very,school,regularly,never,very
9,female,13,no,very,very,no,veryregularly,never,very
10,female,17,dontknow,very,very,no,sometimes,sometimes,very
11,female,14,yes,notatall,notmuch,home,sometimes,sometimes,unsure
12,female,17,dontknow,very,very,no,sometimes,sometimes,very
13,female,15,dontknow,very,very,no,rarely,sometimes,very
14,female,15,dontknow,very,very,no,rarely,rarely,very
15,female,14,yes,very,very,no,regularly,never,very
16,female,14,yes,very,very,home,regularly,sometimes,very
17,female,14,yes,very,very,no,regularly,never,very
18,female,14,yes,very,very,no,regularly,sometimes,very
19,female,13,yes,very,very,home,regularly,sometimes,very
20,male,12,no,unsure,very,no,sometimes,sometimes,very
21,male,12,no,very,very,no,sometimes,sometimes,very
22,male,16,no,unsure,very,home,sometimes,sometimes,unsure
23,male,13,dontknow,unsure,somewhat,school,veryregularly,veryregularly,unsure
24,male,12,dontknow,unsure,unsure,no,sometimes,sometimes,somewhat
25,male,16,no,unsure,very,no,sometimes,sometimes,very
26,male,15,yes,unsure,unsure,school,regularly,veryregularly,unsure
27,male,14,yes,very,very,home,regularly,regularly,very
28,male,12,yes,somewhat,very,school,veryregularly,never,somewhat
29,male,13,yes,unsure,somewhat,home,veryregularly,sometimes,very
30,male,13,yes,unsure,somewhat,no,rarely,sometimes,very
31,male,12,yes,very,very,school,regularly,regularly,very
32,male,12,yes,very,very,school,regularly,regularly,very
33,male,12,yes,very,very,home,veryregularly,never,very
34,male,12,yes,very,very,school,regularly,regularly,very
35,male,14,no,very,very,no,never,sometimes,very
36,male,13,no,very,very,home,veryregularly,sometimes,somewhat
37,male,12,yes,very,somewhat,school,regularly,sometimes,somewhat
38,male,13,yes,somewhat,somewhat,school,veryregularly,sometimes,somewhat
39,male,12,yes,unsure,somewhat,school,sometimes,sometimes,very
40,male,12,yes,somewhat,somewhat,school,regularly,sometimes,somewhat
41,male,15,no,unsure,very,no,sometimes,veryregularly,very
42,male,15,no,unsure,very,no,sometimes,veryregularly,very
43,male,14,yes,very,very,no,sometimes,veryregularly,very
44,male,14,yes,unsure,very,no,sometimes,sometimes,very
45,male,13,yes,unsure,very,home,regularly,regularly,unsure
46,male,15,no,very,very,no,sometimes,veryregularly,very
47,male,15,yes,very,unsure,home,sometimes,veryregularly,very
48,male,15,dontknow,very,very,no,never,never,unsure
49,male,15,yes,unsure,very,no,never,sometimes,very
50,male,12,dontknow,very,very,no,never,regularly,very
51,male,12,dontknow,very,very,no,never,regularly,very
52,male,16,yes,very,very,home,veryregularly,veryregularly,very
53,male,16,yes,very,very,no,rarely,veryregularly,very
54,male,12,dontknow,very,very,no,never,never,very
55,male,14,dontknow,very,very,no,never,never,very
56,male,14,no,unsure,very,no,regularly,sometimes,unsure
57,male,14,no,unsure,very,no,sometimes,regularly,unsure
58,male,12,dontknow,unsure,unsure,no,regularly,never,unsure
59,male,13,yes,very,very,home,sometimes,sometimes,very
60,male,11,no,notmuch,unsure,no,sometimes,never,unsure
61,male,11,no,notatall,very,home,regularly,regularly,unsure
62,male,12,no,unsure,unsure,no,sometimes,never,unsure
63,male,11,no,notmuch,notmuch,no,sometimes,never,somewhat
64,male,12,yes,notmuch,notmuch,no,sometimes,never,somewhat
65,male,14,yes,very,very,home,regularly,sometimes,very
66,male,13,dontknow,somewhat,very,home,sometimes,sometimes,somewhat
67,male,11,dontknow,somewhat,very,home,sometimes,sometimes,somewhat
68,male,14,yes,unsure,unsure,home,sometimes,sometimes,very
69,male,12,dontknow,somewhat,very,home,sometimes,regularly,very
70,male,12,dontknow,notmuch,very,no,rarely,never,somewhat
71,male,15,dontknow,unsure,very,no,sometimes,veryregularly,very
72,male,15,dontknow,very,very,no,never,veryregularly,somewhat
73,male,14,no,very,very,no,never,regularly,very
74,female,11,dontknow,very,very,no,never,regularly,very
75,female,11,dontknow,very,very,no,sometimes,never,very
76,female,12,no,very,very,no,regularly,rarely,somewhat
77,female,11,dontknow,unsure,very,no,never,regularly,very
78,female,11,dontknow,very,very,no,sometimes,rarely,somewhat
79,female,13,no,very,very,no,regularly,rarely,somewhat
80,male,13,no,very,very,no,sometimes,sometimes,unsure
81,male,12,yes,very,very,home,regularly,veryregularly,very
82,male,13,yes,very,very,no,sometimes,regularly,very
83,male,13,yes,very,very,school,sometimes,sometimes,very
84,male,15,yes,very,very,school,regularly,sometimes,very
85,male,16,yes,very,very,school,regularly,sometimes,very
86,male,15,yes,very,very,school,regularly,sometimes,very
87,male,12,yes,unsure,very,home,regularly,sometimes,very
88,male,12,dontknow,very,very,no,sometimes,sometimes,very
89,male,14,yes,somewhat,very,school,regularly,sometimes,very
90,male,16,yes,very,very,school,regularly,regularly,very
91,male,14,yes,very,very,home,veryregularly,never,very
92,male,14,no,somewhat,unsure,home,veryregularly,never,very
93,male,14,no,somewhat,somewhat,no,regularly,regularly,very
94,male,14,no,somewhat,somewhat,no,regularly,regularly,very
95,male,15,no,unsure,somewhat,no,never,never,very
