,Post_CanDoCoding,Post_CodingInterest,Post_CodingImportance,WorkshopFeedback,Scratch_rating,Microbit_rating,MakeArt_rating,MakePong_rating,KanoCode_rating,MakeSnake_rating,HackMinecraft_rating,TerminalQuest_rating,VisitLibrary_Activities,VisitLibrary_Devices
0,yes,very,very,verygood,not_used,5,not_used,not_used,not_used,not_used,not_used,not_used,yes,yes
1,yes,very,very,verygood,5,not_used,5,not_used,4,not_used,not_used,not_used,yes,maybe
2,yes,somewhat,somewhat,good,not_rated,not_used,not_rated,not_used,not_rated,not_used,not_used,not_used,yes,maybe
3,dontknow,very,very,verygood,not_rated,not_used,not_used,not_used,not_used,not_used,not_used,not_rated,yes,maybe
4,yes,very,very,verygood,not_used,not_used,not_used,not_used,not_used,not_rated,not_used,not_used,yes,yes
5,yes,very,very,verygood,not_used,not_used,not_used,not_used,not_used,not_rated,not_used,not_used,yes,yes
6,yes,somewhat,unsure,good,not_used,not_used,not_used,not_used,not_rated,not_used,not_used,not_used,yes,maybe
7,yes,very,very,good,5,not_used,5,not_used,not_used,not_used,not_used,not_used,yes,maybe
8,yes,somewhat,very,verygood,3,not_used,not_used,not_used,not_used,not_used,5,4,yes,maybe
9,yes,somewhat,somewhat,good,5,not_used,4,not_used,4,3,not_used,not_used,yes,yes
10,no,somewhat,somewhat,verygood,not_used,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,yes,yes
11,yes,very,very,verygood,5,not_used,4,not_used,5,5,not_used,not_used,yes,yes
12,yes,very,very,okay,5,not_used,not_used,not_used,not_used,not_used,not_used,not_used,yes,yes
13,dontknow,unsure,unsure,good,2,not_used,3,not_used,1,not_used,4,not_used,yes,maybe
14,yes,very,very,okay,5,not_used,not_used,not_used,not_used,not_used,not_used,5,yes,yes
15,yes,somewhat,somewhat,good,5,not_used,4,not_used,not_used,not_used,not_used,4,yes,yes
16,dontknow,somewhat,somewhat,okay,3,not_used,3,not_used,2,not_used,4,not_used,yes,maybe
17,dontknow,somewhat,somewhat,okay,3,not_used,3,not_used,2,not_used,2,not_used,yes,maybe
18,yes,very,very,good,3,not_used,2,not_used,not_used,not_used,not_used,not_used,yes,maybe
