,Gender,Age,Pre_CanDoCoding,Pre_CodingImportance,Pre_CodingInterest,ITaccess,UseComputersOften,VisitLibraryBefore,DesireLibraryVisit
0,female,12,yes,very,very,home,regularly,regularly,very
1,female,15,no,very,very,home,regularly,rarely,very
2,female,14,dontknow,very,very,no,sometimes,rarely,somewhat
3,female,13,no,somewhat,very,school,regularly,never,very
4,female,12,no,somewhat,very,school,regularly,never,very
5,female,10,yes,unsure,unsure,school,regularly,sometimes,very
6,female,15,yes,unsure,unsure,home,sometimes,sometimes,very
7,female,15,dontknow,very,very,home,veryregularly,rarely,somewhat
8,female,14,dontknow,very,very,home,sometimes,rarely,somewhat
9,female,13,dontknow,very,very,home,veryregularly,never,unsure
10,female,13,no,unsure,very,home,regularly,never,very
11,female,11,yes,very,very,school,regularly,veryregularly,very
12,female,13,no,unsure,unsure,home,regularly,sometimes,very
13,female,16,no,very,very,home,regularly,rarely,very
14,female,10,no,somewhat,very,home,veryregularly,sometimes,somewhat
15,male,13,no,very,very,school,regularly,never,notatall
16,male,11,no,notatall,notmuch,school,regularly,rarely,notmuch
17,male,15,yes,very,very,home,regularly,regularly,very
18,male,12,dontknow,somewhat,very,home,sometimes,rarely,very
19,male,13,yes,somewhat,very,no,sometimes,sometimes,unsure
20,male,12,dontknow,unsure,very,school,regularly,sometimes,unsure
21,male,14,yes,very,very,school,regularly,regularly,very
22,male,11,dontknow,unsure,unsure,home,regularly,never,somewhat
23,male,12,no,notatall,notatall,school,rarely,rarely,very
24,male,12,dontknow,unsure,somewhat,home,veryregularly,rarely,very
25,male,12,no,notatall,notatall,school,rarely,rarely,very
26,male,12,dontknow,somewhat,very,home,regularly,rarely,somewhat
27,male,16,yes,very,somewhat,home,veryregularly,never,somewhat
28,male,16,no,somewhat,very,home,veryregularly,never,somewhat
29,male,15,no,somewhat,somewhat,home,veryregularly,sometimes,notmuch
30,male,15,no,very,very,school,regularly,regularly,somewhat
31,male,13,yes,unsure,very,school,regularly,rarely,very
32,male,12,yes,somewhat,somewhat,home,veryregularly,rarely,very
33,male,16,yes,somewhat,very,HomeSchool,veryregularly,never,somewhat
34,male,16,yes,very,very,HomeSchool,veryregularly,never,unsure
35,male,16,yes,somewhat,very,school,veryregularly,never,very
36,male,15,yes,very,very,school,veryregularly,sometimes,very
37,male,12,yes,very,very,school,regularly,regularly,very
38,female,15,yes,very,very,home,veryregularly,sometimes,very
39,female,13,no,very,very,school,sometimes,sometimes,very
40,female,15,yes,notatall,very,no,never,sometimes,very
41,female,13,no,very,somewhat,school,sometimes,never,somewhat
42,female,15,dontknow,very,very,HomeSchool,regularly,regularly,somewhat
43,female,15,no,very,very,home,veryregularly,never,very
44,female,12,dontknow,unsure,unsure,no,sometimes,rarely,very
45,female,12,dontknow,unsure,unsure,no,sometimes,rarely,somewhat
46,female,14,dontknow,unsure,unsure,no,sometimes,rarely,unsure
47,female,14,no,unsure,somewhat,no,regularly,sometimes,unsure
48,female,13,dontknow,very,unsure,no,rarely,never,very
49,female,13,dontknow,very,unsure,home,sometimes,never,very
50,female,13,dontknow,very,unsure,no,rarely,never,very
51,female,11,dontknow,very,very,school,sometimes,sometimes,very
52,female,12,dontknow,very,very,school,sometimes,sometimes,very
53,female,12,dontknow,very,very,school,sometimes,sometimes,very
54,female,12,dontknow,very,very,school,sometimes,regularly,very
55,female,12,dontknow,very,very,school,sometimes,sometimes,very
56,female,14,no,very,very,school,regularly,never,very
57,male,16,no,very,very,home,veryregularly,never,very
58,male,12,no,very,unsure,home,sometimes,sometimes,unsure
59,male,15,yes,very,very,no,regularly,regularly,somewhat
60,male,13,no,very,very,no,sometimes,sometimes,very
61,male,15,no,very,very,home,sometimes,regularly,very
62,male,15,no,very,very,home,sometimes,sometimes,very
63,male,12,dontknow,unsure,unsure,no,sometimes,rarely,unsure
64,male,14,no,unsure,somewhat,no,regularly,sometimes,unsure
65,male,10,dontknow,unsure,unsure,no,sometimes,rarely,somewhat
66,male,15,no,somewhat,somewhat,no,rarely,regularly,very
67,male,13,dontknow,very,unsure,no,never,rarely,notatall
68,male,15,yes,very,unsure,home,sometimes,rarely,notatall
69,male,13,yes,very,very,home,regularly,regularly,very
70,male,13,no,very,very,no,sometimes,regularly,very
71,male,13,no,very,somewhat,school,never,regularly,unsure
72,male,12,no,unsure,notmuch,home,sometimes,sometimes,very
73,male,13,no,somewhat,notmuch,home,sometimes,rarely,very
74,male,14,no,unsure,unsure,no,sometimes,sometimes,very
75,male,14,dontknow,unsure,unsure,no,sometimes,sometimes,very
76,male,14,dontknow,unsure,unsure,no,never,never,very
77,male,12,yes,unsure,notmuch,no,sometimes,never,somewhat
78,male,14,dontknow,unsure,somewhat,no,sometimes,never,somewhat
79,male,12,dontknow,unsure,somewhat,home,regularly,never,somewhat
80,male,14,no,very,very,school,regularly,regularly,very
81,male,13,dontknow,unsure,unsure,no,rarely,sometimes,somewhat
82,male,10,dontknow,unsure,unsure,no,sometimes,never,somewhat
83,male,11,dontknow,unsure,very,home,veryregularly,never,very
84,male,15,no,unsure,very,school,regularly,regularly,very
85,male,15,no,unsure,very,school,regularly,regularly,very
86,male,15,no,unsure,very,school,veryregularly,regularly,very
87,male,15,yes,unsure,unsure,no,sometimes,rarely,very
88,male,15,yes,unsure,unsure,no,sometimes,rarely,very
89,male,12,yes,unsure,somewhat,school,regularly,sometimes,somewhat
90,male,11,yes,somewhat,somewhat,school,regularly,regularly,somewhat
91,male,13,yes,very,very,school,regularly,sometimes,very
92,male,13,yes,unsure,unsure,home,sometimes,never,notmuch
93,male,16,dontknow,unsure,unsure,no,never,rarely,unsure
94,male,13,no,unsure,unsure,no,sometimes,never,notmuch
95,male,13,no,very,very,home,regularly,sometimes,unsure
96,male,14,no,very,very,school,sometimes,sometimes,very
97,male,15,no,very,very,school,sometimes,sometimes,very
98,male,13,yes,unsure,somewhat,home,sometimes,sometimes,unsure
99,male,13,yes,unsure,very,home,veryregularly,sometimes,unsure
100,female,12,no,very,very,home,veryregularly,never,unsure
101,female,11,no,very,very,home,veryregularly,never,unsure
102,female,15,yes,unsure,very,no,sometimes,rarely,unsure
103,female,13,no,very,very,no,sometimes,never,very
104,female,13,no,very,very,no,regularly,never,very
105,female,12,yes,very,very,school,regularly,never,very
106,female,12,yes,very,very,school,regularly,never,very
107,female,14,dontknow,very,very,school,regularly,never,very
108,female,11,no,very,very,school,regularly,never,very
109,female,13,yes,very,very,no,sometimes,never,very
