,Gender,Age,CodedBefore,Scratch_rating,Microbit_rating,MakeArt_rating,MakePong_rating,KanoCode_rating,MakeSnake_rating,BuildKano_rating,HackMinecraft_rating,TerminalQuest_rating,KanoDeviceFeedback,ChallengingAspect,Want_to_LearnMoreCoding,VisitLibraryBefore,WillVisitLibrary,ITaccess,UseComputersOften,WillUseDevices
0,female,13,Alittle,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,not_used,not_used,good,none,maybe,sometimes,yes,home,veryregularly,maybe
1,male,15,Alittle,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,not_used,not_used,good,none,maybe,never,yes,home,veryregularly,maybe
2,female,15,No,not_used,5,not_used,not_used,not_used,not_used,not_used,not_used,not_used,good,none,yes,sometimes,yes,home,veryregularly,maybe
3,female,16,No,1,2,4,5,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,sometimes,yes,home,sometimes,yes
4,female,15,No,not_used,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,not_used,good,experience,maybe,never,yes,no,never,maybe
5,female,15,No,not_used,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,not_used,verygood,experience,maybe,never,yes,no,never,yes
6,female,15,No,not_rated,not_used,not_rated,not_rated,not_used,not_rated,not_used,not_used,not_used,verygood,none,yes,sometimes,yes,home,veryregularly,yes
7,female,15,No,not_rated,not_used,not_rated,not_rated,not_used,not_rated,not_used,not_used,not_used,verygood,none,yes,never,yes,home,sometimes,yes
8,female,14,Alittle,4,not_used,5,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,sometimes,yes,home,sometimes,yes
9,female,15,No,not_rated,not_used,not_rated,not_used,not_rated,not_used,not_used,not_used,not_used,verygood,none,yes,sometimes,yes,no,sometimes,yes
10,female,15,No,not_rated,not_used,not_rated,not_used,not_rated,not_used,not_used,not_used,not_used,good,none,yes,sometimes,yes,no,sometimes,yes
