,Gender,Age,CodedBefore,Scratch_rating,Microbit_rating,MakeArt_rating,MakePong_rating,KanoCode_rating,MakeSnake_rating,BuildKano_rating,HackMinecraft_rating,TerminalQuest_rating,KanoDeviceFeedback,ChallengingAspect,Want_to_LearnMoreCoding,VisitLibraryBefore,WillVisitLibrary,ITaccess,UseComputersOften,WillUseDevices
0,male,7,Alittle,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,sometimes,yes,home,veryregularly,yes
1,female,7,No,not_used,not_used,5,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,sometimes,yes,home,sometimes,yes
2,female,14,No,not_used,not_used,4,not_used,2,not_used,not_used,not_used,not_used,verygood,none,maybe,rarely,yes,home,veryregularly,yes
3,male,8,No,not_used,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,never,yes,no,never,yes
4,female,15,No,not_used,not_used,5,not_used,4,not_used,not_used,not_used,not_used,verygood,none,yes,never,yes,no,sometimes,yes
5,male,12,No,not_used,not_used,5,4,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,never,yes,home,veryregularly,yes
6,female,15,No,not_used,not_used,4,not_used,not_used,not_used,not_used,not_used,not_used,verygood,experience,yes,never,yes,home,sometimes,yes
7,male,12,Alittle,not_used,not_used,5,not_used,not_used,not_used,not_used,not_used,not_used,verygood,other,yes,never,yes,no,sometimes,yes
8,male,13,Alittle,4,not_used,4,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,rarely,yes,home,veryregularly,yes
9,male,10,No,4,not_used,4,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,never,yes,home,veryregularly,yes
10,male,13,Alittle,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,sometimes,yes,home,veryregularly,maybe
11,male,9,Alittle,not_used,not_used,5,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,never,yes,home,veryregularly,yes
12,male,17,Alittle,not_used,not_used,4,not_used,not_used,not_used,not_used,not_used,not_used,good,none,yes,never,yes,home,veryregularly,yes
13,male,11,No,not_used,not_used,4,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,sometimes,yes,home,veryregularly,yes
14,female,14,Alittle,not_used,not_used,5,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,never,yes,home,veryregularly,yes
15,male,13,Alittle,5,not_used,4,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,veryregularly,yes,home,veryregularly,yes
16,male,13,Alot,not_used,5,5,not_used,not_used,not_used,not_used,not_used,not_used,okay,none,yes,never,yes,home,veryregularly,yes
17,female,14,No,not_used,not_used,5,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,rarely,yes,no,sometimes,yes
18,male,14,Alittle,not_used,not_used,4,not_used,3,not_used,not_used,2,not_used,okay,none,yes,rarely,yes,home,veryregularly,yes
19,male,15,Alittle,4,not_used,5,not_used,4,not_used,not_used,3,not_used,okay,none,yes,rarely,yes,home,veryregularly,yes
20,female,9,No,not_used,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,never,yes,no,sometimes,maybe
21,male,10,No,not_used,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,never,yes,home,veryregularly,yes
22,male,10,No,not_used,not_used,5,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,never,yes,no,never,yes
23,male,10,Alot,not_used,not_used,not_used,not_used,not_used,not_used,not_used,5,not_used,good,other,yes,sometimes,yes,home,veryregularly,yes
24,female,15,No,not_used,not_used,4,not_used,not_used,not_used,not_used,not_used,not_used,good,none,yes,sometimes,yes,school,veryregularly,yes
25,female,15,No,not_used,not_used,4,not_used,not_used,not_used,not_used,not_used,not_used,good,none,yes,rarely,yes,home,veryregularly,yes
