,Gender,Age,CodedBefore,Scratch_rating,Microbit_rating,MakeArt_rating,MakePong_rating,KanoCode_rating,MakeSnake_rating,BuildKano_rating,HackMinecraft_rating,TerminalQuest_rating,KanoDeviceFeedback,ChallengingAspect,Want_to_LearnMoreCoding,VisitLibraryBefore,WillVisitLibrary,ITaccess,UseComputersOften,WillUseDevices
0,female,14,Alittle,not_used,4,4,not_used,not_used,not_used,not_used,not_used,4,good,experience,yes,sometimes,yes,school,sometimes,yes
1,male,15,Alittle,4,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,verygood,other,yes,sometimes,yes,no,sometimes,yes
2,male,16,Alittle,not_used,5,not_used,not_used,not_used,not_used,not_used,not_used,not_used,good,none,yes,sometimes,yes,no,sometimes,yes
3,male,12,Alittle,not_used,not_used,5,not_used,not_used,not_used,not_used,not_used,not_used,verygood,experience,yes,never,yes,no,sometimes,yes
4,female,15,No,not_used,not_used,3,not_used,not_used,not_used,not_used,not_used,5,verygood,none,yes,never,yes,home,regularly,yes
5,male,15,Alittle,5,not_used,5,3,not_used,1,not_used,not_used,5,good,none,yes,sometimes,yes,no,sometimes,yes
6,male,12,No,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,good,none,yes,never,yes,no,sometimes,yes
7,male,13,No,not_used,not_used,5,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,never,yes,no,sometimes,yes
8,female,16,No,not_used,not_used,4,not_used,not_used,not_used,not_used,not_used,5,verygood,experience,yes,never,yes,no,rarely,yes
9,male,12,Alittle,4,not_used,4,not_used,not_used,5,not_used,not_used,not_used,verygood,none,yes,never,yes,no,sometimes,yes
10,male,13,Alittle,3,not_used,5,not_used,not_used,5,not_used,not_used,not_used,good,none,yes,never,yes,home,sometimes,yes
11,male,15,Alittle,4,not_used,5,4,not_used,3,not_used,not_used,5,verygood,none,yes,sometimes,yes,home,veryregularly,yes
12,female,9,No,not_used,5,not_used,not_used,not_used,not_used,not_used,not_used,not_used,good,experience,yes,sometimes,yes,no,never,yes
