,Gender,Age,CodedBefore,Scratch_rating,Microbit_rating,MakeArt_rating,MakePong_rating,KanoCode_rating,MakeSnake_rating,BuildKano_rating,HackMinecraft_rating,TerminalQuest_rating,KanoDeviceFeedback,ChallengingAspect,Want_to_LearnMoreCoding,VisitLibraryBefore,WillVisitLibrary,ITaccess,UseComputersOften,WillUseDevices
0,male,11,No,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,never,yes,no,never,yes
1,male,15,Alittle,not_used,not_used,5,not_used,not_used,not_used,not_used,not_used,5,verygood,none,yes,never,yes,no,sometimes,yes
2,male,11,No,not_used,not_used,3,not_used,not_used,not_used,not_used,not_used,5,good,none,yes,never,yes,no,sometimes,yes
3,male,11,No,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,4,verygood,none,yes,never,yes,no,sometimes,yes
4,male,14,Alittle,not_used,not_used,4,not_used,not_used,not_used,not_used,not_used,5,verygood,none,yes,sometimes,yes,home,regularly,yes
5,male,13,No,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_rated,verygood,english,yes,regularly,yes,home,veryregularly,yes
6,male,14,No,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_rated,verygood,none,yes,rarely,yes,no,sometimes,yes
7,male,15,No,not_used,not_used,5,not_used,not_used,not_used,not_used,not_used,5,verygood,none,yes,never,no,no,sometimes,yes
8,male,16,Alittle,not_used,not_used,5,not_used,4,not_used,not_used,not_used,not_used,verygood,none,yes,never,yes,home,veryregularly,yes
9,male,16,Alittle,not_used,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,not_used,good,none,yes,veryregularly,yes,school,regularly,yes
10,male,14,Alittle,not_used,not_used,5,not_used,not_used,not_used,not_used,not_used,3,good,none,yes,sometimes,yes,no,regularly,yes
11,male,14,No,5,5,5,not_used,not_used,not_used,not_used,not_used,5,verygood,none,yes,rarely,yes,home,regularly,yes
12,male,13,Alittle,5,5,5,not_used,not_used,not_used,not_used,not_used,5,verygood,none,yes,rarely,yes,home,regularly,yes
13,male,13,Alittle,1,not_used,not_used,not_used,5,1,not_used,2,5,verygood,english,yes,sometimes,yes,no,rarely,yes
14,male,13,Alittle,4,not_used,5,not_used,not_used,1,not_used,not_used,not_used,verygood,none,yes,never,yes,no,sometimes,yes
15,male,12,No,2,5,5,4,5,not_used,not_used,not_used,5,verygood,none,yes,never,yes,no,sometimes,yes
16,male,14,No,not_used,not_used,not_used,not_used,not_rated,not_used,not_used,not_used,not_used,verygood,english,yes,sometimes,yes,school,sometimes,yes
17,male,15,Alittle,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_rated,verygood,none,yes,sometimes,yes,no,never,yes
18,male,13,Alittle,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_rated,verygood,none,yes,never,yes,no,regularly,yes
19,male,16,Alittle,not_used,not_used,5,not_used,3,not_used,not_used,not_used,not_used,verygood,none,yes,sometimes,yes,no,sometimes,yes
20,male,12,Alittle,not_used,not_used,not_used,not_used,4,not_used,not_used,not_used,not_used,verygood,other,yes,never,yes,home,sometimes,yes
21,male,14,Alittle,not_used,not_used,4,not_used,not_used,not_used,not_used,not_used,5,verygood,none,yes,never,yes,home,regularly,yes
22,male,16,Alittle,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,okay,none,yes,never,yes,HomeSchool,sometimes,maybe
23,male,16,Alittle,not_used,4,3,5,5,not_used,not_used,not_used,not_used,good,none,yes,rarely,yes,home,veryregularly,yes
24,male,14,No,not_rated,not_used,not_used,not_used,not_rated,not_rated,not_used,not_used,not_used,good,experience,yes,never,yes,no,never,maybe
25,male,15,Alittle,1,not_used,5,not_used,not_used,5,not_used,1,1,verygood,none,yes,veryregularly,yes,home,veryregularly,yes
26,male,16,Alittle,2,3,4,2,1,4,not_used,3,4,verygood,english,yes,never,yes,home,regularly,yes
27,male,14,Alittle,not_rated,not_used,not_used,not_used,not_rated,not_rated,not_used,not_used,not_rated,verygood,none,yes,never,yes,home,sometimes,yes
28,male,16,Alittle,not_used,5,5,not_used,not_used,not_used,not_used,not_used,not_used,good,none,yes,regularly,yes,home,veryregularly,yes
29,male,16,Alittle,not_used,4,3,5,5,4,not_used,4,not_used,verygood,none,yes,sometimes,yes,home,regularly,maybe
30,male,17,Alittle,5,5,4,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,regularly,yes,home,veryregularly,yes
31,male,18,Alot,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_rated,good,none,yes,veryregularly,yes,home,sometimes,yes
32,male,18,Alittle,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_rated,good,none,yes,veryregularly,yes,home,sometimes,yes
33,male,16,Alot,4,not_used,not_used,not_used,not_used,not_used,not_used,not_used,5,verygood,none,yes,sometimes,yes,home,veryregularly,yes
34,male,13,No,not_rated,not_used,not_used,not_used,not_rated,not_rated,not_used,not_rated,not_rated,verygood,none,yes,never,yes,home,veryregularly,yes
