,Gender,Age,CodedBefore,Scratch_rating,Microbit_rating,MakeArt_rating,MakePong_rating,KanoCode_rating,MakeSnake_rating,BuildKano_rating,HackMinecraft_rating,TerminalQuest_rating,KanoDeviceFeedback,ChallengingAspect,Want_to_LearnMoreCoding,VisitLibraryBefore,WillVisitLibrary,ITaccess,UseComputersOften,WillUseDevices
0,female,14,No,not_used,5,5,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,never,yes,no,rarely,yes
1,female,14,Alittle,not_used,not_used,5,not_used,not_used,not_used,not_used,not_used,not_used,good,none,yes,never,yes,school,sometimes,yes
2,female,15,No,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,never,yes,HomeSchool,sometimes,yes
3,female,14,Alittle,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,good,none,yes,sometimes,yes,home,veryregularly,yes
4,female,15,Alittle,not_used,not_used,5,not_used,not_used,not_used,not_used,not_used,not_used,okay,none,yes,never,yes,school,sometimes,yes
5,female,15,No,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,never,yes,HomeSchool,regularly,yes
6,female,15,No,not_used,not_used,5,not_used,not_used,not_used,not_used,not_used,not_used,verygood,experience,yes,never,yes,no,sometimes,yes
7,female,15,Alittle,not_used,not_used,4,5,not_used,not_used,not_used,4,not_used,verygood,none,yes,never,yes,no,sometimes,yes
8,female,15,Alittle,not_used,not_used,4,4,not_used,3,not_used,2,not_used,good,none,yes,never,yes,no,sometimes,yes
9,female,12,No,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,never,yes,school,never,yes
10,female,12,No,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,never,yes,school,sometimes,yes
11,female,12,No,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,never,yes,school,never,yes
12,female,13,No,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,never,yes,school,never,yes
13,female,12,No,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,never,yes,school,never,yes
14,female,15,Alittle,5,not_used,5,not_used,not_used,5,not_used,not_used,not_used,verygood,none,yes,sometimes,yes,home,veryregularly,yes
15,female,15,No,5,not_used,5,5,not_used,5,not_used,not_used,not_used,verygood,none,yes,veryregularly,yes,HomeSchool,regularly,yes
16,female,14,Alittle,5,not_used,5,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,never,yes,HomeSchool,veryregularly,yes
17,female,13,Alittle,5,not_used,5,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,sometimes,yes,HomeSchool,veryregularly,yes
18,female,14,No,not_used,5,5,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,rarely,yes,HomeSchool,veryregularly,yes
19,female,15,No,not_used,5,5,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,rarely,yes,home,sometimes,yes
20,female,12,Alittle,5,not_used,5,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,sometimes,yes,HomeSchool,sometimes,yes
21,female,12,Alittle,3,not_used,5,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,sometimes,yes,HomeSchool,sometimes,yes
22,female,14,No,3,not_used,2,not_used,not_used,not_used,not_used,not_used,not_used,good,none,yes,sometimes,yes,home,veryregularly,yes
23,female,12,No,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,never,yes,school,sometimes,yes
24,female,14,No,3,not_used,2,not_used,not_used,not_used,not_used,not_used,not_used,good,none,yes,sometimes,yes,home,veryregularly,yes
25,female,11,No,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,rarely,yes,no,sometimes,yes
26,female,14,No,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,never,yes,HomeSchool,sometimes,yes
27,female,11,No,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,never,yes,no,never,yes
28,female,14,No,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,never,yes,home,rarely,yes
29,female,11,Alittle,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,verygood,english,yes,never,yes,home,veryregularly,yes
30,female,14,Alittle,not_used,not_used,5,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,never,yes,home,sometimes,yes
31,female,14,Alittle,not_used,not_used,5,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,never,yes,home,sometimes,yes
32,female,11,No,5,1,3,not_used,not_used,not_used,not_used,not_used,not_used,good,experience,yes,never,yes,no,rarely,yes
33,female,12,Alittle,2,not_used,3,not_used,not_used,not_used,not_used,not_used,not_used,verygood,english,yes,never,yes,home,regularly,yes
34,female,12,No,not_used,not_used,5,not_used,5,not_used,not_used,not_used,not_used,verygood,experience,yes,never,yes,school,never,yes
35,female,11,Alittle,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,verygood,english,maybe,never,yes,no,sometimes,yes
36,female,15,Alittle,not_used,not_used,5,not_used,4,3,not_used,2,not_used,good,none,yes,sometimes,yes,no,sometimes,yes
37,female,13,Alittle,3,not_used,3,not_used,not_used,not_used,not_used,not_used,not_used,good,none,yes,sometimes,yes,HomeSchool,regularly,yes
38,female,13,No,4,not_used,5,not_used,not_used,not_used,not_used,not_used,not_used,good,none,yes,sometimes,yes,HomeSchool,regularly,yes
39,female,15,Alittle,4,not_used,not_used,not_used,3,not_used,not_used,not_used,not_used,good,none,yes,never,yes,no,never,yes
40,female,12,Alittle,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,verygood,experience,yes,never,yes,no,sometimes,yes
41,female,15,Alittle,not_used,not_used,5,not_used,not_used,not_used,not_used,not_used,not_used,verygood,experience,yes,never,yes,no,regularly,yes
42,female,11,No,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,verygood,english,yes,never,yes,school,sometimes,yes
43,female,12,Alittle,not_used,not_used,2,not_used,3,not_used,not_used,not_used,not_used,good,experience,maybe,never,yes,home,sometimes,yes
44,female,12,Alittle,3,not_used,3,not_used,not_used,not_used,not_used,not_used,not_used,good,none,yes,rarely,yes,home,regularly,yes
45,female,12,Alittle,4,not_used,5,3,5,not_used,not_used,not_used,not_used,verygood,none,yes,never,yes,HomeSchool,veryregularly,yes
46,female,12,Alittle,5,not_used,5,2,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,rarely,yes,home,veryregularly,yes
47,female,15,Alittle,4,not_used,not_used,not_used,4,not_used,not_used,not_used,not_used,good,none,yes,never,yes,no,never,yes
48,female,15,Alittle,2,not_used,5,not_used,4,3,not_used,1,not_used,good,none,yes,sometimes,yes,no,sometimes,yes
49,female,13,Alittle,not_used,not_used,3,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,never,yes,home,regularly,yes
50,female,13,No,not_used,not_used,5,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,never,yes,no,never,yes
51,female,12,No,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,verygood,english,yes,veryregularly,yes,school,sometimes,yes
52,female,12,No,not_used,5,5,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,never,yes,no,never,yes
53,female,12,Alittle,not_used,5,5,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,never,yes,no,never,yes
54,male,11,No,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,verygood,experience,yes,never,yes,no,never,yes
55,male,11,No,not_used,not_used,4,not_used,5,not_used,not_used,not_used,not_used,verygood,other,no,rarely,yes,home,regularly,yes
56,male,11,No,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,never,yes,no,never,yes
57,male,13,No,not_used,not_used,not_used,not_used,4,not_used,not_used,not_used,not_used,good,english,yes,sometimes,yes,home,regularly,yes
58,male,14,No,not_used,not_used,not_used,not_used,4,not_used,not_used,not_used,not_used,good,none,yes,never,yes,no,sometimes,yes
59,male,14,No,5,not_used,4,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,sometimes,yes,no,rarely,yes
60,male,15,No,not_used,not_used,5,not_used,5,not_used,not_used,not_used,not_used,verygood,none,yes,regularly,yes,home,veryregularly,yes
61,male,13,Alittle,not_used,not_used,3,not_used,4,not_used,not_used,not_used,not_used,good,english,yes,never,yes,no,rarely,yes
62,male,14,No,not_used,not_used,not_used,not_used,4,not_used,not_used,not_used,not_used,good,none,yes,sometimes,yes,home,regularly,yes
63,male,13,No,not_used,not_used,3,not_used,not_used,not_used,not_used,3,not_used,verygood,none,yes,sometimes,yes,home,veryregularly,yes
64,male,14,No,not_used,not_used,4,not_used,5,not_used,not_used,not_used,not_used,okay,experience,yes,never,yes,no,never,yes
65,male,14,No,not_used,not_used,5,not_used,not_used,not_used,not_used,not_used,5,verygood,none,yes,regularly,yes,school,sometimes,yes
66,male,12,No,not_used,not_used,5,not_used,1,not_used,not_used,not_used,not_used,verygood,english,yes,rarely,yes,home,regularly,yes
67,male,14,No,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,okay,both,maybe,rarely,yes,no,rarely,yes
68,male,13,No,not_used,not_used,4,not_used,not_used,not_used,not_used,not_used,not_used,okay,none,yes,sometimes,yes,no,rarely,yes
69,male,15,No,5,not_used,4,not_used,4,not_used,not_used,not_used,not_used,verygood,none,yes,sometimes,yes,no,veryregularly,yes
70,male,13,No,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,sometimes,yes,no,regularly,yes
71,male,14,No,not_used,3,4,not_used,not_used,not_used,not_used,not_used,not_used,good,english,yes,rarely,yes,home,sometimes,yes
72,male,12,No,not_used,not_used,5,not_used,3,not_used,not_used,not_used,not_used,verygood,english,yes,rarely,yes,home,regularly,yes
73,male,13,Alittle,5,not_used,4,not_used,not_used,not_used,not_used,not_used,not_used,good,none,yes,sometimes,yes,home,sometimes,maybe
74,male,14,No,not_used,not_used,not_used,not_used,5,not_used,not_used,not_used,not_used,verygood,none,yes,sometimes,yes,home,sometimes,yes
75,male,14,No,not_used,not_used,not_used,not_used,5,not_used,not_used,not_used,not_used,good,experience,yes,sometimes,yes,no,sometimes,yes
76,male,13,No,not_used,5,5,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,regularly,yes,home,veryregularly,yes
77,male,13,No,3,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,verygood,english,yes,never,yes,no,never,yes
78,male,14,Alittle,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,never,yes,no,never,yes
79,male,12,Alittle,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,never,yes,no,never,yes
80,male,11,No,not_used,not_used,4,not_used,5,not_used,not_used,not_used,not_used,good,none,maybe,never,yes,home,regularly,maybe
