,Gender,Age,CodedBefore,Scratch_rating,Microbit_rating,MakeArt_rating,MakePong_rating,KanoCode_rating,MakeSnake_rating,BuildKano_rating,HackMinecraft_rating,TerminalQuest_rating,KanoDeviceFeedback,ChallengingAspect,Want_to_LearnMoreCoding,VisitLibraryBefore,WillVisitLibrary,ITaccess,UseComputersOften,WillUseDevices
0,male,13,No,4,not_used,1,5,3,not_used,not_used,3,not_used,good,none,yes,sometimes,yes,home,veryregularly,no
1,male,15,No,not_used,not_used,not_rated,not_rated,not_rated,not_used,not_used,not_rated,not_used,good,none,yes,sometimes,yes,home,veryregularly,yes
2,male,14,Alittle,not_used,not_used,4,3,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,never,yes,home,veryregularly,yes
3,male,17,No,not_used,not_rated,not_rated,not_used,not_rated,not_rated,not_used,not_rated,not_used,verygood,none,yes,veryregularly,yes,school,veryregularly,yes
4,male,14,Alittle,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,never,yes,HomeSchool,sometimes,yes
5,male,16,Alittle,not_used,not_used,5,3,not_used,not_used,not_used,not_used,not_used,good,experience,maybe,never,yes,no,rarely,yes
6,male,14,Alittle,not_used,not_used,5,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,veryregularly,yes,home,veryregularly,yes
7,female,13,No,not_used,not_used,5,4,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,never,yes,home,veryregularly,yes
8,female,13,No,not_used,not_used,5,4,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,never,yes,no,sometimes,yes
9,female,14,No,not_used,not_used,4,not_used,not_used,not_used,not_used,not_used,not_used,good,none,yes,rarely,yes,home,veryregularly,yes
10,female,13,No,not_used,not_used,4,not_used,not_used,not_used,not_used,not_used,not_used,okay,none,maybe,never,yes,home,sometimes,maybe
11,female,14,No,not_used,not_used,5,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,rarely,yes,home,veryregularly,yes
12,female,14,No,not_used,not_used,5,not_used,not_used,not_used,not_used,not_used,not_used,good,other,yes,rarely,yes,no,veryregularly,yes
13,female,9,No,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,verygood,english,yes,veryregularly,yes,no,rarely,maybe
14,female,14,Alittle,not_used,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,not_used,good,none,yes,rarely,yes,home,veryregularly,yes
15,male,15,Alittle,not_used,not_used,5,not_used,not_used,not_used,not_used,not_used,not_used,verygood,english,maybe,never,yes,no,sometimes,yes
16,male,14,No,not_used,not_used,5,not_used,not_used,not_used,not_used,not_used,not_used,good,none,yes,sometimes,yes,home,veryregularly,yes
17,male,14,Alittle,not_used,not_used,5,not_used,not_used,not_used,not_used,5,not_used,verygood,experience,yes,sometimes,yes,no,sometimes,yes
18,male,13,No,not_used,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,not_used,good,experience,yes,sometimes,yes,no,sometimes,yes
19,female,11,No,not_used,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,never,yes,home,sometimes,maybe
20,male,14,No,not_used,not_used,not_used,not_used,not_used,not_rated,not_used,not_used,not_used,verygood,none,maybe,never,yes,school,veryregularly,yes
