,Gender,Age,CodedBefore,Scratch_rating,Microbit_rating,MakeArt_rating,MakePong_rating,KanoCode_rating,MakeSnake_rating,BuildKano_rating,HackMinecraft_rating,TerminalQuest_rating,KanoDeviceFeedback,ChallengingAspect,Want_to_LearnMoreCoding,VisitLibraryBefore,WillVisitLibrary,ITaccess,UseComputersOften,WillUseDevices
0,male,12,No,not_used,not_used,5,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,rarely,yes,home,veryregularly,yes
1,male,15,No,4,4,4,3,4,not_used,not_used,3,not_used,verygood,none,yes,sometimes,yes,HomeSchool,sometimes,maybe
2,male,11,No,not_used,not_used,5,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,rarely,yes,home,veryregularly,yes
3,male,11,No,not_used,not_used,5,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,never,yes,home,veryregularly,yes
4,male,16,Alittle,not_used,not_used,4,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,veryregularly,yes,home,veryregularly,yes
5,male,16,No,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,okay,none,yes,sometimes,yes,no,rarely,maybe
6,male,14,No,not_used,not_used,5,not_used,3,not_used,not_used,not_used,not_used,good,none,yes,rarely,yes,home,veryregularly,yes
7,male,12,Alittle,not_used,not_used,5,not_used,3,not_used,not_used,not_used,not_used,good,none,yes,rarely,yes,school,veryregularly,yes
8,male,12,No,not_used,not_used,3,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,never,yes,no,veryregularly,yes
9,male,14,No,not_used,not_used,5,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,rarely,yes,school,veryregularly,yes
10,male,15,No,not_used,not_used,5,not_used,not_used,not_used,not_used,not_used,not_used,verygood,english,yes,sometimes,yes,home,veryregularly,yes
11,male,13,Alittle,not_used,not_used,5,not_used,4,not_used,not_used,3,not_used,verygood,none,yes,rarely,yes,home,veryregularly,yes
12,male,13,No,not_used,not_used,5,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,rarely,yes,home,veryregularly,yes
13,male,14,Alittle,not_used,not_used,5,not_used,not_used,not_used,not_used,not_used,not_used,good,none,yes,sometimes,yes,school,sometimes,yes
14,male,14,No,not_used,not_used,3,1,not_used,not_used,not_used,5,not_used,okay,none,yes,sometimes,yes,home,veryregularly,yes
15,female,14,Alittle,not_used,not_used,4,2,not_used,not_used,not_used,3,not_used,good,none,yes,never,yes,home,veryregularly,maybe
16,male,15,No,not_used,4,4,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,never,yes,no,sometimes,yes
17,male,15,No,not_used,not_used,4,not_used,not_used,not_used,not_used,4,not_used,verygood,none,yes,rarely,yes,no,sometimes,yes
18,male,12,No,not_used,not_used,5,not_used,5,5,not_used,5,not_used,verygood,none,yes,never,yes,no,rarely,yes
19,male,13,No,not_used,not_used,5,not_used,5,5,not_used,not_used,not_used,good,none,yes,rarely,yes,HomeSchool,veryregularly,yes
20,male,13,No,not_used,not_used,5,4,not_used,4,not_used,not_used,not_used,good,none,yes,rarely,yes,home,veryregularly,yes
21,male,13,Alittle,not_used,not_used,5,3,not_used,3,not_used,not_used,not_used,good,none,yes,sometimes,yes,home,veryregularly,yes
22,male,12,No,not_used,not_used,4,not_used,not_used,5,not_used,4,not_used,good,none,yes,sometimes,yes,home,veryregularly,yes
23,male,16,No,2,not_used,5,3,not_used,5,not_used,5,not_used,good,none,maybe,rarely,yes,HomeSchool,sometimes,yes
24,male,16,No,not_used,not_used,5,not_used,not_used,not_used,not_used,not_used,not_used,good,experience,yes,rarely,yes,home,sometimes,yes
