,Gender,Age,Pre_CanDoCoding,Pre_CodingImportance,Pre_CodingInterest,ITaccess,UseComputersOften,VisitLibraryBefore,DesireLibraryVisit,Post_CanDoCoding,Post_CodingInterest,Post_CodingImportance,WorkshopFeedback,Scratch_rating,Microbit_rating,MakeArt_rating,MakePong_rating,KanoCode_rating,MakeSnake_rating,HackMinecraft_rating,TerminalQuest_rating,VisitLibrary_Activities,VisitLibrary_Devices
0,male,15,yes,somewhat,somewhat,home,veryregularly,veryregularly,somewhat,yes,very,somewhat,good,not_rated,not_rated,not_rated,not_rated,not_used,not_used,not_used,not_used,yes,yes
1,male,15,dontknow,somewhat,somewhat,home,regularly,rarely,somewhat,yes,somewhat,somewhat,verygood,not_rated,not_rated,not_used,not_used,not_used,not_used,not_used,not_used,yes,yes
2,male,16,no,somewhat,somewhat,no,regularly,never,somewhat,yes,very,very,verygood,not_used,5,5,not_used,not_used,not_used,not_used,not_used,yes,yes
3,male,15,no,very,very,home,veryregularly,sometimes,very,yes,very,very,verygood,not_used,5,5,not_used,not_used,not_used,not_used,not_used,yes,yes
4,male,15,no,somewhat,somewhat,home,regularly,never,somewhat,yes,somewhat,very,verygood,not_used,5,5,not_used,not_used,not_used,not_used,not_used,yes,yes
5,male,15,no,somewhat,somewhat,home,regularly,sometimes,somewhat,yes,somewhat,somewhat,verygood,not_used,5,5,not_used,not_used,not_used,not_used,not_used,yes,yes
6,male,14,yes,very,very,no,regularly,never,somewhat,yes,very,very,verygood,not_rated,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,yes,yes
7,male,14,dontknow,somewhat,somewhat,no,sometimes,never,somewhat,yes,very,very,verygood,not_rated,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,yes,yes
8,male,14,yes,somewhat,very,home,regularly,never,somewhat,yes,very,very,verygood,not_used,5,4,not_used,not_used,not_used,not_used,not_used,maybe,maybe
9,male,15,no,somewhat,somewhat,home,sometimes,never,somewhat,yes,very,somewhat,verygood,not_used,not_rated,not_rated,not_used,not_used,not_used,not_used,not_used,yes,yes
10,male,15,no,somewhat,somewhat,home,veryregularly,never,very,yes,very,somewhat,verygood,not_used,4,5,not_used,not_used,not_used,not_used,not_used,yes,yes
11,male,15,no,somewhat,somewhat,no,sometimes,sometimes,somewhat,yes,somewhat,somewhat,verygood,not_used,not_rated,not_rated,not_used,not_used,not_used,not_used,not_used,yes,yes
12,male,15,no,somewhat,very,home,sometimes,rarely,very,yes,very,somewhat,verygood,not_used,4,5,not_used,not_used,not_used,not_used,not_used,yes,yes
13,male,10,dontknow,very,somewhat,HomeSchool,sometimes,rarely,somewhat,yes,somewhat,somewhat,verygood,2,not_used,5,not_used,not_used,not_used,not_used,not_used,yes,yes
14,male,10,no,very,somewhat,HomeSchool,rarely,sometimes,somewhat,no,somewhat,somewhat,verygood,2,5,4,5,not_used,not_used,not_used,not_used,yes,yes
15,male,12,yes,somewhat,very,school,regularly,never,somewhat,yes,very,very,verygood,not_used,5,4,not_used,not_used,not_used,not_used,not_used,yes,yes
16,male,11,dontknow,unsure,very,school,sometimes,never,somewhat,yes,very,very,verygood,not_used,5,4,not_used,not_used,not_used,not_used,not_used,yes,yes
17,male,12,yes,somewhat,very,home,veryregularly,never,somewhat,yes,very,very,verygood,not_used,5,4,not_used,not_used,not_used,not_used,not_used,yes,yes
18,male,12,yes,somewhat,very,school,never,never,somewhat,yes,very,very,verygood,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,not_used,yes,yes
19,male,13,no,very,somewhat,school,regularly,never,very,yes,somewhat,very,verygood,not_used,not_used,not_rated,not_used,not_rated,not_used,not_used,not_used,maybe,maybe
20,male,13,no,very,somewhat,no,rarely,rarely,somewhat,dontknow,notmuch,somewhat,good,not_used,2,not_used,not_used,not_used,not_used,not_used,not_used,maybe,maybe
