,Gender,Age,CodedBefore,Scratch_rating,Microbit_rating,MakeArt_rating,MakePong_rating,KanoCode_rating,MakeSnake_rating,BuildKano_rating,HackMinecraft_rating,TerminalQuest_rating,KanoDeviceFeedback,ChallengingAspect,Want_to_LearnMoreCoding,VisitLibraryBefore,WillVisitLibrary,ITaccess,UseComputersOften,WillUseDevices
0,male,14,Alittle,not_used,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,not_used,good,none,yes,never,yes,school,regularly,maybe
1,male,13,No,not_used,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,not_used,good,none,yes,never,yes,no,veryregularly,maybe
2,male,14,Alittle,not_used,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,not_used,good,experience,yes,never,yes,school,sometimes,yes
3,male,14,Alittle,not_used,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,not_used,good,experience,yes,never,yes,school,sometimes,yes
4,male,15,Alittle,not_rated,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,verygood,english,yes,never,yes,school,regularly,yes
5,male,11,Alot,not_used,not_used,5,not_used,not_used,not_used,not_used,not_used,not_used,good,none,yes,never,yes,home,sometimes,yes
6,male,12,No,not_used,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,not_used,good,english,yes,never,yes,home,sometimes,yes
7,male,13,Alittle,not_used,5,5,5,5,not_used,not_used,not_used,not_used,verygood,none,yes,never,yes,school,sometimes,yes
8,male,14,Alittle,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,never,yes,school,veryregularly,yes
9,male,14,Alittle,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,never,yes,school,veryregularly,yes
10,male,12,No,not_rated,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,not_used,verygood,both,yes,never,yes,home,regularly,yes
11,male,13,Alittle,not_used,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,never,yes,school,regularly,yes
12,male,13,Alittle,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,never,yes,school,regularly,yes
13,male,12,No,not_used,not_rated,not_rated,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,never,yes,school,regularly,yes
14,male,13,No,not_used,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,never,yes,school,regularly,yes
15,male,12,No,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,verygood,both,yes,never,yes,school,regularly,yes
