,Gender,Age,Pre_CanDoCoding,Pre_CodingImportance,Pre_CodingInterest,ITaccess,UseComputersOften,VisitLibraryBefore,DesireLibraryVisit,Post_CanDoCoding,Post_CodingInterest,Post_CodingImportance,WorkshopFeedback,Scratch_rating,Microbit_rating,MakeArt_rating,MakePong_rating,KanoCode_rating,MakeSnake_rating,HackMinecraft_rating,TerminalQuest_rating,VisitLibrary_Activities,VisitLibrary_Devices
0,male,13,yes,very,very,home,sometimes,sometimes,very,yes,somewhat,very,good,not_rated,not_used,not_rated,not_rated,not_used,not_used,not_used,not_used,yes,yes
1,male,13,no,very,very,no,regularly,sometimes,somewhat,yes,very,somewhat,good,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,maybe,yes
2,male,18,yes,somewhat,very,no,sometimes,veryregularly,very,yes,somewhat,somewhat,verygood,not_used,not_rated,not_rated,not_used,not_used,not_used,not_used,not_used,yes,yes
3,male,12,no,very,very,home,sometimes,never,somewhat,yes,somewhat,somewhat,okay,not_rated,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,maybe,maybe
4,male,13,no,very,very,no,rarely,never,somewhat,yes,somewhat,somewhat,okay,not_used,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,yes,maybe
5,male,15,yes,very,very,no,rarely,never,very,yes,very,very,verygood,not_used,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,yes,maybe
6,male,15,yes,very,very,no,sometimes,never,very,yes,very,very,okay,not_used,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,yes,maybe
7,male,17,yes,very,very,no,rarely,sometimes,very,yes,very,very,verygood,not_used,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,yes,no
8,male,17,yes,very,very,no,rarely,never,very,yes,very,very,verygood,not_used,5,5,not_used,not_used,not_used,not_used,not_used,yes,yes
9,male,12,no,very,very,no,rarely,rarely,somewhat,no,very,very,verygood,not_used,5,5,not_used,not_used,not_used,not_used,not_used,maybe,maybe
10,male,12,no,very,very,no,rarely,never,somewhat,no,very,very,verygood,not_used,5,5,not_used,not_used,not_used,not_used,not_used,maybe,maybe
11,male,16,dontknow,very,very,no,sometimes,never,very,yes,very,very,verygood,5,5,5,not_used,not_used,not_used,not_used,not_used,yes,yes
12,male,17,dontknow,very,very,no,rarely,sometimes,very,yes,somewhat,somewhat,verygood,not_rated,not_rated,not_rated,not_rated,not_used,not_used,not_used,not_used,yes,yes
13,male,18,yes,somewhat,somewhat,home,sometimes,sometimes,very,yes,unsure,somewhat,verygood,not_rated,not_used,not_used,not_used,not_used,not_rated,not_used,not_used,yes,yes
14,male,17,no,very,very,no,rarely,sometimes,somewhat,yes,somewhat,somewhat,verygood,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,yes,yes
15,male,17,dontknow,very,very,no,rarely,sometimes,very,yes,somewhat,somewhat,good,5,5,5,5,not_used,not_used,not_used,not_used,yes,yes
16,male,15,no,very,very,no,sometimes,veryregularly,very,yes,very,very,verygood,5,not_used,not_used,not_used,not_used,not_used,not_used,not_used,yes,yes
17,male,16,no,very,very,no,rarely,regularly,very,dontknow,somewhat,very,verygood,not_used,not_used,not_used,not_used,3,not_used,not_used,not_used,yes,yes
18,male,17,no,very,somewhat,no,sometimes,sometimes,somewhat,yes,somewhat,very,good,not_used,4,4,not_used,not_used,not_used,not_used,not_used,maybe,yes
19,male,16,no,very,very,no,sometimes,sometimes,somewhat,yes,very,very,verygood,not_used,4,4,not_used,not_used,not_used,not_used,not_used,maybe,yes
20,male,15,no,very,very,no,sometimes,regularly,somewhat,yes,very,very,verygood,5,not_used,not_used,not_used,not_used,not_used,not_used,not_used,yes,yes
21,female,13,dontknow,somewhat,somewhat,no,never,never,somewhat,yes,very,very,verygood,not_used,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,yes,yes
22,female,12,dontknow,somewhat,somewhat,home,sometimes,sometimes,very,yes,somewhat,somewhat,verygood,not_used,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,yes,yes
23,female,13,no,very,very,no,rarely,never,very,yes,very,very,verygood,not_used,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,yes,yes
24,female,14,no,very,very,no,rarely,never,very,no,very,very,verygood,not_used,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,yes,yes
25,female,13,no,very,very,no,rarely,never,very,no,somewhat,very,verygood,not_used,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,maybe,yes
26,female,15,dontknow,somewhat,somewhat,no,sometimes,rarely,somewhat,yes,very,somewhat,good,not_used,not_used,5,not_used,not_used,not_used,not_used,not_used,yes,yes
27,female,13,dontknow,very,very,no,sometimes,never,very,yes,somewhat,very,good,not_used,not_used,not_rated,not_rated,not_used,not_used,not_rated,not_used,yes,yes
