,Gender,Age,CodedBefore,Scratch_rating,Microbit_rating,MakeArt_rating,MakePong_rating,KanoCode_rating,MakeSnake_rating,BuildKano_rating,HackMinecraft_rating,TerminalQuest_rating,KanoDeviceFeedback,ChallengingAspect,Want_to_LearnMoreCoding,VisitLibraryBefore,WillVisitLibrary,ITaccess,UseComputersOften,WillUseDevices
0,male,14,Alittle,5,5,5,5,not_used,not_used,not_used,not_used,not_used,,,yes,,yes,,,yes
1,female,13,No,not_used,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,not_used,,,yes,,yes,,,yes
2,female,15,No,not_used,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,not_used,,,yes,,yes,,,yes
3,male,14,No,not_used,not_used,5,not_used,not_used,not_used,not_used,not_used,not_used,,,yes,,yes,,,yes
4,female,15,No,not_used,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,not_used,,,yes,,yes,,,yes
5,male,14,Alittle,not_used,not_used,5,not_used,not_used,not_used,not_used,not_used,not_used,,,yes,,yes,,,yes
6,male,14,No,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_rated,not_used,,,yes,,yes,,,yes
7,male,13,No,not_used,not_used,not_used,not_used,not_used,not_used,not_used,4,not_used,,,yes,,yes,,,yes
8,male,14,No,not_used,not_used,1,not_used,not_used,not_used,not_used,4,not_used,,,yes,,yes,,,maybe
9,male,15,No,not_used,not_used,2,not_used,not_used,not_used,not_used,3,not_used,,,yes,,yes,,,yes
10,female,15,No,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,,,yes,,yes,,,yes
11,male,14,No,not_used,not_used,not_used,not_used,not_used,not_used,not_used,5,not_used,,,yes,,yes,,,yes
12,male,14,No,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_rated,not_used,,,yes,,yes,,,yes
13,female,16,No,5,not_used,not_used,not_used,5,not_used,not_used,not_used,not_used,,,yes,,yes,,,yes
14,female,14,Alot,not_rated,not_rated,not_used,not_used,not_used,not_used,not_used,not_used,not_used,,,yes,,yes,,,yes
15,female,12,No,not_used,5,not_used,not_used,not_used,not_used,not_used,not_used,not_used,,,yes,,yes,,,yes
16,male,14,Alittle,not_used,5,not_used,not_used,not_used,not_used,not_used,not_used,not_used,,,yes,,yes,,,n
17,female,14,No,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,not_used,not_used,,,yes,,yes,,,yes
18,female,14,No,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,not_used,not_used,,,yes,,yes,,,yes
19,female,15,No,not_used,5,not_used,not_used,not_used,not_used,not_used,not_used,not_used,,,yes,,yes,,,yes
20,female,15,No,not_rated,5,not_used,not_used,not_used,not_used,not_used,not_used,not_used,,,yes,,yes,,,yes
21,male,16,Alittle,not_used,not_used,not_used,4,not_used,not_used,not_used,not_used,not_used,,,yes,,yes,,,yes
22,male,16,Alittle,5,not_used,4,4,not_used,not_used,not_used,not_used,not_used,,,yes,,yes,,,yes
