,Gender,Age,CodedBefore,Scratch_rating,Microbit_rating,MakeArt_rating,MakePong_rating,KanoCode_rating,MakeSnake_rating,BuildKano_rating,HackMinecraft_rating,TerminalQuest_rating,KanoDeviceFeedback,ChallengingAspect,Want_to_LearnMoreCoding,VisitLibraryBefore,WillVisitLibrary,ITaccess,UseComputersOften,WillUseDevices
0,male,16,No,not_used,not_used,5,not_used,not_used,not_used,not_used,not_used,not_used,verygood,english,yes,never,yes,school,regularly,yes
1,male,15,No,not_used,5,3,not_used,not_used,not_used,not_used,not_used,not_used,good,none,yes,rarely,yes,HomeSchool,veryregularly,yes
2,male,14,No,not_used,not_used,4,3,3,not_used,not_used,not_used,not_used,verygood,english,yes,sometimes,yes,school,regularly,yes
3,male,15,No,not_used,5,4,not_used,not_used,not_used,not_used,not_used,not_used,good,none,yes,never,yes,HomeSchool,veryregularly,yes
4,male,14,No,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,never,yes,HomeSchool,regularly,yes
5,male,14,No,not_used,not_used,3,4,4,not_used,not_used,not_used,not_used,verygood,none,yes,never,yes,school,sometimes,yes
6,male,15,No,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,sometimes,yes,HomeSchool,veryregularly,yes
7,male,17,No,not_used,5,4,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,never,yes,no,never,yes
8,male,17,No,not_used,5,4,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,never,yes,school,regularly,yes
9,male,15,Alot,3,not_used,not_used,not_used,not_used,not_used,not_used,1,not_used,good,none,yes,never,yes,HomeSchool,veryregularly,yes
10,male,16,Alittle,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,good,none,yes,never,yes,school,sometimes,maybe
11,male,16,No,not_used,not_used,4,3,3,not_used,not_used,not_used,not_used,good,none,yes,sometimes,yes,home,veryregularly,yes
12,male,15,No,4,not_used,5,not_used,5,4,not_used,4,not_used,verygood,english,yes,sometimes,yes,home,veryregularly,yes
13,male,14,Alittle,4,not_used,5,not_used,not_used,4,not_used,not_used,not_used,verygood,none,yes,sometimes,yes,home,regularly,yes
14,male,15,Alittle,4,not_used,5,not_used,4,5,not_used,not_used,not_used,good,none,yes,never,yes,home,veryregularly,yes
15,male,14,Alittle,4,not_used,not_used,not_used,not_used,2,not_used,not_used,not_used,verygood,none,yes,sometimes,yes,home,veryregularly,yes
16,male,14,Alittle,4,not_used,5,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,sometimes,yes,home,regularly,yes
17,male,14,Alittle,4,not_used,4,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,sometimes,yes,home,regularly,yes
18,male,14,Alittle,5,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,sometimes,yes,home,veryregularly,yes
19,male,14,Alittle,3,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,good,none,yes,rarely,yes,home,veryregularly,yes
20,male,14,No,not_used,not_used,5,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,never,yes,home,veryregularly,yes
21,male,14,No,not_used,not_used,2,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,never,yes,home,veryregularly,yes
22,male,14,No,5,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,verygood,experience,yes,never,yes,no,sometimes,yes
23,male,16,Alittle,not_used,not_used,5,not_used,5,not_used,not_used,not_used,not_used,verygood,none,yes,sometimes,yes,home,veryregularly,yes
24,male,16,No,not_used,not_used,5,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,never,yes,school,regularly,yes
25,male,14,No,5,not_used,4,not_used,4,not_used,not_used,not_used,not_used,verygood,none,yes,never,yes,home,veryregularly,yes
26,male,16,No,not_used,not_used,4,not_used,not_used,not_used,not_used,not_used,not_used,bad,none,yes,never,yes,home,veryregularly,yes
27,male,15,Alittle,not_used,not_used,4,not_used,not_used,not_used,not_used,not_used,not_used,good,none,yes,never,yes,home,veryregularly,yes
28,male,17,Alittle,not_used,not_used,not_used,not_used,5,not_used,not_used,not_used,not_used,verygood,none,yes,never,yes,school,regularly,yes
29,male,12,Alittle,3,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,good,none,yes,rarely,yes,home,veryregularly,yes
30,male,14,Alot,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,good,none,yes,rarely,no,home,veryregularly,maybe
31,male,15,Alittle,not_used,4,not_used,not_used,5,not_used,not_used,not_used,not_used,okay,none,yes,never,yes,home,veryregularly,yes
32,male,12,Alittle,not_used,not_used,5,not_used,not_used,2,not_used,not_used,not_used,okay,none,yes,never,yes,no,sometimes,yes
33,male,15,Alot,not_used,5,not_used,not_used,not_used,not_used,not_used,not_used,not_used,okay,none,yes,rarely,yes,home,veryregularly,yes
34,male,11,Alittle,not_used,not_used,5,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,sometimes,yes,home,regularly,yes
35,male,15,Alot,not_used,4,not_used,not_used,not_used,not_used,not_used,not_used,not_used,good,none,yes,rarely,yes,home,veryregularly,yes
36,male,12,Alittle,not_used,not_used,4,not_used,2,5,not_used,not_used,not_used,okay,none,yes,never,yes,school,regularly,yes
37,male,12,Alittle,not_used,not_used,4,not_used,3,5,not_used,not_used,not_used,okay,none,yes,never,yes,school,sometimes,yes
38,male,12,Alittle,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,okay,none,yes,veryregularly,yes,no,regularly,yes
39,male,13,Alot,not_used,not_used,4,not_used,1,4,not_used,2,not_used,okay,none,maybe,sometimes,yes,home,veryregularly,maybe
40,male,12,No,not_used,not_used,5,not_used,not_used,not_used,not_used,not_used,not_used,good,none,yes,rarely,yes,HomeSchool,regularly,yes
41,male,12,Alittle,5,not_used,5,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,regularly,yes,home,veryregularly,yes
42,male,12,Alittle,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,sometimes,yes,home,veryregularly,yes
43,male,12,No,not_used,not_used,4,not_used,not_used,not_used,not_used,1,not_used,good,none,yes,rarely,yes,no,sometimes,yes
44,male,12,Alittle,not_used,not_used,5,not_used,not_used,not_used,not_used,1,not_used,verygood,other,yes,never,yes,home,regularly,maybe
45,male,13,No,not_used,not_used,not_used,not_used,4,not_used,not_used,not_used,not_used,verygood,none,yes,regularly,yes,no,sometimes,yes
46,male,14,Alot,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,regularly,yes,home,veryregularly,yes
47,male,11,No,not_used,not_used,5,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,never,yes,no,never,yes
48,male,12,Alittle,not_used,not_used,5,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,sometimes,yes,home,veryregularly,yes
49,male,14,No,not_used,not_used,5,not_used,1,not_used,not_used,not_used,not_used,verygood,none,yes,veryregularly,yes,home,regularly,yes
50,male,12,No,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,never,yes,home,veryregularly,yes
51,female,11,Alittle,not_used,not_used,4,not_used,5,not_used,not_used,3,1,good,none,yes,never,yes,no,never,maybe
52,female,11,Alittle,not_used,not_used,not_used,not_used,5,not_used,not_used,not_used,not_used,good,none,yes,never,yes,no,sometimes,maybe
53,female,13,No,not_used,not_used,not_used,not_used,5,not_used,not_used,not_used,not_used,good,none,yes,rarely,yes,home,veryregularly,maybe
54,female,14,Alittle,4,not_used,5,2,not_used,not_used,not_used,1,3,verygood,none,yes,never,yes,home,sometimes,yes
55,female,13,No,not_used,not_used,2,not_used,not_used,not_used,not_used,not_used,not_used,good,none,yes,never,yes,no,sometimes,yes
56,female,14,Alittle,5,not_used,1,not_used,5,not_used,not_used,not_used,not_used,verygood,english,yes,never,yes,home,sometimes,yes
57,female,13,No,not_used,not_used,1,2,not_used,5,not_used,not_used,not_used,good,none,yes,never,yes,home,regularly,yes
58,female,14,No,not_used,not_used,4,not_used,5,not_used,not_used,not_used,not_used,verygood,none,yes,never,yes,school,sometimes,yes
59,female,13,No,not_used,not_used,4,not_used,5,not_used,not_used,not_used,not_used,verygood,english,yes,rarely,yes,HomeSchool,regularly,yes
60,female,14,No,not_used,not_used,4,not_used,5,not_used,not_used,not_used,not_used,verygood,none,yes,sometimes,yes,HomeSchool,veryregularly,yes
61,female,14,No,1,not_used,3,4,not_used,5,not_used,not_used,2,good,none,yes,rarely,yes,home,regularly,maybe
62,female,15,No,not_used,not_used,4,not_used,5,not_used,not_used,not_used,not_used,good,none,yes,sometimes,yes,HomeSchool,regularly,yes
63,female,14,Alittle,4,not_used,5,2,not_used,not_used,not_used,2,3,verygood,none,yes,never,yes,home,sometimes,yes
64,female,16,No,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,4,verygood,none,yes,never,yes,no,regularly,yes
65,female,16,No,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,4,verygood,none,yes,never,yes,home,regularly,yes
66,female,13,Alittle,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,never,yes,no,sometimes,yes
67,female,14,No,2,not_used,3,4,not_used,5,not_used,not_used,2,good,none,yes,rarely,yes,home,regularly,maybe
68,female,13,No,not_used,not_used,4,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,never,yes,home,veryregularly,yes
69,female,14,Alittle,not_used,not_used,5,not_used,not_used,not_used,not_used,not_used,not_used,good,none,yes,regularly,yes,home,veryregularly,yes
70,female,12,Alittle,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,never,yes,home,sometimes,yes
71,female,15,No,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,never,yes,home,regularly,yes
72,female,14,No,5,5,5,5,not_used,not_used,not_used,not_used,not_used,good,english,yes,never,yes,HomeSchool,regularly,yes
73,female,15,Alittle,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,rarely,yes,school,sometimes,yes
74,female,14,Alittle,not_used,not_used,5,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,never,yes,home,regularly,yes
75,female,15,No,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,good,none,yes,never,yes,home,sometimes,yes
76,female,13,Alittle,not_used,4,5,4,not_used,not_used,not_used,not_used,not_used,good,none,yes,never,yes,no,never,yes
77,female,14,Alittle,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,rarely,yes,home,regularly,yes
78,female,14,No,not_used,5,5,not_used,5,not_used,not_used,not_used,not_used,good,none,yes,never,yes,no,never,yes
79,female,14,Alittle,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,rarely,yes,no,sometimes,yes
80,female,14,Alittle,not_used,not_used,5,not_used,5,not_used,not_used,not_used,not_used,verygood,none,yes,sometimes,yes,home,regularly,yes
81,female,14,Alittle,not_used,not_used,5,not_used,5,not_used,not_used,not_used,not_used,verygood,none,yes,never,yes,no,sometimes,yes
82,female,14,Alittle,not_used,5,5,not_used,not_used,4,not_used,not_used,3,good,none,yes,never,yes,school,sometimes,yes
83,female,14,No,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,good,none,yes,never,yes,no,never,yes
84,female,14,No,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,good,none,yes,never,yes,school,sometimes,yes
85,female,15,Alittle,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,verygood,english,yes,never,yes,home,sometimes,yes
86,female,14,No,not_used,5,5,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,sometimes,yes,home,sometimes,yes
87,female,14,Alittle,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,sometimes,yes,school,sometimes,yes
88,female,14,Alittle,not_used,not_used,5,not_used,not_used,not_used,not_used,not_used,not_used,verygood,english,yes,never,yes,no,sometimes,yes
