,Gender,Age,Pre_CanDoCoding,Pre_CodingImportance,Pre_CodingInterest,ITaccess,UseComputersOften,VisitLibraryBefore,DesireLibraryVisit,Post_CanDoCoding,Post_CodingInterest,Post_CodingImportance,WorkshopFeedback,Scratch_rating,Microbit_rating,MakeArt_rating,MakePong_rating,KanoCode_rating,MakeSnake_rating,HackMinecraft_rating,TerminalQuest_rating,VisitLibrary_Activities,VisitLibrary_Devices
0,male,16,yes,somewhat,somewhat,no,sometimes,sometimes,unsure,yes,very,very,okay,not_used,not_used,3,not_used,not_used,not_used,not_used,not_used,yes,yes
1,female,15,yes,somewhat,very,no,rarely,sometimes,very,yes,very,somewhat,verygood,5,not_used,5,not_used,not_used,not_used,not_used,4,yes,yes
2,female,14,yes,somewhat,somewhat,school,regularly,sometimes,very,yes,very,very,verygood,not_used,not_used,5,not_used,not_used,not_used,not_used,5,yes,yes
3,female,15,yes,very,very,school,regularly,sometimes,somewhat,yes,very,very,verygood,not_used,not_used,5,not_used,not_used,not_used,not_used,5,yes,yes
4,female,15,yes,very,very,school,regularly,sometimes,somewhat,yes,very,very,verygood,5,not_used,5,not_used,not_used,not_used,not_used,3,maybe,maybe
5,female,15,yes,somewhat,somewhat,school,regularly,sometimes,very,yes,very,very,verygood,not_used,not_used,5,not_used,not_used,not_used,not_used,not_used,yes,yes
6,female,15,yes,very,very,school,veryregularly,sometimes,very,yes,somewhat,very,verygood,not_used,not_rated,not_rated,not_used,not_used,not_used,not_used,not_used,yes,yes
7,female,15,yes,very,very,school,veryregularly,sometimes,very,yes,very,very,verygood,not_used,5,5,not_used,not_used,not_used,not_used,not_used,yes,yes
8,female,15,yes,very,very,school,veryregularly,sometimes,somewhat,yes,very,very,verygood,not_used,5,5,not_used,not_used,not_used,not_used,not_used,yes,yes
9,female,13,yes,very,very,school,regularly,sometimes,very,yes,very,very,verygood,not_used,5,5,not_used,not_used,not_used,not_used,not_used,yes,yes
10,female,13,yes,somewhat,very,no,sometimes,never,very,yes,very,somewhat,verygood,not_used,5,5,not_used,not_used,not_used,not_used,not_used,yes,yes
11,female,15,yes,somewhat,very,school,veryregularly,sometimes,very,yes,very,very,good,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,not_rated,maybe,yes
12,female,16,yes,very,very,school,sometimes,never,very,yes,very,very,verygood,not_used,not_used,5,not_used,not_used,not_used,not_used,not_used,yes,yes
13,female,16,yes,very,somewhat,school,regularly,sometimes,very,yes,very,somewhat,verygood,not_used,not_rated,5,not_used,not_used,not_used,not_used,not_used,yes,yes
14,female,15,yes,somewhat,somewhat,school,regularly,never,very,yes,very,somewhat,verygood,not_used,not_used,5,not_used,not_used,not_used,not_used,not_used,yes,yes
15,female,16,yes,very,very,school,sometimes,never,very,yes,very,very,verygood,not_used,not_used,5,not_used,not_used,not_used,not_used,not_used,yes,yes
16,female,16,yes,very,very,school,sometimes,never,very,yes,very,very,verygood,not_used,not_used,5,not_used,not_used,not_used,not_used,not_used,yes,yes
