,Gender,Age,Pre_CanDoCoding,Pre_CodingImportance,Pre_CodingInterest,ITaccess,UseComputersOften,VisitLibraryBefore,DesireLibraryVisit,Post_CanDoCoding,Post_CodingInterest,Post_CodingImportance,WorkshopFeedback,Scratch_rating,Microbit_rating,MakeArt_rating,MakePong_rating,KanoCode_rating,MakeSnake_rating,HackMinecraft_rating,TerminalQuest_rating,VisitLibrary_Activities,VisitLibrary_Devices
0,male,16,no,unsure,somewhat,no,sometimes,veryregularly,very,yes,very,somewhat,verygood,not_used,5,5,not_used,5,not_used,not_used,not_used,yes,yes
1,male,15,no,somewhat,somewhat,no,regularly,veryregularly,very,yes,somewhat,somewhat,verygood,not_used,5,3,not_used,2,not_used,not_used,not_used,yes,yes
2,male,15,no,somewhat,very,home,regularly,sometimes,somewhat,yes,very,very,verygood,not_used,not_rated,not_rated,not_used,not_used,not_used,not_used,not_used,yes,yes
3,male,16,no,somewhat,very,no,sometimes,sometimes,somewhat,yes,very,very,verygood,not_used,5,5,not_used,not_used,not_used,not_used,not_used,yes,yes
4,male,16,no,very,very,home,regularly,sometimes,somewhat,yes,very,very,verygood,not_used,5,4,not_used,5,4,not_used,not_used,yes,yes
5,male,16,yes,very,very,home,regularly,sometimes,very,yes,very,very,verygood,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,yes,yes
6,male,15,yes,very,very,home,veryregularly,rarely,unsure,yes,very,very,verygood,not_used,not_rated,not_rated,not_used,not_used,not_used,not_used,not_used,yes,yes
7,male,16,no,somewhat,very,home,veryregularly,regularly,somewhat,yes,very,very,verygood,not_used,5,4,not_used,not_used,not_used,not_used,5,yes,yes
8,male,15,dontknow,somewhat,somewhat,no,sometimes,sometimes,notmuch,yes,very,somewhat,verygood,not_used,4,not_used,not_used,not_used,not_used,not_used,not_used,no,yes
9,male,16,dontknow,very,very,no,rarely,sometimes,somewhat,yes,somewhat,very,good,not_used,not_rated,not_rated,not_used,not_used,not_used,not_used,not_used,yes,yes
10,male,16,yes,somewhat,very,no,sometimes,sometimes,somewhat,yes,very,somewhat,good,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,not_used,yes,yes
11,male,16,dontknow,unsure,somewhat,no,sometimes,regularly,somewhat,yes,somewhat,somewhat,good,not_used,3,4,not_used,not_used,not_used,not_used,not_used,yes,yes
12,male,16,no,unsure,somewhat,home,regularly,sometimes,very,yes,very,somewhat,verygood,not_used,5,4,not_used,not_used,not_used,not_used,not_used,yes,yes
13,male,15,no,somewhat,somewhat,school,sometimes,regularly,very,yes,very,somewhat,verygood,5,not_used,not_used,not_used,not_used,not_used,not_used,not_used,yes,yes
14,male,15,no,somewhat,somewhat,home,veryregularly,sometimes,somewhat,yes,somewhat,somewhat,good,not_used,4,not_used,not_used,not_used,not_used,not_used,not_used,yes,yes
15,male,16,no,very,very,home,regularly,sometimes,very,yes,very,very,verygood,not_used,5,not_used,not_used,not_used,not_used,not_used,not_used,yes,yes
16,female,14,no,very,very,no,never,sometimes,somewhat,yes,very,very,verygood,not_used,5,5,not_used,not_used,not_used,not_used,not_used,yes,yes
17,female,14,dontknow,very,very,no,never,never,somewhat,yes,very,very,verygood,5,5,5,not_used,not_used,not_used,not_used,not_used,maybe,maybe
18,female,14,dontknow,very,very,no,sometimes,sometimes,very,yes,very,very,verygood,not_used,not_used,5,not_used,5,not_used,not_used,not_used,yes,yes
19,female,14,dontknow,very,somewhat,school,regularly,never,very,yes,very,very,verygood,not_used,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,yes,maybe
20,female,15,dontknow,unsure,unsure,home,sometimes,sometimes,very,yes,very,very,verygood,not_used,not_used,5,not_used,not_used,not_used,not_used,not_used,yes,yes
21,female,14,no,unsure,somewhat,school,never,never,very,yes,very,very,verygood,not_used,not_used,5,not_used,not_used,not_used,not_used,not_used,yes,maybe
22,female,14,no,very,very,no,never,sometimes,very,yes,very,very,verygood,not_used,5,5,not_used,not_used,not_used,not_used,not_used,yes,yes
23,female,13,no,somewhat,somewhat,home,rarely,sometimes,somewhat,yes,very,very,verygood,not_used,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,yes,yes
24,female,13,no,somewhat,somewhat,home,sometimes,sometimes,somewhat,yes,very,very,verygood,not_used,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,yes,yes
25,female,14,dontknow,somewhat,somewhat,no,rarely,sometimes,somewhat,yes,very,very,verygood,5,5,5,not_used,not_used,not_used,not_used,not_used,yes,yes
26,female,14,dontknow,very,very,no,sometimes,sometimes,very,yes,very,very,verygood,not_used,5,5,not_used,not_used,not_used,not_used,not_used,yes,yes
