,Gender,Age,CodedBefore,Scratch_rating,Microbit_rating,MakeArt_rating,MakePong_rating,KanoCode_rating,MakeSnake_rating,BuildKano_rating,HackMinecraft_rating,TerminalQuest_rating,KanoDeviceFeedback,ChallengingAspect,Want_to_LearnMoreCoding,VisitLibraryBefore,WillVisitLibrary,ITaccess,UseComputersOften,WillUseDevices
0,male,16,Alittle,not_used,not_used,5,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,veryregularly,yes,no,sometimes,yes
1,male,15,Alittle,not_used,not_used,not_used,not_used,5,not_used,not_used,not_used,not_used,verygood,none,yes,rarely,yes,no,sometimes,yes
2,male,14,Alittle,not_used,not_used,not_used,not_used,5,not_used,not_used,not_used,not_used,verygood,none,yes,rarely,yes,no,sometimes,yes
3,male,13,No,not_used,not_used,4,not_used,not_used,not_used,not_used,not_used,not_used,good,english,yes,sometimes,yes,home,veryregularly,yes
4,male,14,Alittle,not_used,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,regularly,yes,home,veryregularly,yes
5,male,14,No,not_used,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,not_used,verygood,experience,yes,veryregularly,yes,no,never,yes
6,male,13,No,not_used,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,veryregularly,yes,home,veryregularly,yes
7,male,13,No,not_used,not_used,4,not_used,not_used,not_used,not_used,not_used,not_used,good,english,yes,sometimes,yes,home,veryregularly,yes
8,male,14,Alot,not_used,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,never,yes,no,sometimes,yes
9,male,12,Alittle,not_used,not_used,4,not_used,not_used,not_used,not_used,not_used,not_used,good,other,yes,regularly,yes,no,rarely,yes
10,male,13,No,not_used,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,not_used,verygood,both,yes,veryregularly,yes,no,sometimes,yes
11,male,14,No,not_used,not_used,not_used,not_used,4,not_used,not_used,not_used,not_used,verygood,none,yes,veryregularly,yes,no,sometimes,yes
12,male,11,No,not_used,not_used,5,not_used,not_used,not_used,not_used,not_used,not_used,verygood,experience,yes,veryregularly,yes,no,never,yes
13,male,13,No,not_used,not_used,4,not_used,not_used,not_used,not_used,not_used,not_used,verygood,other,yes,rarely,yes,no,rarely,yes
14,male,12,Alot,not_used,not_used,5,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,veryregularly,yes,home,veryregularly,yes
