,Gender,Age,Pre_CanDoCoding,Pre_CodingImportance,Pre_CodingInterest,ITaccess,UseComputersOften,VisitLibraryBefore,DesireLibraryVisit,Post_CanDoCoding,Post_CodingInterest,Post_CodingImportance,WorkshopFeedback,Scratch_rating,Microbit_rating,MakeArt_rating,MakePong_rating,KanoCode_rating,MakeSnake_rating,HackMinecraft_rating,TerminalQuest_rating,VisitLibrary_Activities,VisitLibrary_Devices
0,male,14,yes,unsure,notatall,no,sometimes,sometimes,somewhat,dontknow,unsure,unsure,bad,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,yes,yes
1,male,13,no,unsure,very,no,sometimes,sometimes,very,yes,very,very,verygood,not_used,not_rated,not_rated,not_used,not_used,not_used,not_used,not_used,yes,yes
2,male,11,no,unsure,very,no,rarely,never,very,yes,very,very,verygood,not_used,5,5,not_used,not_used,not_used,not_used,not_used,yes,yes
3,male,14,dontknow,very,very,home,veryregularly,rarely,somewhat,yes,very,very,verygood,not_used,3,5,not_used,5,not_used,not_used,not_used,yes,maybe
4,male,16,dontknow,very,very,no,rarely,sometimes,somewhat,yes,very,very,verygood,not_used,not_used,5,not_used,not_used,not_used,not_used,not_used,yes,yes
5,male,14,no,somewhat,somewhat,no,rarely,sometimes,somewhat,yes,very,somewhat,good,not_used,not_rated,not_rated,not_used,not_used,not_used,not_used,not_used,yes,yes
6,male,14,dontknow,somewhat,very,home,regularly,never,very,yes,very,somewhat,good,not_used,4,5,not_used,not_used,not_used,not_used,not_used,yes,yes
7,male,12,yes,somewhat,somewhat,no,sometimes,sometimes,somewhat,yes,somewhat,somewhat,verygood,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,yes,yes
8,male,15,yes,somewhat,somewhat,no,sometimes,sometimes,somewhat,yes,somewhat,somewhat,verygood,not_rated,not_used,not_used,not_used,not_used,not_used,not_used,not_used,yes,yes
9,male,18,dontknow,unsure,somewhat,no,never,veryregularly,very,yes,very,very,verygood,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,yes,yes
10,male,15,no,very,very,no,rarely,never,very,yes,somewhat,very,verygood,not_used,5,5,not_used,not_used,not_used,not_used,not_used,yes,yes
11,male,16,no,very,very,home,regularly,never,somewhat,yes,very,very,verygood,not_used,not_used,5,not_used,not_used,not_used,not_used,not_used,yes,yes
12,male,18,no,somewhat,somewhat,no,rarely,sometimes,somewhat,yes,somewhat,somewhat,okay,not_rated,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,yes,maybe
