,Gender,Age,CodedBefore,Scratch_rating,Microbit_rating,MakeArt_rating,MakePong_rating,KanoCode_rating,MakeSnake_rating,BuildKano_rating,HackMinecraft_rating,TerminalQuest_rating,KanoDeviceFeedback,ChallengingAspect,Want_to_LearnMoreCoding,VisitLibraryBefore,WillVisitLibrary,ITaccess,UseComputersOften,WillUseDevices
0,female,14,No,not_used,not_used,5,not_used,not_used,not_used,not_used,not_used,not_used,good,none,yes,sometimes,yes,no,rarely,yes
1,female,14,No,not_rated,not_used,not_rated,not_used,not_rated,not_used,not_used,not_used,not_used,verygood,none,yes,sometimes,yes,no,rarely,yes
2,female,14,No,not_used,not_used,not_used,not_used,5,not_used,not_used,not_used,not_used,good,none,yes,sometimes,yes,no,sometimes,maybe
3,female,13,No,not_used,not_used,not_used,not_used,5,not_used,not_used,not_used,not_used,good,none,yes,veryregularly,yes,home,veryregularly,yes
4,female,14,Alot,not_used,not_used,5,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,regularly,yes,home,regularly,yes
5,female,13,No,not_used,not_used,5,3,2,not_used,not_used,not_used,not_used,verygood,none,yes,sometimes,yes,home,veryregularly,yes
6,female,13,No,not_used,not_used,not_rated,not_used,not_rated,not_rated,not_used,not_used,not_used,verygood,none,yes,sometimes,yes,no,veryregularly,yes
7,female,14,Alittle,not_used,not_used,5,not_used,5,not_used,not_used,not_used,not_used,verygood,none,yes,regularly,yes,home,veryregularly,yes
8,female,15,Alittle,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,good,none,yes,sometimes,yes,no,rarely,yes
9,female,14,Alittle,not_used,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,not_used,okay,experience,yes,sometimes,yes,no,sometimes,yes
10,female,14,Alittle,3,not_used,5,not_used,5,4,not_used,not_used,not_used,verygood,none,yes,sometimes,yes,home,sometimes,yes
11,female,13,Alittle,3,not_used,5,not_used,5,4,not_used,not_used,not_used,verygood,none,yes,sometimes,yes,no,rarely,yes
12,female,13,No,4,2,5,not_used,3,not_used,not_used,1,not_used,verygood,none,yes,rarely,yes,no,rarely,yes
13,female,13,No,4,2,5,not_used,3,not_used,not_used,2,not_used,verygood,none,yes,rarely,yes,no,rarely,yes
14,female,14,Alittle,5,not_used,5,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,sometimes,yes,home,veryregularly,yes
15,female,14,Alittle,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,good,none,yes,sometimes,yes,no,rarely,yes
16,female,13,No,not_used,not_used,not_used,not_used,2,not_used,not_used,not_used,not_used,verygood,none,yes,sometimes,yes,home,sometimes,yes
17,female,13,No,not_used,not_used,4,not_used,not_used,5,not_used,not_used,not_used,verygood,none,yes,sometimes,yes,home,veryregularly,yes
18,female,14,No,not_used,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,not_used,okay,none,yes,regularly,yes,home,veryregularly,yes
19,female,14,Alittle,not_used,not_used,not_used,not_used,5,not_used,not_used,not_used,not_used,verygood,none,yes,sometimes,yes,no,veryregularly,yes
20,female,14,Alittle,not_used,not_used,not_used,not_used,5,not_used,not_used,not_used,not_used,verygood,none,yes,sometimes,yes,no,veryregularly,yes
21,female,15,Alittle,not_used,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,never,yes,home,sometimes,yes
22,female,15,Alittle,not_used,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,never,yes,home,sometimes,yes
23,female,14,Alittle,not_used,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,not_used,good,english,yes,never,yes,no,rarely,yes
24,female,14,Alittle,not_used,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,not_used,good,english,yes,rarely,yes,no,rarely,yes
25,female,12,No,not_rated,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,good,experience,yes,never,yes,no,never,yes
26,female,15,No,not_used,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,not_used,good,experience,yes,never,yes,no,never,yes
27,female,14,Alittle,not_used,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,not_used,good,experience,yes,never,yes,no,rarely,yes
28,female,12,No,not_rated,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,good,experience,yes,never,yes,no,never,yes
29,female,16,No,not_used,not_used,not_rated,not_used,not_rated,not_used,not_used,not_used,not_used,verygood,experience,yes,never,yes,no,never,yes
30,female,13,No,not_used,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,not_used,good,experience,yes,never,yes,no,rarely,yes
31,female,13,No,not_used,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,not_used,verygood,experience,yes,never,yes,no,never,yes
32,female,13,No,not_used,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,not_used,good,experience,yes,never,yes,no,sometimes,yes
33,female,12,No,not_used,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,not_used,verygood,experience,yes,never,yes,no,never,yes
34,female,12,No,not_used,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,not_used,verygood,experience,yes,never,yes,no,never,yes
35,female,16,No,not_used,not_used,not_rated,not_used,not_rated,not_used,not_used,not_used,not_used,verygood,none,yes,sometimes,yes,home,sometimes,yes
36,female,13,Alittle,not_used,not_used,4,not_used,not_used,not_used,not_used,not_used,not_used,good,none,yes,never,yes,home,veryregularly,maybe
37,female,14,Alittle,not_used,not_used,4,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,never,yes,home,veryregularly,yes
38,female,16,Alittle,not_used,not_used,5,not_used,5,not_used,not_used,not_used,not_used,verygood,none,yes,sometimes,yes,home,sometimes,yes
