,Post_CanDoCoding,Post_CodingInterest,Post_CodingImportance,WorkshopFeedback,Scratch_rating,Microbit_rating,MakeArt_rating,MakePong_rating,KanoCode_rating,MakeSnake_rating,HackMinecraft_rating,TerminalQuest_rating,VisitLibrary_Activities,VisitLibrary_Devices
0,yes,very,very,verygood,not_used,5,5,not_used,not_used,not_used,not_used,not_used,yes,yes
1,yes,very,very,verygood,not_used,5,5,not_used,not_used,not_used,not_used,not_used,yes,yes
2,yes,very,very,verygood,not_used,not_used,5,5,not_used,5,not_used,5,yes,yes
3,yes,very,very,verygood,not_used,not_used,5,5,not_used,5,not_used,5,yes,yes
4,yes,very,very,good,2,not_used,5,not_used,not_used,3,not_used,not_used,yes,maybe
5,yes,very,very,verygood,2,not_used,5,not_used,not_used,3,not_used,not_used,yes,maybe
6,yes,very,very,verygood,not_used,not_used,5,5,5,not_used,not_used,not_used,yes,yes
7,yes,very,very,verygood,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,yes,yes
8,yes,very,very,verygood,not_used,not_used,5,5,not_used,5,not_used,not_used,yes,yes
9,yes,very,very,verygood,not_used,not_used,5,5,not_used,5,not_used,not_used,yes,yes
10,yes,very,very,verygood,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,not_used,yes,yes
11,yes,very,very,verygood,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,not_used,yes,yes
12,yes,somewhat,very,verygood,not_used,not_used,4,not_used,not_used,not_used,not_used,not_used,yes,yes
13,dontknow,very,very,verygood,3,3,5,2,4,5,not_used,3,yes,yes
14,yes,very,somewhat,verygood,not_used,not_used,4,not_used,not_used,not_used,not_used,not_used,yes,yes
15,yes,very,very,verygood,5,3,5,not_used,5,not_used,not_used,not_used,yes,yes
16,yes,very,very,verygood,3,3,5,2,4,5,not_used,3,yes,yes
17,yes,very,very,verygood,not_used,not_used,5,5,not_used,not_used,not_used,not_used,yes,yes
18,yes,very,very,verygood,not_used,2,3,5,2,4,not_used,not_used,yes,yes
19,yes,very,very,verygood,not_used,not_used,2,3,1,5,not_used,4,yes,yes
20,yes,very,very,verygood,5,not_used,5,not_used,not_used,not_used,not_used,not_used,yes,yes
21,yes,very,very,verygood,5,not_used,5,not_used,not_used,not_used,not_used,not_used,yes,yes
22,yes,very,very,verygood,not_used,not_used,not_used,not_used,5,not_used,not_used,not_used,yes,yes
23,yes,very,very,verygood,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,yes,yes
24,yes,very,very,verygood,not_used,not_used,2,3,1,5,not_used,4,yes,yes
25,yes,unsure,very,verygood,not_used,not_used,5,not_used,not_used,not_used,not_used,not_used,yes,yes
26,yes,unsure,very,verygood,not_used,not_used,5,not_used,not_used,not_used,not_used,not_used,yes,yes
27,yes,very,unsure,verygood,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,yes,yes
28,yes,somewhat,somewhat,verygood,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,yes,yes
29,yes,very,very,verygood,5,not_used,5,not_used,not_used,not_used,not_used,not_used,yes,yes
30,yes,very,very,good,not_used,2,3,5,1,5,not_used,4,yes,yes
31,yes,very,very,verygood,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,yes,yes
32,yes,very,very,verygood,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,yes,yes
33,yes,very,very,verygood,not_rated,not_used,not_used,not_used,not_rated,not_used,not_used,not_used,yes,yes
