,Gender,Age,Pre_CanDoCoding,Pre_CodingImportance,Pre_CodingInterest,ITaccess,UseComputersOften,VisitLibraryBefore,DesireLibraryVisit
0,male,14,dontknow,very,very,no,rarely,sometimes,very
1,male,14,no,unsure,unsure,school,sometimes,sometimes,unsure
2,male,13,yes,very,very,home,regularly,regularly,very
3,male,15,yes,very,very,home,regularly,regularly,very
4,male,14,yes,very,very,home,regularly,rarely,very
5,male,14,no,unsure,very,no,never,rarely,unsure
6,male,13,yes,unsure,somewhat,no,regularly,sometimes,somewhat
7,male,15,dontknow,somewhat,somewhat,school,regularly,sometimes,somewhat
8,male,15,yes,somewhat,very,school,regularly,regularly,very
9,male,13,yes,very,very,home,regularly,rarely,very
10,male,14,no,very,very,home,regularly,sometimes,somewhat
11,male,14,no,very,very,home,regularly,sometimes,unsure
12,male,14,no,unsure,unsure,school,never,never,very
13,male,13,no,somewhat,very,school,never,never,very
14,male,14,no,somewhat,somewhat,no,regularly,never,unsure
15,male,13,dontknow,very,very,no,regularly,sometimes,unsure
16,male,12,no,unsure,unsure,school,never,never,very
17,male,12,no,unsure,unsure,school,never,never,very
18,male,12,no,unsure,notmuch,no,never,sometimes,somewhat
19,female,14,dontknow,very,very,home,regularly,sometimes,somewhat
20,female,14,yes,very,very,no,regularly,regularly,somewhat
21,female,14,yes,very,very,no,regularly,regularly,somewhat
22,female,14,no,very,very,no,never,sometimes,very
23,female,14,no,very,very,no,never,sometimes,very
24,female,14,no,very,very,no,never,sometimes,very
25,female,14,dontknow,very,very,no,never,never,unsure
26,female,15,dontknow,very,very,no,sometimes,never,unsure
27,female,15,dontknow,very,very,no,sometimes,never,unsure
28,female,14,dontknow,very,very,no,sometimes,never,unsure
29,female,14,dontknow,very,very,no,never,never,unsure
30,female,11,dontknow,very,very,school,sometimes,sometimes,very
31,female,12,yes,very,very,school,sometimes,never,very
32,female,12,yes,very,very,school,sometimes,never,very
33,female,12,yes,very,very,school,sometimes,never,very
34,female,12,yes,very,very,school,sometimes,never,very
35,female,12,yes,very,very,school,sometimes,never,very
36,female,15,dontknow,somewhat,very,home,regularly,sometimes,very
37,female,14,dontknow,very,very,no,never,never,unsure
38,female,15,no,very,very,no,rarely,never,very
39,female,15,no,very,very,no,rarely,rarely,very
40,female,18,yes,very,very,no,regularly,veryregularly,very
41,female,14,yes,very,very,no,regularly,veryregularly,very
42,female,18,yes,very,very,no,sometimes,regularly,very
43,male,15,dontknow,very,very,no,sometimes,rarely,very
44,male,14,dontknow,very,very,no,regularly,rarely,very
45,male,14,no,very,very,HomeSchool,regularly,sometimes,very
46,male,15,dontknow,very,very,home,regularly,sometimes,very
47,male,13,no,very,very,no,sometimes,sometimes,very
48,male,12,no,unsure,unsure,no,sometimes,rarely,very
49,male,12,dontknow,unsure,unsure,no,sometimes,rarely,very
50,male,13,no,very,very,no,sometimes,sometimes,somewhat
51,male,13,yes,very,very,home,regularly,sometimes,very
52,male,13,dontknow,very,very,home,veryregularly,sometimes,very
53,male,13,dontknow,very,very,home,veryregularly,sometimes,very
54,male,12,no,very,very,no,rarely,never,very
55,female,12,dontknow,unsure,somewhat,home,regularly,never,unsure
56,female,12,dontknow,unsure,unsure,home,veryregularly,never,unsure
57,female,11,no,very,very,home,veryregularly,never,very
58,female,12,no,very,very,home,veryregularly,never,very
59,female,11,no,very,very,home,sometimes,never,very
60,female,12,dontknow,unsure,somewhat,no,sometimes,never,somewhat
61,female,12,dontknow,unsure,very,home,sometimes,never,very
62,female,12,dontknow,unsure,very,home,sometimes,never,very
63,female,12,dontknow,somewhat,very,no,veryregularly,never,very
64,female,12,dontknow,somewhat,very,home,regularly,never,very
65,female,12,yes,unsure,very,school,regularly,regularly,very
66,female,14,dontknow,unsure,somewhat,home,sometimes,sometimes,very
67,female,13,dontknow,unsure,very,home,sometimes,never,very
68,female,15,dontknow,very,very,no,veryregularly,never,very
69,female,15,dontknow,very,very,no,rarely,rarely,very
70,female,13,no,very,somewhat,no,sometimes,rarely,unsure
71,female,12,dontknow,somewhat,very,home,sometimes,never,very
72,female,12,dontknow,unsure,unsure,home,veryregularly,sometimes,unsure
73,female,14,no,very,very,home,regularly,sometimes,very
74,female,12,dontknow,very,very,no,sometimes,sometimes,very
75,female,12,dontknow,somewhat,somewhat,no,sometimes,rarely,very
76,female,11,no,very,very,home,sometimes,never,very
77,female,14,yes,very,very,home,regularly,sometimes,somewhat
78,female,12,yes,very,very,home,regularly,sometimes,somewhat
79,female,12,no,somewhat,somewhat,home,sometimes,veryregularly,very
80,female,12,no,unsure,somewhat,home,sometimes,veryregularly,very
81,female,13,dontknow,very,very,home,regularly,never,somewhat
82,female,13,dontknow,unsure,unsure,home,sometimes,never,very
83,female,13,dontknow,very,very,no,veryregularly,never,somewhat
84,female,11,no,very,very,no,sometimes,regularly,very
85,female,11,no,very,very,no,regularly,regularly,very
