,Gender,Age,Pre_CanDoCoding,Pre_CodingImportance,Pre_CodingInterest,ITaccess,UseComputersOften,VisitLibraryBefore,DesireLibraryVisit,Post_CanDoCoding,Post_CodingInterest,Post_CodingImportance,WorkshopFeedback,Scratch_rating,Microbit_rating,MakeArt_rating,MakePong_rating,KanoCode_rating,MakeSnake_rating,HackMinecraft_rating,TerminalQuest_rating,VisitLibrary_Activities,VisitLibrary_Devices
0,male,16,yes,very,very,home,regularly,regularly,somewhat,yes,somewhat,very,okay,not_used,not_used,5,not_used,not_used,3,1,4,maybe,maybe
1,male,13,yes,somewhat,somewhat,school,veryregularly,sometimes,somewhat,yes,very,very,verygood,not_used,not_used,4,not_used,4,not_used,2,1,yes,maybe
2,male,11,dontknow,somewhat,very,home,regularly,sometimes,very,yes,very,very,verygood,not_used,not_used,5,not_used,not_used,not_used,not_used,not_used,yes,yes
3,male,13,yes,very,somewhat,school,regularly,veryregularly,somewhat,yes,somewhat,somewhat,okay,not_used,4,3,not_used,not_used,not_used,not_used,not_used,maybe,maybe
4,male,12,dontknow,very,very,no,sometimes,never,somewhat,yes,very,very,verygood,not_used,not_used,5,4,not_used,5,5,3,maybe,maybe
5,male,13,dontknow,unsure,somewhat,home,veryregularly,regularly,somewhat,yes,somewhat,somewhat,good,not_used,not_used,3,not_used,not_used,not_used,4,2,yes,yes
6,male,12,no,somewhat,very,home,sometimes,never,somewhat,yes,very,very,verygood,not_used,not_used,5,5,not_used,5,5,5,maybe,maybe
7,male,12,no,very,very,home,sometimes,sometimes,very,yes,very,very,verygood,not_used,not_used,5,5,not_used,5,not_used,not_used,yes,yes
8,male,14,yes,somewhat,very,home,regularly,sometimes,somewhat,yes,somewhat,somewhat,okay,not_used,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,yes,yes
9,male,13,yes,somewhat,somewhat,home,regularly,sometimes,somewhat,yes,somewhat,somewhat,okay,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,yes,yes
10,male,13,no,very,very,home,veryregularly,sometimes,somewhat,yes,very,very,verygood,5,not_used,5,not_used,not_used,not_used,5,not_used,yes,yes
11,male,16,no,very,somewhat,school,sometimes,regularly,very,yes,very,very,good,not_rated,not_used,not_rated,not_used,not_rated,not_used,not_used,not_used,yes,yes
12,male,14,no,somewhat,somewhat,home,regularly,regularly,somewhat,yes,somewhat,somewhat,verygood,5,not_used,4,not_used,not_used,not_used,not_used,not_used,yes,yes
13,male,16,no,very,somewhat,school,sometimes,sometimes,very,yes,very,very,good,not_rated,not_rated,not_rated,not_used,not_used,not_used,not_used,not_used,yes,yes
14,male,12,dontknow,very,very,home,veryregularly,never,very,yes,very,very,verygood,not_used,not_used,5,not_used,not_used,not_used,not_used,not_used,yes,yes
15,male,11,yes,somewhat,very,home,sometimes,never,somewhat,yes,very,very,verygood,not_used,not_used,not_used,not_used,not_used,not_used,5,not_used,yes,yes
16,male,13,yes,very,very,home,veryregularly,never,very,yes,very,very,verygood,not_used,not_used,5,not_used,not_used,not_used,not_used,not_used,yes,yes
17,male,12,dontknow,somewhat,very,no,sometimes,never,somewhat,dontknow,very,somewhat,verygood,not_used,not_used,4,not_used,not_used,not_used,5,not_used,yes,yes
18,male,11,dontknow,unsure,very,no,sometimes,never,very,yes,somewhat,unsure,verygood,not_used,not_used,not_used,not_used,not_used,not_used,not_rated,not_used,yes,yes
19,male,13,no,very,very,home,veryregularly,sometimes,very,yes,somewhat,very,verygood,not_used,not_used,5,not_used,not_used,5,5,not_used,yes,yes
20,male,13,no,very,very,home,veryregularly,never,very,yes,very,very,verygood,not_used,not_used,5,not_used,not_used,5,5,not_used,yes,yes
21,male,14,no,somewhat,somewhat,home,sometimes,rarely,unsure,yes,somewhat,somewhat,good,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,yes,maybe
22,male,11,dontknow,somewhat,very,no,sometimes,rarely,very,no,very,very,verygood,5,not_used,not_used,not_used,not_used,not_used,not_used,not_used,yes,yes
23,male,12,yes,somewhat,very,home,veryregularly,sometimes,somewhat,yes,somewhat,somewhat,verygood,not_used,not_used,5,not_used,not_used,not_used,not_used,not_used,maybe,yes
24,male,14,yes,somewhat,very,home,veryregularly,sometimes,notatall,yes,somewhat,somewhat,verygood,not_used,5,not_used,not_used,not_used,not_used,not_used,not_used,maybe,maybe
25,male,13,yes,very,very,home,veryregularly,sometimes,very,yes,very,very,verygood,not_used,5,not_used,not_used,not_used,not_used,not_used,not_used,yes,yes
26,male,14,yes,unsure,unsure,home,veryregularly,never,very,yes,somewhat,somewhat,verygood,not_used,not_used,5,5,not_used,not_used,not_used,not_used,yes,yes
27,male,12,yes,somewhat,somewhat,HomeSchool,veryregularly,regularly,somewhat,yes,very,somewhat,verygood,not_used,5,5,not_used,not_used,not_used,not_used,not_used,yes,yes
28,male,14,dontknow,very,very,home,veryregularly,never,very,yes,very,very,verygood,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_rated,yes,yes
29,male,13,no,very,very,home,veryregularly,never,very,yes,very,very,verygood,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,not_used,yes,yes
30,male,12,no,unsure,very,home,sometimes,regularly,very,yes,very,somewhat,verygood,not_used,not_used,4,not_used,not_used,4,not_used,not_used,yes,yes
31,male,13,dontknow,very,very,home,regularly,sometimes,somewhat,yes,somewhat,somewhat,good,not_used,not_used,not_rated,not_used,not_used,not_rated,not_used,not_used,yes,yes
32,male,14,dontknow,somewhat,somewhat,no,rarely,rarely,somewhat,yes,very,very,verygood,not_used,not_used,not_rated,not_rated,not_rated,not_rated,not_rated,not_rated,yes,yes
33,male,13,dontknow,very,very,home,regularly,never,very,yes,very,very,verygood,not_used,not_used,5,not_used,not_used,not_used,5,not_used,yes,yes
34,male,15,no,somewhat,somewhat,home,sometimes,rarely,somewhat,yes,somewhat,somewhat,verygood,not_used,not_used,5,not_used,not_used,not_used,not_used,not_used,yes,yes
35,male,14,no,somewhat,very,home,regularly,rarely,somewhat,yes,very,somewhat,verygood,not_used,not_used,5,not_used,5,not_used,not_used,not_used,yes,yes
36,male,16,no,somewhat,very,no,sometimes,veryregularly,very,yes,very,very,okay,4,not_used,5,not_used,not_used,not_used,not_used,not_used,yes,yes
37,male,13,yes,somewhat,very,no,rarely,never,somewhat,yes,very,very,good,not_used,not_used,3,not_used,not_used,not_used,not_used,4,yes,yes
38,male,15,yes,very,very,home,veryregularly,sometimes,somewhat,yes,very,very,verygood,not_used,not_used,5,not_used,not_used,not_used,not_used,not_used,yes,yes
39,male,16,no,somewhat,somewhat,school,veryregularly,never,somewhat,yes,very,very,good,not_used,not_used,5,not_used,5,not_used,not_used,4,maybe,yes
40,male,15,dontknow,somewhat,somewhat,no,sometimes,sometimes,somewhat,yes,unsure,somewhat,okay,2,not_used,3,not_used,not_used,not_used,not_used,not_used,maybe,maybe
41,male,16,no,somewhat,very,school,sometimes,rarely,somewhat,yes,very,very,verygood,not_used,not_used,5,not_used,not_used,not_used,not_used,4,yes,yes
42,male,13,dontknow,somewhat,unsure,no,sometimes,sometimes,somewhat,yes,very,very,verygood,3,4,5,4,5,5,4,4,maybe,yes
43,male,13,dontknow,somewhat,very,no,sometimes,regularly,very,yes,very,very,good,not_used,not_used,5,not_used,not_used,not_used,not_used,not_used,yes,yes
44,male,14,yes,somewhat,somewhat,home,regularly,rarely,somewhat,yes,very,very,verygood,not_used,5,not_used,not_used,not_used,not_used,not_used,not_used,yes,maybe
45,male,13,yes,very,very,home,veryregularly,veryregularly,very,yes,very,very,verygood,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,yes,yes
46,male,13,yes,somewhat,very,school,regularly,never,somewhat,yes,very,somewhat,good,not_used,5,not_used,not_used,not_used,not_used,not_used,not_used,yes,yes
47,male,11,dontknow,very,very,home,never,sometimes,somewhat,yes,very,somewhat,verygood,not_used,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,yes,yes
48,male,14,dontknow,very,very,home,veryregularly,never,somewhat,yes,very,very,verygood,not_used,not_used,5,not_used,not_used,not_used,5,not_used,yes,yes
49,male,12,dontknow,very,unsure,no,never,never,very,yes,very,very,verygood,1,not_used,not_used,not_used,5,not_used,not_used,not_used,yes,yes
50,male,11,no,somewhat,very,no,sometimes,never,very,yes,very,very,verygood,1,not_used,not_used,not_used,5,not_used,not_used,not_used,yes,yes
51,male,12,dontknow,unsure,somewhat,no,sometimes,never,very,yes,somewhat,somewhat,verygood,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,yes,yes
52,male,14,yes,very,very,home,veryregularly,sometimes,very,yes,very,very,verygood,not_used,not_used,5,not_used,not_used,5,not_used,5,yes,yes
53,male,13,no,very,somewhat,home,regularly,never,very,yes,very,somewhat,verygood,not_used,not_used,5,3,not_used,not_used,not_used,not_used,yes,yes
54,male,15,yes,very,very,home,regularly,never,somewhat,yes,somewhat,somewhat,verygood,not_used,not_used,not_rated,not_used,not_used,not_rated,not_used,not_used,yes,yes
55,male,14,yes,somewhat,somewhat,school,sometimes,rarely,somewhat,yes,very,very,verygood,not_used,not_used,not_rated,not_rated,not_used,not_used,not_used,not_used,yes,yes
56,male,14,no,very,somewhat,home,sometimes,sometimes,unsure,yes,very,very,verygood,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_rated,yes,yes
57,female,15,yes,somewhat,very,no,sometimes,sometimes,somewhat,yes,very,somewhat,verygood,not_used,not_used,5,not_used,not_used,not_used,not_used,not_used,yes,yes
58,female,16,no,very,very,no,sometimes,never,somewhat,yes,somewhat,very,verygood,not_rated,not_used,not_rated,not_used,not_used,not_rated,not_used,not_used,yes,yes
59,female,16,no,very,very,home,veryregularly,never,somewhat,yes,very,very,verygood,5,not_used,5,not_used,not_used,5,not_used,not_used,yes,yes
60,male,15,no,somewhat,very,no,regularly,never,very,dontknow,very,very,good,not_used,not_used,3,4,not_used,not_used,not_used,5,yes,maybe
61,male,16,yes,unsure,very,no,rarely,never,unsure,yes,very,very,verygood,4,not_used,4,5,3,4,not_used,5,maybe,yes
62,male,15,no,somewhat,unsure,no,never,never,unsure,dontknow,somewhat,somewhat,good,not_used,not_used,not_rated,not_used,not_rated,not_rated,not_rated,not_rated,maybe,yes
63,male,13,yes,very,somewhat,HomeSchool,veryregularly,rarely,somewhat,yes,somewhat,very,okay,4,not_used,2,not_used,not_used,not_used,not_used,3,yes,maybe
64,male,14,dontknow,very,very,home,regularly,veryregularly,very,yes,very,very,verygood,not_used,5,5,not_used,not_used,not_used,not_used,not_used,yes,yes
65,male,17,yes,very,very,no,never,never,very,yes,very,very,verygood,not_used,not_used,4,not_used,not_used,not_used,not_used,3,yes,yes
66,male,13,no,somewhat,somewhat,home,sometimes,sometimes,very,yes,somewhat,somewhat,verygood,not_used,not_used,not_rated,not_rated,not_used,not_rated,not_rated,not_rated,yes,yes
67,male,11,yes,somewhat,very,HomeSchool,regularly,never,somewhat,yes,very,somewhat,verygood,3,not_used,2,not_used,not_used,not_used,4,5,yes,yes
68,male,12,dontknow,somewhat,somewhat,school,sometimes,never,somewhat,dontknow,somewhat,somewhat,good,1,not_used,5,not_used,1,not_used,1,not_used,maybe,maybe
69,male,12,no,somewhat,very,no,sometimes,never,very,yes,very,very,good,4,not_used,5,not_used,not_used,not_used,not_used,not_used,yes,maybe
70,male,13,dontknow,somewhat,very,school,regularly,regularly,very,dontknow,somewhat,somewhat,good,1,not_used,5,not_used,not_used,not_used,1,not_used,yes,yes
71,male,13,yes,very,very,HomeSchool,veryregularly,regularly,somewhat,yes,very,very,verygood,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,yes,yes
