,Gender,Age,CodedBefore,Scratch_rating,Microbit_rating,MakeArt_rating,MakePong_rating,KanoCode_rating,MakeSnake_rating,BuildKano_rating,HackMinecraft_rating,TerminalQuest_rating,KanoDeviceFeedback,ChallengingAspect,Want_to_LearnMoreCoding,VisitLibraryBefore,WillVisitLibrary,ITaccess,UseComputersOften,WillUseDevices
0,female,15,Alittle,not_used,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,not_used,verygood,experience,yes,never,yes,no,sometimes,yes
1,female,15,No,not_used,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,not_used,verygood,experience,yes,never,yes,no,sometimes,yes
2,female,12,No,not_used,not_used,5,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,sometimes,yes,home,veryregularly,yes
3,female,15,No,not_used,not_used,5,5,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,sometimes,yes,home,veryregularly,yes
4,female,14,Alittle,not_used,not_used,3,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,never,yes,no,veryregularly,yes
5,female,12,No,not_used,3,5,not_used,not_used,not_used,not_used,not_used,not_used,verygood,english,yes,never,yes,home,veryregularly,yes
6,female,14,No,not_used,5,5,not_used,not_used,not_used,not_used,not_used,not_used,good,experience,yes,sometimes,yes,home,veryregularly,yes
7,female,14,No,not_used,4,5,not_used,not_used,not_used,not_used,not_used,not_used,good,none,yes,never,yes,home,veryregularly,yes
8,female,14,No,not_used,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,not_used,good,experience,yes,sometimes,yes,no,sometimes,yes
9,female,15,Alittle,not_used,not_used,not_used,not_used,not_used,not_rated,not_used,not_used,not_used,verygood,experience,yes,sometimes,yes,no,sometimes,yes
10,female,14,No,not_used,not_used,5,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,sometimes,yes,no,rarely,yes
11,male,14,No,not_used,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,not_used,good,other,yes,veryregularly,yes,no,never,yes
12,male,16,No,not_used,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,not_used,good,none,yes,never,yes,school,veryregularly,yes
13,male,15,Alittle,not_used,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,not_used,good,none,yes,never,yes,no,sometimes,yes
14,male,16,Alittle,not_used,5,not_used,not_used,not_used,not_used,not_used,4,not_used,verygood,none,yes,sometimes,yes,home,veryregularly,yes
15,male,17,Alittle,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,never,yes,home,veryregularly,yes
16,male,16,Alittle,not_used,2,3,4,2,3,not_used,2,not_used,verygood,none,yes,never,yes,home,sometimes,yes
17,male,15,Alittle,2,not_used,4,2,not_used,3,not_used,not_used,not_used,verygood,none,yes,never,yes,home,veryregularly,yes
18,male,15,No,not_used,not_used,4,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,never,yes,no,never,yes
