,Gender,Age,CodedBefore,Scratch_rating,Microbit_rating,MakeArt_rating,MakePong_rating,KanoCode_rating,MakeSnake_rating,BuildKano_rating,HackMinecraft_rating,TerminalQuest_rating,KanoDeviceFeedback,ChallengingAspect,Want_to_LearnMoreCoding,VisitLibraryBefore,WillVisitLibrary,ITaccess,UseComputersOften,WillUseDevices
0,male,17,Alot,not_used,not_rated,not_rated,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,sometimes,yes,home,regularly,yes
1,male,15,Alot,not_used,not_used,3,not_used,not_used,not_used,not_used,not_used,3,good,none,yes,never,yes,HomeSchool,veryregularly,yes
2,female,15,No,4,not_used,3,not_used,not_used,not_used,not_used,not_used,not_used,good,none,maybe,sometimes,yes,home,sometimes,yes
3,female,15,No,4,not_used,1,not_used,4,not_used,not_used,not_used,not_used,good,experience,maybe,never,yes,home,sometimes,maybe
4,female,15,No,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,good,experience,yes,never,yes,no,sometimes,yes
5,male,14,No,3,5,2,not_used,1,not_used,not_used,4,not_used,verygood,none,yes,rarely,yes,no,sometimes,yes
6,male,15,Alittle,not_used,not_used,4,not_used,not_used,not_used,not_used,not_used,4,verygood,none,yes,rarely,yes,no,sometimes,yes
7,male,15,Alittle,not_used,not_used,4,not_used,not_used,not_used,not_used,not_used,4,verygood,none,yes,never,yes,no,sometimes,yes
8,male,16,Alittle,not_used,not_used,not_used,not_used,4,not_used,not_used,not_used,not_used,good,none,yes,sometimes,yes,home,regularly,yes
9,male,16,Alittle,not_used,not_used,5,not_used,not_used,not_used,not_used,not_used,5,verygood,none,yes,never,yes,home,veryregularly,yes
10,male,13,Alittle,not_used,not_used,5,not_used,not_used,not_used,not_used,not_used,5,good,none,yes,rarely,yes,HomeSchool,regularly,yes
11,male,15,No,not_used,not_used,not_rated,not_used,not_used,not_rated,not_used,not_used,not_used,okay,other,yes,rarely,yes,no,sometimes,yes
12,male,15,No,not_used,not_used,3,not_used,not_used,2,not_used,not_used,not_used,okay,other,yes,rarely,yes,no,regularly,yes
13,male,15,No,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,good,english,yes,sometimes,yes,home,sometimes,yes
14,male,16,No,not_used,not_used,4,not_used,not_used,4,not_used,not_used,5,verygood,experience,yes,rarely,yes,no,rarely,yes
15,male,16,No,not_used,not_used,4,not_used,not_used,4,not_used,not_used,5,verygood,experience,yes,rarely,yes,no,rarely,yes
16,male,14,No,not_used,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,not_used,verygood,english,yes,rarely,yes,no,regularly,yes
17,male,12,Alittle,5,not_used,not_used,not_used,5,not_used,not_used,not_used,not_used,verygood,none,yes,never,yes,home,veryregularly,yes
18,male,15,No,not_used,not_used,4,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,sometimes,yes,no,rarely,yes
19,male,15,No,3,4,5,2,3,4,not_used,5,1,good,none,yes,rarely,yes,no,rarely,yes
20,male,16,Alittle,not_used,not_used,3,not_used,not_used,not_used,not_used,not_used,1,verygood,none,yes,regularly,yes,no,sometimes,yes
21,male,16,Alittle,not_used,not_used,5,not_used,not_used,3,not_used,not_used,5,verygood,none,yes,veryregularly,yes,no,sometimes,yes
22,male,15,No,not_used,not_used,3,not_used,not_used,3,not_used,not_used,not_used,okay,none,yes,sometimes,yes,no,rarely,maybe
23,male,15,Alittle,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,regularly,yes,home,regularly,yes
24,male,15,No,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,okay,none,yes,sometimes,yes,no,sometimes,maybe
25,male,15,Alittle,not_used,not_used,3,not_used,not_used,not_used,not_used,not_used,4,good,none,yes,never,yes,home,regularly,yes
26,male,16,Alot,2,not_used,5,not_used,3,5,not_used,5,5,verygood,none,yes,veryregularly,yes,home,sometimes,yes
27,male,15,No,not_used,not_used,5,not_used,not_used,not_used,not_used,not_used,4,good,none,yes,rarely,yes,no,sometimes,yes
28,male,15,No,not_used,not_used,5,not_used,not_used,5,not_used,not_used,3,verygood,none,yes,regularly,yes,home,veryregularly,yes
29,male,14,Alot,not_used,3,not_used,not_used,not_used,not_used,not_used,not_used,not_used,good,english,yes,sometimes,yes,home,veryregularly,maybe
30,male,14,Alittle,not_used,4,not_used,not_used,not_used,not_used,not_used,not_used,not_used,good,none,yes,sometimes,yes,home,veryregularly,yes
31,male,14,No,not_used,3,not_used,not_used,not_used,not_used,not_used,not_used,4,good,english,yes,sometimes,yes,no,rarely,yes
32,male,13,No,not_used,not_used,4,not_used,not_used,3,not_used,not_used,5,verygood,none,yes,never,yes,home,regularly,yes
33,female,13,No,not_used,not_used,not_rated,not_used,not_rated,not_used,not_used,not_used,not_rated,verygood,none,yes,never,yes,home,regularly,yes
34,female,12,No,not_used,not_used,not_rated,not_used,not_rated,not_used,not_used,not_used,not_rated,good,none,yes,never,yes,home,sometimes,yes
35,female,13,Alittle,not_used,not_used,not_rated,not_used,not_rated,not_used,not_used,not_used,not_rated,good,none,yes,never,yes,home,regularly,yes
36,male,14,Alot,5,5,not_used,not_used,4,not_used,not_used,not_used,5,verygood,none,yes,sometimes,yes,school,regularly,yes
37,male,14,No,5,not_used,4,not_used,5,not_used,not_used,not_used,not_used,verygood,none,yes,regularly,yes,no,regularly,yes
38,male,15,No,not_used,not_used,4,not_used,not_used,not_used,not_used,not_used,5,okay,none,yes,rarely,yes,HomeSchool,veryregularly,yes
39,male,15,Alittle,not_used,not_used,4,not_used,not_used,not_used,not_used,not_used,5,verygood,none,yes,never,yes,no,rarely,yes
40,female,14,Alittle,5,5,4,not_used,4,not_used,not_used,not_used,not_used,verygood,none,yes,sometimes,yes,home,veryregularly,yes
41,female,15,Alittle,4,5,5,not_used,4,not_used,not_used,not_used,not_used,verygood,none,yes,sometimes,yes,home,veryregularly,yes
42,female,14,No,not_used,not_used,5,not_used,not_used,not_used,not_used,not_used,3,verygood,none,yes,sometimes,yes,home,regularly,yes
43,male,15,Alittle,4,not_used,5,not_used,5,not_used,not_used,not_used,not_used,verygood,none,yes,sometimes,yes,home,regularly,yes
44,male,13,Alot,5,4,not_used,not_used,5,not_used,not_used,not_used,3,verygood,none,yes,sometimes,yes,HomeSchool,veryregularly,yes
45,male,15,No,5,not_used,4,not_used,5,not_used,not_used,not_used,not_used,verygood,none,yes,sometimes,yes,school,regularly,yes
46,male,14,Alot,4,5,not_used,not_used,5,4,not_used,5,not_used,verygood,none,yes,sometimes,yes,HomeSchool,veryregularly,yes
47,male,14,No,not_used,not_used,5,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,sometimes,yes,home,veryregularly,yes
48,male,14,No,not_used,not_used,5,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,sometimes,yes,home,veryregularly,yes
49,male,13,Alittle,not_used,not_used,4,not_used,not_used,4,not_used,not_used,5,verygood,none,yes,regularly,yes,no,sometimes,yes
50,female,14,No,4,not_used,5,not_used,not_used,not_used,not_used,not_used,not_used,okay,experience,yes,never,yes,home,sometimes,yes
51,female,15,Alittle,5,not_used,5,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,never,yes,home,sometimes,yes
52,female,15,No,5,not_used,5,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,rarely,yes,HomeSchool,veryregularly,yes
