,Gender,Age,CodedBefore,Scratch_rating,Microbit_rating,MakeArt_rating,MakePong_rating,KanoCode_rating,MakeSnake_rating,BuildKano_rating,HackMinecraft_rating,TerminalQuest_rating,KanoDeviceFeedback,ChallengingAspect,Want_to_LearnMoreCoding,VisitLibraryBefore,WillVisitLibrary,ITaccess,UseComputersOften,WillUseDevices
0,female,15,Alittle,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,verygood,other,yes,never,yes,no,sometimes,yes
1,female,15,Alittle,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,verygood,other,yes,never,yes,home,sometimes,yes
2,female,16,Alittle,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,never,yes,home,sometimes,yes
3,female,16,Alittle,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,verygood,experience,yes,sometimes,yes,no,sometimes,yes
4,female,15,No,not_used,not_used,5,not_used,not_used,4,not_used,not_used,5,verygood,none,yes,never,yes,home,regularly,yes
5,female,15,No,not_used,not_used,5,not_used,not_used,not_used,not_used,not_used,5,verygood,none,yes,never,yes,home,regularly,yes
6,female,13,Alittle,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,verygood,other,yes,never,yes,no,rarely,maybe
7,female,13,Alittle,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,never,yes,no,rarely,yes
8,female,13,Alittle,not_used,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,not_used,verygood,other,yes,never,yes,no,rarely,maybe
9,female,16,No,not_used,5,5,not_used,not_used,not_used,not_used,not_used,5,verygood,none,yes,sometimes,yes,school,regularly,yes
10,female,14,No,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,rarely,yes,no,sometimes,yes
11,female,14,No,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,rarely,yes,no,never,yes
12,female,14,No,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,never,yes,no,never,maybe
13,female,15,No,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,good,none,yes,rarely,yes,home,sometimes,yes
14,female,12,No,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,not_used,not_rated,verygood,none,yes,rarely,yes,home,sometimes,yes
15,female,11,No,not_used,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,not_used,good,none,yes,rarely,yes,home,sometimes,yes
16,female,13,No,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,okay,none,yes,rarely,yes,home,sometimes,yes
17,female,12,No,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,sometimes,yes,school,sometimes,yes
18,female,16,No,not_used,5,5,not_used,not_used,not_used,not_used,not_used,5,verygood,none,yes,sometimes,yes,school,regularly,yes
19,female,13,No,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,verygood,experience,yes,regularly,yes,HomeSchool,sometimes,yes
20,female,13,No,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,verygood,experience,yes,sometimes,yes,HomeSchool,sometimes,yes
21,female,15,No,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,okay,experience,yes,sometimes,yes,no,never,yes
22,female,15,Alittle,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,verygood,experience,yes,sometimes,yes,no,sometimes,yes
23,female,16,Alittle,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,sometimes,yes,home,regularly,yes
24,female,14,No,not_used,not_used,5,not_used,not_used,not_used,not_used,not_used,4,verygood,none,yes,sometimes,yes,home,veryregularly,yes
25,female,13,No,not_used,not_used,5,not_used,not_used,not_used,not_used,not_used,4,verygood,none,yes,sometimes,yes,no,never,yes
26,female,15,No,not_used,5,5,4,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,sometimes,yes,home,regularly,yes
27,female,13,No,not_used,5,5,3,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,sometimes,yes,no,sometimes,yes
28,female,13,Alittle,3,not_used,4,not_used,not_used,2,not_used,3,not_used,good,english,yes,sometimes,yes,home,sometimes,yes
29,female,15,Alittle,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,rarely,yes,no,rarely,yes
30,female,15,No,not_used,not_used,not_used,not_used,3,not_used,not_used,not_used,not_used,good,none,yes,never,yes,no,sometimes,yes
31,female,15,Alittle,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,sometimes,yes,no,sometimes,yes
32,female,15,Alittle,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,good,none,yes,never,yes,no,sometimes,yes
33,female,15,No,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,good,english,yes,never,yes,school,sometimes,yes
34,female,15,No,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,good,english,yes,rarely,yes,no,sometimes,yes
35,female,16,Alittle,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,never,yes,home,sometimes,yes
36,female,13,Alittle,4,not_used,2,not_used,3,4,not_used,5,5,good,none,yes,rarely,yes,home,regularly,yes
37,female,13,Alittle,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,good,none,yes,rarely,yes,home,sometimes,yes
38,female,15,No,not_used,not_used,5,not_used,not_used,not_used,not_used,not_used,not_used,good,none,yes,never,yes,no,never,yes
39,female,15,Alittle,not_used,not_used,5,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,regularly,yes,home,sometimes,yes
40,female,15,No,not_used,not_used,not_used,not_used,5,not_used,not_used,not_used,not_used,verygood,none,yes,never,yes,no,rarely,yes
41,female,15,No,not_used,not_used,5,not_used,not_used,not_used,not_used,not_used,not_used,good,none,yes,never,yes,no,never,yes
42,female,15,No,4,not_used,3,not_used,not_used,5,not_used,not_used,not_used,good,none,yes,sometimes,yes,home,regularly,yes
43,female,14,Alittle,2,4,4,2,2,3,not_used,not_used,not_used,verygood,experience,yes,regularly,yes,no,sometimes,yes
44,female,14,No,5,not_used,3,not_used,not_used,not_used,not_used,not_used,not_used,good,none,yes,sometimes,yes,home,regularly,yes
45,female,13,Alittle,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,good,none,yes,sometimes,yes,no,sometimes,yes
46,female,14,Alittle,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,never,yes,no,sometimes,yes
47,female,13,Alittle,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,good,none,yes,never,yes,no,sometimes,yes
48,female,13,Alittle,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,good,none,yes,never,yes,no,sometimes,yes
49,female,16,No,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,verygood,experience,yes,rarely,yes,no,rarely,yes
50,female,16,No,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,verygood,experience,yes,rarely,yes,no,rarely,yes
51,female,15,Alittle,not_used,not_used,5,not_used,not_used,not_used,not_used,not_used,not_used,verygood,experience,yes,sometimes,yes,no,sometimes,yes
52,female,15,No,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,regularly,yes,no,regularly,yes
53,male,16,No,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,5,verygood,none,yes,sometimes,yes,home,veryregularly,yes
54,male,16,No,not_used,5,3,not_used,not_used,not_used,not_used,not_used,5,verygood,none,yes,sometimes,yes,home,veryregularly,yes
55,male,12,Alittle,not_used,not_used,5,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,regularly,yes,no,sometimes,yes
56,male,12,No,not_used,5,not_used,not_used,not_used,not_used,not_used,not_used,5,verygood,none,yes,never,yes,home,veryregularly,yes
57,male,13,Alittle,not_used,5,not_used,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,never,yes,no,rarely,yes
58,male,13,Alittle,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,verygood,english,yes,sometimes,yes,no,sometimes,yes
59,male,13,No,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,verygood,english,yes,never,yes,no,sometimes,yes
60,male,15,Alittle,not_used,not_used,4,not_used,not_used,not_used,not_used,not_used,3,bad,none,yes,rarely,yes,home,veryregularly,no
61,male,14,Alot,not_used,not_used,5,not_used,3,5,not_used,3,not_used,verygood,none,yes,regularly,yes,no,regularly,yes
62,male,15,No,not_used,5,not_used,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,never,yes,no,never,yes
63,male,15,Alittle,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,never,yes,home,veryregularly,yes
64,male,16,No,not_used,not_used,2,not_used,not_used,not_used,not_used,not_used,5,verygood,none,yes,sometimes,yes,home,veryregularly,yes
65,male,13,No,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,sometimes,yes,no,rarely,yes
66,male,14,No,not_used,not_used,5,5,5,5,not_used,not_used,not_used,verygood,none,yes,regularly,yes,no,sometimes,yes
67,male,12,No,not_used,not_used,5,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,never,yes,no,never,yes
68,male,16,No,5,3,5,5,3,not_used,not_used,not_used,5,verygood,none,yes,sometimes,yes,home,veryregularly,yes
69,male,16,No,5,4,3,1,2,1,not_used,not_used,not_used,verygood,none,yes,sometimes,yes,no,sometimes,yes
70,male,15,Alittle,not_used,not_used,not_used,not_used,5,not_used,not_used,not_used,5,verygood,other,yes,never,yes,home,sometimes,yes
