,Gender,Age,CodedBefore,Scratch_rating,Microbit_rating,MakeArt_rating,MakePong_rating,KanoCode_rating,MakeSnake_rating,BuildKano_rating,HackMinecraft_rating,TerminalQuest_rating,KanoDeviceFeedback,ChallengingAspect,Want_to_LearnMoreCoding,VisitLibraryBefore,WillVisitLibrary,ITaccess,UseComputersOften,WillUseDevices
0,male,14,No,not_used,not_used,5,not_used,not_used,not_used,not_used,not_used,4,verygood,none,yes,never,yes,home,regularly,maybe
1,female,12,No,not_used,not_used,not_used,not_used,not_rated,not_used,not_used,not_used,not_used,verygood,none,yes,sometimes,yes,home,veryregularly,yes
2,male,14,No,not_used,not_used,4,not_used,not_used,not_used,not_used,not_used,3,good,other,yes,sometimes,yes,school,regularly,yes
3,male,15,No,not_used,5,5,not_used,not_used,not_used,not_used,not_used,5,good,none,yes,sometimes,yes,home,veryregularly,yes
4,male,15,No,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,5,verygood,none,yes,rarely,yes,school,rarely,yes
5,male,15,Alittle,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,5,verygood,none,yes,sometimes,yes,home,regularly,yes
6,male,12,No,5,not_used,not_used,not_used,5,not_used,not_used,not_used,not_used,verygood,none,yes,sometimes,yes,home,sometimes,yes
7,male,14,No,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,3,good,none,maybe,rarely,yes,home,regularly,maybe
8,male,14,No,not_used,not_used,4,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,never,yes,HomeSchool,sometimes,yes
9,male,14,Alittle,not_used,5,5,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,never,yes,home,sometimes,yes
10,male,16,Alot,not_used,not_rated,not_rated,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,never,yes,no,regularly,yes
11,male,16,No,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_rated,verygood,english,yes,never,yes,no,regularly,yes
12,male,16,No,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_rated,verygood,english,yes,sometimes,yes,home,regularly,yes
13,male,15,No,not_used,not_used,3,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,sometimes,yes,home,regularly,yes
14,male,16,No,2,4,4,1,1,5,not_used,1,1,good,experience,maybe,rarely,yes,home,regularly,maybe
15,male,15,No,not_used,not_used,4,not_used,not_used,not_used,not_used,not_used,4,verygood,none,yes,sometimes,yes,home,sometimes,yes
16,male,15,Alittle,not_used,not_used,4,not_used,not_used,not_used,not_used,not_used,4,verygood,none,yes,sometimes,yes,home,veryregularly,yes
17,male,15,No,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,4,verygood,none,maybe,never,yes,no,rarely,yes
18,male,14,No,not_used,not_used,not_rated,not_used,not_rated,not_used,not_used,not_used,not_used,verygood,none,yes,never,yes,home,regularly,maybe
19,male,15,Alittle,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_rated,verygood,none,yes,never,yes,home,regularly,yes
20,male,14,No,not_used,5,5,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,never,yes,HomeSchool,regularly,yes
21,male,14,No,not_used,not_used,not_used,not_used,4,not_used,not_used,not_used,not_used,verygood,none,yes,never,yes,school,regularly,yes
22,male,14,No,not_used,not_used,5,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,never,yes,no,rarely,yes
23,male,13,No,not_used,5,not_used,not_used,5,not_used,not_used,not_used,not_used,verygood,other,yes,never,yes,home,veryregularly,yes
24,female,14,No,3,not_used,5,5,not_used,4,not_used,3,2,verygood,none,yes,never,yes,home,regularly,yes
25,female,12,No,not_used,not_used,not_rated,not_used,not_used,not_rated,not_used,not_used,not_rated,verygood,none,yes,never,yes,home,regularly,yes
26,female,14,No,1,not_used,5,2,not_used,5,not_used,2,2,verygood,none,yes,never,yes,no,sometimes,yes
27,female,14,No,1,not_used,5,2,not_used,5,not_used,2,2,verygood,none,yes,sometimes,yes,no,sometimes,yes
28,female,15,No,3,3,4,4,5,4,not_used,4,3,verygood,none,yes,never,yes,home,veryregularly,maybe
29,female,13,No,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,5,verygood,none,yes,sometimes,yes,no,sometimes,yes
