,Gender,Age,CodedBefore,Scratch_rating,Microbit_rating,MakeArt_rating,MakePong_rating,KanoCode_rating,MakeSnake_rating,BuildKano_rating,HackMinecraft_rating,TerminalQuest_rating,KanoDeviceFeedback,ChallengingAspect,Want_to_LearnMoreCoding,VisitLibraryBefore,WillVisitLibrary,ITaccess,UseComputersOften,WillUseDevices
0,male,15,Alot,4,5,4,not_used,5,not_used,not_used,not_used,not_used,verygood,none,yes,sometimes,yes,home,regularly,yes
1,male,14,Alittle,4,5,5,5,5,not_used,not_used,not_used,not_used,verygood,none,yes,rarely,yes,home,veryregularly,yes
2,male,15,Alot,4,5,4,not_used,5,not_used,not_used,not_used,not_used,okay,none,yes,sometimes,yes,home,veryregularly,yes
3,male,14,Alot,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,veryregularly,yes,home,veryregularly,yes
4,male,15,Alittle,not_used,5,not_used,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,sometimes,yes,home,regularly,yes
5,male,15,Alittle,not_used,not_used,5,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,sometimes,yes,school,regularly,yes
6,male,16,No,not_used,5,5,not_used,5,not_used,not_used,not_used,not_used,verygood,none,yes,sometimes,yes,no,rarely,yes
7,male,15,Alittle,not_used,not_used,5,not_used,not_used,not_used,not_used,not_used,not_used,good,none,yes,sometimes,yes,home,veryregularly,yes
8,male,15,Alittle,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,sometimes,yes,home,regularly,yes
9,male,12,Alittle,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,sometimes,yes,home,veryregularly,yes
10,male,14,Alittle,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,not_used,not_used,verygood,none,yes,never,yes,no,sometimes,yes
11,male,14,Alittle,not_used,not_used,3,4,not_used,4,not_used,not_used,not_used,verygood,none,yes,regularly,yes,home,veryregularly,yes
12,male,12,No,4,4,5,5,4,4,not_used,4,not_used,good,english,yes,never,yes,home,regularly,yes
13,male,12,No,4,4,4,3,4,4,not_used,3,not_used,good,both,maybe,never,yes,home,veryregularly,maybe
